steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250004	1400	1819.5049784183502	12.5	0.0	28.552012036008037	75.0	0.0	3.6750882962156255	0.06864537727620396	52769
500101	2924	3787.785861492157	33.333333333333336	0.0	37.9777262656375	75.0	0.0	5.758754751225832	0.08206204302372543	115669
750031	4393	5753.617253303528	514.0	0.0	1029.008422382117	2560.0	0.0	6.127888786294845	0.12143210373938437	178532
1000034	5429	7719.237650871277	9.0	0.0	24.8746859276655	75.0	0.0	3.4110278686359505	0.08411147085991338	241296
1250804	5916	9792.171399116516	2871.6153846153848	2925.0	102.85042116887702	2945.0	2360.0	6.724422102370351	0.0363282076567803	304140
1500853	6381	11761.358494758606	369.2307692307692	0.0	901.5122622429265	2450.0	0.0	1.8749244708849118	0.022135821848390826	366780
1750244	6871	13721.888969659805	3212.2972972972975	3290.0	103.54544489816614	3290.0	3040.0	2.522028808523473	0.03350975529808861	429262
2000018	7457	15814.239992141724	3085.860927152318	3065.0	34.383918670428734	3135.0	2870.0	3.633113574079853	0.018523881458262618	491851
2250219	7916	17824.62219762802	2836.304347826087	2775.0	633.3357170054304	3215.0	125.0	1.2375346159756007	0.017439124250764423	554517
2501238	8410	19811.0256626606	3331.4444444444443	3215.0	454.4835008284157	5190.0	3090.0	2.614093933929304	0.009974964296833482	617400
2751194	9025	21868.311341762543	3244.137931034483	3240.0	9.82607368881035	3260.0	3220.0	3.2011914311988265	0.03027762781529734	680041
3000019	9534	23845.36528325081	7260.075757575758	7240.0	92.55140951527105	7415.0	7075.0	5.745102214337748	0.031202051074347682	742376
3250348	10170	25838.58667755127	6068.144329896907	6645.0	1610.5279154525358	7635.0	3040.0	4.885326174582281	0.03680327468481112	805136
3500024	10751	27807.110780239105	7196.272727272727	6960.0	1543.2968012780357	9860.0	3040.0	4.148470101193321	0.029096376730736243	867706
3751313	11278	29815.07285284996	4459.63768115942	3185.0	1931.9493201474186	7360.0	3060.0	4.77103566777281	0.022283116244236775	930644
4000161	11706	31813.619368314743	9730.166666666666	10195.0	1619.3493584254043	11940.0	7460.0	5.272697993355687	0.01670482343419982	992986
4250206	12255	33900.033176898956	3072.042253521127	3115.0	61.98834835670291	3190.0	2990.0	3.0552379160248484	0.021491374330236436	1055646
4500940	12855	35906.36613035202	7581.276595744681	7330.0	679.1790665504444	9745.0	6825.0	3.4408576275966074	0.03481783403635657	1118484
4750406	13447	37998.970463991165	5821.379310344828	5840.0	539.7179194235489	6520.0	3265.0	8.26824516852657	0.10992141347203681	1181009
5000043	14875	40003.64629435539	2990.0	2990.0	0.0	2990.0	2990.0	13.502340391183282	0.13516110247648713	1243781
5250940	16511	42064.99393296242	3148.913043478261	3160.0	58.8325150077267	3235.0	2990.0	6.916904660470427	0.0744691419624888	1306936
5500541	17137	44118.06207156181	3874.4285714285716	3615.0	919.064239120559	5805.0	2990.0	16.027279557731617	0.023631504714951245	1369484
5750104	17745	45888.355001688	6765.593220338983	6775.0	54.258995327349844	7045.0	6635.0	8.59786186029424	0.03168385821273574	1432031
6000364	18402	47509.69128584862	5770.074626865671	7290.0	2097.641982866915	7520.0	2990.0	3.524961640083452	0.06684247299705008	1494766
6251013	18934	49141.715733766556	6993.6	7340.0	1155.1700091328548	7480.0	3140.0	5.785728913250278	0.0304266216040507	1557567
6500089	19550	50760.67117524147	9860.3	10385.0	2289.0262634347114	12490.0	6315.0	8.170581129491891	0.022203735706936362	1620005
6750801	20069	52383.783328294754	3923.0	3315.0	1313.4782068995282	6495.0	3065.0	2.3950907060695834	0.02678773172575061	1682798
7000296	20611	54018.70132637024	5465.263157894737	5860.0	2188.3320648780755	9860.0	3060.0	4.788886316008485	0.031322136206562406	1745310
7250065	21066	55695.41979408264	7056.8	7150.0	170.34817286956735	7310.0	6760.0	2.173369406429609	0.027634873931169434	1807874
7501329	21525	57691.22170519829	7677.452830188679	7675.0	150.46601533463345	7950.0	7490.0	3.3136287501412425	0.026419728777773644	1870813
7750394	22076	59672.56893014908	8007.948717948718	7935.0	142.40748589096984	8345.0	7710.0	3.3065568387880244	0.037977445960224517	1933213
8001132	22492	61656.48172903061	7715.46511627907	7710.0	143.10674484740227	7925.0	7465.0	6.1704301475544705	0.02970590426590335	1996009
8250774	22903	63662.05077600479	7701.153846153846	7775.0	424.81491564045547	9795.0	7150.0	7.139329235612329	0.021648081614382007	2058520
8500655	23330	65643.5190486908	7843.582089552238	7685.0	480.0448258505352	11530.0	7670.0	10.142977043083219	0.017631140768286924	2121101
8750511	23838	67642.23931384087	6616.490384615385	7400.0	1004.3325755130836	7870.0	5505.0	17.450042235105293	0.043836458721745	2183698
9001035	24433	69637.25516939163	7586.923076923077	7585.0	28.26960271043319	7615.0	7495.0	7.765517405885214	0.0369110295950771	2246479
9250605	24830	71626.36874628067	8058.541666666667	8020.0	141.22506833964087	8245.0	7920.0	2.6320111093136513	0.029240253475562996	2308983
9500403	25314	73620.10364151001	9688.916666666666	10015.0	1099.6821927908277	10625.0	3040.0	12.215027349806688	0.031167614328502218	2371563
9750850	25810	75654.7329916954	7837.179487179487	7935.0	454.57585041297284	8210.0	6235.0	2.212623705425592	0.01731316541485272	2434299
10000000	26256	77699.67394518852	7057.0	7045.0	197.13340393593475	7840.0	6770.0	1.928730752597301	0.030735453115210996	2496692
