steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250577	250	1837.2739601135254	-18.098360655737704	-18.0	2.0952718044268694	-11.0	-21.0	-0.39600731143593865	0.0036619025990786884	52687
500644	426	3852.0508630275726	-17.547169811320753	-17.0	2.2063373559593935	-10.0	-21.0	0.10952937950846049	0.004039322666095651	115249
751969	553	5860.7269830703735	-7.690476190476191	-14.0	9.91792684679836	9.0	-20.0	0.3554608550626886	0.003913142392852431	178110
1001656	642	7861.4831783771515	-1.7037037037037037	-3.0	4.721593723886808	6.0	-13.0	0.40776936242240064	0.004057765719630087	240561
1251627	702	9854.512664556503	4.838709677419355	5.0	3.0121617286543385	13.0	-4.0	0.511855191868032	0.003090384917250436	303070
1502708	775	11884.577883958817	9.102564102564102	10.0	3.50033736565696	12.0	-3.0	0.7079585900325966	0.0027701051766542317	365866
1750939	851	13950.665464639664	0.9074074074074074	9.0	15.502000502087999	17.0	-21.0	0.7741509402239397	0.002547692251957984	427940
2001498	958	15966.009802341461	20.48611111111111	21.0	0.5564742013572712	21.0	19.0	1.118634523201002	0.0024415455712134535	490609
2250434	1098	18013.542281389236	20.45205479452055	20.0	0.5538024088670715	21.0	19.0	1.1731731797311915	0.001384755989525438	552875
2501507	1241	20034.931555747986	20.17808219178082	20.0	0.4813887823966732	21.0	19.0	1.3422281697959102	0.0005206874749391848	615676
2750549	1382	22106.24162364006	20.726027397260275	21.0	0.47901153931248935	21.0	19.0	1.3207803004074339	0.0005479277574032913	677975
3001140	1525	24117.209901809692	20.92	21.0	0.2731201101980493	21.0	20.0	1.3659211059011007	0.0004714838676679766	740653
3251511	1671	26265.162088632584	20.643835616438356	21.0	0.5101705328640019	21.0	19.0	1.272172097292684	0.0003058081617914603	803282
3500292	1814	28309.021992206573	20.960526315789473	21.0	0.25512294937587565	21.0	19.0	1.2813658185312944	0.0005288433287926634	865510
3751572	1960	30463.745108127594	20.397260273972602	20.0	0.5948792134028662	21.0	19.0	1.3250338946466758	0.0003760140746703526	928359
4000542	2102	32504.404695272446	20.93421052631579	21.0	0.24956101809855233	21.0	20.0	1.2643621036035078	0.00044197331443990523	990631
4251432	2245	34606.65734124184	20.94736842105263	21.0	0.2778362511554969	21.0	19.0	1.2820203968326198	0.00048779753611198347	1053392
4501534	2391	36284.9835088253	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.2877105194839906	0.00036759563808125143	1115950
4750941	2535	37834.57327699661	20.933333333333334	21.0	0.2511236011669613	21.0	20.0	1.3316006059938705	0.0003736881606428984	1178337
5000674	2679	39395.69485640526	20.397260273972602	20.0	0.4927171271913548	21.0	20.0	1.2898149994603834	0.00039828129387181496	1240800
5251435	2822	40954.65769982338	20.946666666666665	21.0	0.22621045769630363	21.0	20.0	1.2671399006331465	0.0003274566630871133	1303517
5500917	2962	42493.880415439606	20.906666666666666	21.0	0.3739248852641662	21.0	19.0	1.2583071724682329	0.0004367659997533879	1365919
5750081	3102	44327.279821157455	20.671232876712327	21.0	0.47301616487964016	21.0	20.0	1.270947962420166	0.0005298731639567489	1428245
6000798	3246	46198.03639245033	20.93421052631579	21.0	0.29824045403173033	21.0	19.0	1.2431761854599839	0.0005150129241096505	1490969
6250878	3392	48066.719222307205	20.48611111111111	20.5	0.5305605740080069	21.0	19.0	1.2255653423107138	0.00047012974289479853	1553517
6500107	3537	49928.94162106514	20.98701298701299	21.0	0.11396057645963795	21.0	20.0	1.304635143197347	0.00043103905324172687	1615861
6751245	3681	51825.84590339661	20.746666666666666	21.0	0.5222956947867681	21.0	19.0	1.3420596250390453	0.00038291237450672116	1678672
7000831	3826	53732.881491184235	20.486486486486488	21.0	0.9102648002994504	21.0	18.0	1.3209598951189707	0.0003994983176646688	1741111
7250109	3972	55692.273453235626	20.974025974025974	21.0	0.16010078848765155	21.0	20.0	1.2921871770287092	0.00037392271514384193	1803463
7501505	4117	57567.36322641373	20.736842105263158	21.0	0.5258243319495356	21.0	18.0	1.3571377392789172	0.00044716856238254723	1866346
7751647	4264	59444.00328755379	20.242857142857144	20.0	0.49448302049406695	21.0	19.0	1.3301070079667892	0.0004082698718011746	1928920
8001585	4411	61318.328867435455	20.94736842105263	21.0	0.22478059477960655	21.0	20.0	1.3317230110118814	0.00033747868018600794	1991450
8250348	4556	63232.10220384598	20.98701298701299	21.0	0.11396057645963795	21.0	20.0	1.3162323166484433	0.00047493500132582845	2053680
8500360	4701	65129.32527208328	20.974025974025974	21.0	0.2279211529192759	21.0	19.0	1.3404784419789013	0.00048191882233255255	2116218
8750133	4846	67101.17118382454	20.08219178082192	20.0	0.8457972021434742	21.0	15.0	1.2364752157249728	0.00044586457465803565	2178706
9001609	4994	68996.43050026894	20.948051948051948	21.0	0.2233774181740458	21.0	20.0	1.2979398504498765	0.00040932971866643186	2241613
9250096	5141	70879.30631685257	20.723684210526315	21.0	0.45014617508912413	21.0	20.0	1.3495430268666004	0.0003238063984400242	2303768
9500339	5289	72798.7111992836	20.75	21.0	0.43588989435406733	21.0	20.0	1.3178280959645676	0.0003551436399537087	2366360
9750175	5436	74682.14303278923	20.92207792207792	21.0	0.3148196545657348	21.0	19.0	1.3349043084632652	0.00032848837587547716	2428855
10000000	5585	76562.24775910378	20.945205479452056	21.0	0.22915369411186493	21.0	20.0	1.3131229456480298	0.0002761324532756281	2491365
