steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250000	1158	2052.055645942688	279.95762711864404	270.0	91.75591061653128	1130.0	130.0	5.138865551867058	0.043384257492412565	52713
500060	2333	4626.003772497177	445.9307359307359	410.0	167.76503874499068	1900.0	220.0	8.055195918174151	0.06427869724118634	115540
750123	3627	7988.2738904953	479.74747474747477	420.0	194.91358717563008	1120.0	230.0	7.7203159456516595	0.08177072721809098	178387
1000026	4909	11436.941160917282	592.1596244131456	530.0	214.5663306507218	1670.0	370.0	9.652677340586822	0.08408811204960902	241178
1250320	6257	14892.740620136261	679.6744186046511	640.0	137.24725639976634	1300.0	470.0	11.277577084139201	0.10372410021400187	304084
1500188	7654	18306.21026825905	978.360655737705	750.0	467.32761525720395	2280.0	420.0	11.62056826338643	0.12161821038516918	366907
1750117	8890	21795.451249837875	770.7296137339056	640.0	387.07109726090886	2200.0	400.0	12.478966406132416	0.10801525601215282	429699
2000064	10046	25220.77192378044	865.4945054945055	760.0	298.7626924140352	2670.0	560.0	11.43622023744354	0.10476388470720518	492471
2250318	11194	28673.145944595337	1092.7411167512691	1150.0	469.605347752261	2370.0	590.0	11.548082753521559	0.08783158790289256	555320
2500050	12363	32259.272617340088	974.2783505154639	815.0	354.2206578548901	2750.0	530.0	12.540380500274983	0.09816460468632408	618039
2750055	13554	35684.420278310776	983.0882352941177	850.0	321.4664245717113	2780.0	540.0	14.129531578563897	0.08559210123065392	680850
3000034	14668	39133.73883366585	1065.9375	820.0	535.0746449369941	2380.0	470.0	12.552186930192223	0.0879953966709362	743597
3250061	15754	42584.366552352905	1346.0625	1355.0	482.6917409940835	2450.0	530.0	10.61636440028475	0.08266890821818525	806380
3500086	16765	46021.21144556999	1282.0833333333333	1290.0	553.9178414258745	3420.0	600.0	11.631709324317566	0.0697897534966156	869127
3750313	17775	49452.4856865406	1310.9883720930231	1320.0	645.4806087236627	4840.0	610.0	10.767083448992162	0.07131435223846436	931940
4000069	18805	52861.9123775959	1235.2571428571428	940.0	517.1960400489978	2480.0	600.0	12.145147313361525	0.06626851778894541	994633
4250006	19837	56318.35523414612	1780.1234567901236	1830.0	612.2243201671471	2920.0	550.0	11.289606060435016	0.07794803290370508	1057381
4500066	20855	59852.57258415222	1308.4810126582279	1340.0	427.4575662855486	3410.0	580.0	10.295655494147034	0.061423977436075125	1120142
4750274	21828	63238.51319050789	1427.6129032258063	1350.0	628.0738271094873	3040.0	620.0	10.313598698001737	0.06356177238225144	1182937
5000226	22811	66605.31543397903	1365.1633986928105	1320.0	741.5897792963398	4500.0	710.0	9.49241626791213	0.056287751689406994	1245693
5250072	23770	69990.05842781067	1210.9032258064517	940.0	531.6958506391875	2960.0	670.0	9.202529429434808	0.05748991236258515	1308394
5500129	24744	73359.82194375992	1305.9615384615386	1330.0	476.0533703424355	2490.0	720.0	9.86082277433257	0.05913204185138982	1371166
5750431	25702	76783.08268713951	1223.3774834437086	960.0	458.03476930209644	2860.0	660.0	9.791241724605648	0.05691338929583599	1433946
6000089	26666	80201.72971892357	1493.5526315789473	1350.0	757.8021617921593	3830.0	620.0	10.24545023465981	0.06569659192081873	1496627
6250036	27621	83600.19327139854	1208.1097560975609	960.0	486.6267640724219	3860.0	730.0	9.646214681921302	0.0594637935552358	1559359
6500190	28598	87031.25612926483	1403.5185185185185	1340.0	733.3031473177479	4480.0	590.0	11.53517270683625	0.06567238704327215	1622103
6750067	29573	90376.00946569443	1256.6025641025642	970.0	479.9549666978133	2500.0	630.0	10.78257305084341	0.05900557329844735	1684812
7000163	30544	93737.25921058655	1631.8709677419354	1860.0	616.8971236475672	3390.0	760.0	10.631517531484777	0.05500868264668514	1747581
7250029	31531	97110.46206021309	1412.8930817610062	1370.0	572.9187384797273	4360.0	670.0	10.790693023446806	0.06426934717131107	1810261
7500093	32485	100490.0682349205	1426.8944099378882	1410.0	562.185730013717	2950.0	680.0	9.789999932890808	0.06380443884637525	1873022
7750092	33462	103707.3176472187	1414.8701298701299	1380.0	578.5662208532411	3420.0	710.0	11.488013214095092	0.05350115582006073	1935788
8000176	34424	106430.25901865959	1414.4099378881988	1400.0	506.91202974541955	3300.0	630.0	10.92693465290244	0.060628186222714806	1998551
8250099	35389	109135.27695608139	1165.432098765432	950.0	430.18427189187827	2860.0	710.0	11.448512572039007	0.05958266424128193	2061286
8500003	36362	111778.76730298996	1539.44099378882	1380.0	743.4465754571785	3550.0	540.0	12.494515976991918	0.06121105035175096	2124017
8750111	37324	114442.57570457458	1395.2727272727273	1000.0	621.5417138017089	4410.0	510.0	11.350473187197313	0.06430279355700323	2186782
9000274	38281	117091.32739472389	1193.5668789808917	930.0	484.93194439100193	2860.0	730.0	12.111378574859755	0.06768922607259732	2249559
9250170	39271	119696.3367536068	1339.8170731707316	960.0	672.8052002609147	3460.0	450.0	11.148951844084735	0.07569517574765931	2312290
9500154	40258	122349.06588077545	1381.2962962962963	1400.0	511.61070566172486	2680.0	290.0	10.553981080539673	0.06771555944725705	2375038
9750323	41233	124962.83406615257	1212.857142857143	980.0	518.5200436957917	3070.0	650.0	11.347293361122555	0.06873809770069901	2437808
10000000	42207	127617.05477380753	1420.4878048780488	1400.0	523.4533805107748	2940.0	610.0	11.629646621004035	0.06394712363782183	2500463
