steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250350	1428	1995.2868716716766	155.625	150.0	26.243130969396983	225.0	75.0	3.717667201685996	0.0956442666331353	52888
500010	2963	4611.9585638046265	931.5533980582525	75.0	1312.5495376508118	3035.0	75.0	16.02853584348301	0.09640454019552189	115699
750018	4777	8070.182972669601	3082.9523809523807	3090.0	50.932153391391665	3310.0	2915.0	10.27608418966304	0.09312012319179888	178654
1000618	6093	11479.448884248734	779.53125	50.0	1022.6029085961738	2190.0	0.0	4.768788161024249	0.08738477394105668	241629
1250109	6550	14812.972551107407	2910.5	2970.0	171.05873972695693	3115.0	2390.0	13.671531593841829	0.06028776671935262	304109
1500219	7255	18130.077439069748	2946.285714285714	2935.0	29.7870593977154	3010.0	2915.0	2.38344942251869	0.02267778178877129	366824
1750101	8026	21446.337090969086	2367.0338983050847	2375.0	101.02542631499959	2760.0	2000.0	3.7096893612949846	0.015362631338197687	429524
2000075	9112	24795.17780637741	3045.78125	3040.0	17.86700760514563	3185.0	3000.0	6.647711027415597	0.014233279318721438	492312
2250141	9681	28125.895619869232	3049.6987951807228	3040.0	53.598265111111125	3165.0	2970.0	3.965709622779126	0.04371909807458538	554962
2500044	10293	31455.35331583023	4146.707317073171	3090.0	1505.6209947877983	6530.0	2970.0	6.1384274055325125	0.016256260495526687	617609
2750969	10756	34820.99497652054	3285.967741935484	3290.0	101.6728360546604	3415.0	3115.0	3.936106437657648	0.022389219267234493	680469
3000134	11242	38188.621005535126	6224.753086419753	7010.0	1645.685818518105	7740.0	3040.0	1.4708000452844756	0.01342482866034223	742894
3250040	12160	41566.53051042557	9219.69387755102	7470.0	2774.2219213071057	13295.0	4810.0	10.58953382178801	0.04835282645619304	805604
3500136	12852	44948.026733875275	4771.170212765957	3000.0	3458.8010320186722	12635.0	2680.0	9.998471575692163	0.07723593898224806	868326
3750242	13405	48310.3729994297	4618.648648648648	3365.0	1879.5318006859554	7695.0	3040.0	4.671248447649891	0.039753272447681356	931007
4000251	14000	51673.15595173836	4214.857142857143	3265.0	1701.4930665336797	7725.0	3135.0	4.487097637756993	0.030963382817348496	993646
4250296	14417	55015.90704154968	6984.0	7220.0	634.8116013674996	7580.0	3135.0	6.5926089118419995	0.015168283404495365	1056277
4500532	15167	58415.81511640549	6574.5	6540.0	899.7295733078611	9850.0	4865.0	6.957377136787157	0.022797305186733934	1119034
4750193	15761	61800.59239792824	3492.7522935779816	3040.0	1266.5558223135517	7775.0	3040.0	4.562674736340041	0.02904638545904358	1181579
5000775	16465	65260.37839651108	3155.3030303030305	3160.0	59.22598925328561	3235.0	2990.0	2.8806384082040157	0.025399727990484677	1244405
5250121	17098	68645.80383944511	8244.493670886075	7585.0	1756.7026576867047	13245.0	7230.0	5.928078539627663	0.023090133074425843	1306928
5500106	17873	72016.12481427193	7932.107843137255	7447.5	1595.8894345363055	13455.0	7085.0	11.537648807750836	0.033923438282254186	1369632
5750198	18525	75416.02536392212	8478.790322580646	7875.0	1627.0250145396042	11825.0	3135.0	5.751713697158577	0.035365614906856684	1432337
6000673	18996	78778.07763934135	4331.9	3115.0	2509.5307899514373	11880.0	2990.0	4.949742684113222	0.03351604746178308	1495060
6250019	19598	82120.183314085	6739.64705882353	7640.0	1981.0466191594062	9410.0	3040.0	9.95455657679465	0.02196820627842167	1557565
6500362	20049	85471.06591558456	9631.716417910447	7670.0	2382.902411600445	13465.0	7520.0	7.030667463123682	0.022868145847432682	1620262
6751211	20558	88855.84070849419	11834.102564102564	13465.0	2638.943455395087	13690.0	7460.0	9.942772776262071	0.0353915979715092	1683108
7000629	21060	92191.48526954651	7651.382978723404	7395.0	892.6375805100076	10930.0	6545.0	5.71470533845768	0.02884241042237895	1745600
7250864	21633	95528.71227025986	10198.684210526315	8010.0	2617.4871275293704	13415.0	7410.0	11.642652708393808	0.040953358249803735	1808293
7500670	22384	98916.27807736397	11249.647887323943	12560.0	2184.98011170152	13385.0	7440.0	5.433570069993188	0.04639315813244167	1870928
7750396	23012	102295.75901269913	7686.875	7670.0	480.5236387910326	12845.0	7470.0	9.673760872733666	0.032744938713911695	1933519
8000052	23755	105684.3768954277	10618.26923076923	13147.5	2907.325368221331	13570.0	7560.0	12.398175926411795	0.03808785714102505	1996138
8250019	24743	109103.96991300583	7535.875	7510.0	70.59965987729626	7810.0	7470.0	8.404120316606035	0.041557481224408874	2058897
8500225	25452	112800.80800461769	7905.476190476191	7915.0	189.17281273432633	8365.0	7490.0	3.36600037935819	0.020873516526830872	2121612
