steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250136	1500	1947.9541161060333	310.65972222222223	270.0	147.28406094680378	1490.0	140.0	4.600745910298637	0.0782861224142507	52837
500162	2854	4501.383999824524	681.0731707317074	590.0	335.72692496910474	2020.0	260.0	6.666988995318172	0.11556707538810107	115670
750162	4183	7934.967982530594	945.2046783625731	900.0	349.1508003567354	2050.0	300.0	8.230392990748184	0.15602869163630487	178474
1000291	5320	11309.124995708466	1020.2209944751381	850.0	496.74267405111266	2940.0	340.0	9.07862289933902	0.1653015987392465	241307
1250336	6274	14659.427948713303	1441.111111111111	1440.0	368.4722291105952	3250.0	760.0	10.701677445387947	0.15110384637083257	304061
1500006	7226	17989.71732378006	2558.74251497006	1890.0	1307.7494600150062	4690.0	920.0	12.44785621122257	0.18868726352805296	366757
1750119	8162	21344.033108234406	1375.5704697986578	1330.0	510.6902887406094	2500.0	290.0	12.01651086862266	0.1873800620640483	429527
2000208	9090	24706.63750743866	2000.2	2030.0	653.4107416590549	2990.0	700.0	12.16780974821787	0.1684710300129846	492264
2250223	10011	28127.826192617416	1843.7908496732025	1890.0	497.53868738223406	3540.0	1100.0	11.807237296090658	0.175415313217556	555005
2500053	10905	31509.95087647438	1842.2435897435898	1730.0	792.3860037828165	4060.0	560.0	12.219137665018561	0.13199961262136942	617680
2750311	11803	34852.08989453316	1404.723926380368	1490.0	628.9107896495136	3600.0	410.0	13.626595488840266	0.17702815870491836	680451
3000493	12703	38221.89675951004	1692.6490066225165	1460.0	688.4578921878035	4320.0	930.0	14.089417793536096	0.1541002893423121	743221
3250316	13614	41606.106063604355	1634.0397350993378	1480.0	428.6197674830953	2920.0	900.0	10.608757845008602	0.1388797324127788	805908
3500211	14533	44987.84030890465	1744.3356643356644	1600.0	589.7786161887052	3920.0	880.0	12.733200397514672	0.15694199593187058	868608
3750299	15433	48338.10399079323	1684.2465753424658	1640.0	490.61514605637177	3520.0	1030.0	12.515019085832703	0.1576484860479027	931355
4000018	16353	51715.86746883392	1627.1974522292994	1530.0	388.3113249979614	4390.0	970.0	13.634002707111746	0.14532283730513076	994019
4250355	17274	55058.80027508736	1583.030303030303	1600.0	419.38460176558505	3850.0	940.0	14.023370345919004	0.13407699323067002	1056848
4500074	18180	58424.381905555725	1741.483870967742	1630.0	448.2401280569408	3130.0	980.0	14.786904729518117	0.13542233302717696	1119474
4750169	19083	61747.16296315193	1585.1677852348994	1550.0	305.37660405890324	2180.0	1010.0	11.235078512305034	0.15117803046074474	1182218
5000099	19985	65187.948863744736	1959.1216216216217	2000.0	477.94191582604986	3010.0	980.0	12.9529426445112	0.14760434075172207	1244931
5250246	20878	68598.64767384529	2027.902097902098	1950.0	637.0739152141391	5200.0	1030.0	12.768944681907275	0.14924786631525216	1307693
5500026	21784	71911.39908742905	2124.8979591836733	2160.0	869.1283362420191	4400.0	610.0	12.67502077534282	0.1443470909923259	1370356
5750159	22678	75232.58418536186	2029.051094890511	1890.0	550.0960921560978	3700.0	1260.0	13.273775184489786	0.1496384311535914	1433110
6000562	23554	78563.87400126457	1681.0666666666666	1735.0	541.5911762918008	3990.0	760.0	13.456185271987502	0.13450410784496405	1495918
6250173	24435	81883.2091383934	1977.6258992805756	1840.0	593.9033039113609	3280.0	1050.0	13.384445457925496	0.12773831525494633	1558526
6500012	25307	85184.02556276321	2001.2676056338028	1980.0	548.3060427642714	3340.0	690.0	14.551580939384522	0.12111605520057125	1621201
6750027	26161	88500.42540097237	2057.2535211267605	1860.0	739.521739610343	3860.0	910.0	15.204414949817597	0.13934020037951705	1683928
7000092	27010	91833.06000518799	1797.0289855072465	1790.0	593.4181689511192	3770.0	520.0	13.050642546233227	0.14592231801225056	1746645
7250011	27882	95145.11866235733	2097.883211678832	1990.0	676.6064007636309	4360.0	1170.0	12.605592391000553	0.13550456895070734	1809353
7500413	28741	98483.21585392952	2009.655172413793	2070.0	554.8666178475081	3240.0	570.0	12.39934275338365	0.15264350029769197	1872165
7750049	29594	101792.6246008873	1934.765100671141	1730.0	949.0390473359892	4830.0	1000.0	15.320504826725625	0.14146200643277007	1934793
8000339	30454	105118.78024697304	1555.5345911949685	1470.0	598.5062077856014	2630.0	390.0	16.274219884786014	0.1294907962482708	1997581
8250206	31335	108447.50007390976	1953.623188405797	2020.0	530.6791434821856	2770.0	800.0	13.354144249549929	0.153901368638241	2060276
8500639	32206	112021.5470225811	1864.3243243243244	1780.0	545.7830449852926	3670.0	950.0	12.044017178390368	0.13464869182352437	2123106
