steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250395	244	1658.3040208816528	-18.452380952380953	-19.0	2.756830561476903	-14.0	-21.0	-0.8574471720306177	0.011116966567927794	52647
500951	412	3461.3957302570343	-12.571428571428571	-13.0	6.418198914876694	-4.0	-21.0	-0.5615579493480484	0.010547105198457684	115325
751290	511	5362.461519956589	6.346153846153846	4.0	4.107965994915807	14.0	2.0	0.0011121133340550025	0.010687197322204859	177937
1000300	572	7330.136237621307	9.793103448275861	9.0	4.056558273294067	14.0	3.0	0.4996810072202841	0.009278450113927443	240204
1251943	643	9271.659266710281	18.03846153846154	19.0	2.009404735400155	20.0	14.0	0.7321219553007915	0.007408149225788465	303136
1500871	737	11224.610998392105	19.963636363636365	21.0	1.2166078579947937	21.0	15.0	0.925140193983464	0.004678887743718653	365397
1750058	844	13166.528212070465	19.80392156862745	20.0	0.6933861216706678	21.0	17.0	0.9851248863997016	0.003246462896756902	427723
2001715	952	15183.618487119675	19.92452830188679	20.0	0.8050097133616938	21.0	18.0	1.0429772242907056	0.0018671510002169413	490662
2250700	1060	17221.551569461823	20.90909090909091	21.0	0.29012942659282975	21.0	20.0	1.0373633614732352	0.0019220712424692175	552935
2500885	1172	19238.945305347443	20.535714285714285	21.0	0.5381546149671018	21.0	19.0	1.0917836595335264	0.001404938325342999	615510
2750758	1284	21282.853044509888	20.910714285714285	21.0	0.3451895771251562	21.0	19.0	1.0762912994863967	0.0015315253354695286	678017
3000511	1394	23235.796058177948	19.89090909090909	21.0	1.6063845680506832	21.0	17.0	0.9903811682007969	0.0016008216900401525	740480
3250786	1511	25168.758068323135	20.9	21.0	0.30253169045376643	21.0	20.0	1.11991894518528	0.0017709393688025016	803082
3500545	1626	27125.29687643051	20.603448275862068	21.0	0.5278109434395227	21.0	19.0	1.1905647228620928	0.0021282324168333706	865553
3750179	1759	29063.72894001007	20.905405405405407	21.0	0.29465182234077136	21.0	20.0	1.239359249492295	0.0019347981817194758	928004
4000602	1904	31134.606075048447	21.0	21.0	0.0	21.0	21.0	1.2891663221576541	0.0016060958058880081	990638
4250986	2051	33138.69315648079	20.96	21.0	0.25679942746420975	21.0	19.0	1.3656356121058988	0.0011324812226990292	1053267
4500595	2197	35101.09165620804	20.96	21.0	0.19727878476642874	21.0	20.0	1.3337940462936555	0.0012169320316517285	1115709
4751160	2344	37068.31093764305	20.946666666666665	21.0	0.22621045769630363	21.0	20.0	1.3334175701969329	0.0008184287952569791	1178397
5000784	2491	38991.7809882164	20.96	21.0	0.19727878476642874	21.0	20.0	1.3312568535210243	0.0007410783671509129	1240834
5250237	2636	40930.301399707794	20.960526315789473	21.0	0.19601288894248498	21.0	20.0	1.2776661527803295	0.0013405980171965854	1303237
5501629	2783	42911.03264594078	21.0	21.0	0.0	21.0	21.0	1.2586604376867834	0.0009234697227360997	1366125
5750089	2929	44820.13814282417	20.94736842105263	21.0	0.22478059477960655	21.0	20.0	1.280347092730057	0.0011802027848073534	1428278
6000298	3076	46802.015949726105	20.743243243243242	21.0	0.43982595595196894	21.0	20.0	1.3098719315567249	0.0007847454845151601	1490865
6250302	3223	48762.15380716324	21.0	21.0	0.0	21.0	21.0	1.3237815675963405	0.0007212079703980209	1553396
6500885	3371	50775.615711927414	20.973333333333333	21.0	0.16219218941214866	21.0	20.0	1.3222165419546177	0.0008211772927172395	1616082
6751415	3520	52790.34231376648	21.0	21.0	0.0	21.0	21.0	1.308472999242122	0.0005737997301971391	1678737
7001180	3668	54825.42992854118	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.298004533622821	0.0007478792544937579	1741210
7251642	3817	56796.7279920578	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.2895652316850508	0.0006274522206384753	1803861
7500907	3966	58780.53578329086	20.986666666666668	21.0	0.11547005383792515	21.0	20.0	1.275224885631659	0.0006242116715545854	1866216
7750647	4115	60714.00988006592	20.960526315789473	21.0	0.19601288894248498	21.0	20.0	1.269189949806138	0.0006655211130034957	1928684
8001725	4264	62684.87549448013	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.2981731662520735	0.000819812125971225	1991494
8250904	4413	64611.39342927933	20.92105263157895	21.0	0.27144835701531844	21.0	20.0	1.2878529484748542	0.0007512840072870545	2053830
8501361	4562	66558.08057785034	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.302769963398728	0.0009477878669284245	2116490
8751257	4711	68501.81041622162	21.0	21.0	0.0	21.0	21.0	1.329365965022881	0.0009953481916987123	2178999
9000348	4860	70470.31434249878	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.3108727054596216	0.0004809592826921547	2241307
9251126	5010	72408.11727547646	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.3091511169890893	0.0006691085134844361	2304040
9500320	5159	74369.05260848999	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.3085935361666463	0.00038155820731425506	2366377
9750804	5309	76307.0765016079	21.0	21.0	0.0	21.0	21.0	1.3011827558593387	0.0004937224059756664	2429038
10000000	5459	78263.62084794044	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.3080080464517514	0.00040731509770028	2491378
