steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250026	1140	1781.0868632793427	258.21011673151753	270.0	125.63551967298876	900.0	50.0	8.31116133444023	0.045174144999980535	52728
500133	2286	3709.588793039322	421.7391304347826	410.0	67.78242044762882	1010.0	270.0	11.309154892637057	0.07704363757638882	115520
750238	3434	5660.341646909714	470.3960396039604	450.0	104.89910615348168	1050.0	210.0	12.093395966031409	0.09205547432764913	178330
1000213	4583	7610.48651766777	585.78125	430.0	264.1045605695073	960.0	120.0	13.769844487804452	0.11811611642725661	241108
1250172	5786	9539.17711019516	652.7450980392157	530.0	241.17183891819224	1320.0	320.0	13.679932502471772	0.11010274194005822	303904
1500131	7008	11479.16301035881	543.9256198347107	540.0	69.23322365680343	660.0	410.0	13.903093276260332	0.1332925380694558	366706
1750135	8145	13422.51812672615	598.59375	550.0	168.4596105289964	1260.0	400.0	14.055558707083657	0.12992542366706986	429502
2000101	9205	15355.021091461182	922.9530201342282	780.0	291.9748771025692	1730.0	580.0	12.236258034798059	0.12926088852858197	492243
2250120	10256	17297.59955048561	1246.436170212766	1210.0	374.3808595394967	2340.0	530.0	11.534209582936613	0.0951792969470147	555003
2500122	11296	19228.11281633377	821.0795454545455	825.0	197.21626832872204	1800.0	580.0	10.903167881869745	0.12414863885503946	617761
2750041	12327	21229.912356376648	1043.3526011560693	1120.0	306.0442996065815	1840.0	650.0	11.640177280839948	0.10653994653625551	680480
3000061	13385	23068.10932278633	949.9447513812155	870.0	285.496637920599	1760.0	590.0	13.031409166187734	0.10359386374949009	743238
3250296	14388	24652.843194246292	1057.4556213017752	1180.0	299.3465693047482	2740.0	700.0	11.804086971511365	0.1055738783251595	806069
3500124	15401	26222.018052339554	1072.906976744186	1190.0	246.54272030116107	1750.0	560.0	14.037376987321656	0.09129259358499395	868781
3750279	16399	27795.794591903687	1159.1156462585034	1120.0	400.99008488761336	2310.0	670.0	9.963208184038384	0.09481035903446446	931553
4000157	17381	29382.690510988235	1406.280487804878	1270.0	675.5939495344917	3370.0	660.0	10.151976161306633	0.08431786829640056	994251
4250093	18361	30958.737029075623	1082.8662420382166	840.0	434.61750197128686	2360.0	680.0	13.129960683314424	0.08221169709436056	1056973
4500594	19315	32533.116132736206	1327.076023391813	1250.0	514.4473791858137	2290.0	650.0	11.829344998431251	0.08662307944495716	1119854
4750261	20277	34117.33364987373	1048.011049723757	900.0	219.17628594733907	1730.0	700.0	11.791057499732961	0.0907670242727801	1182504
5000076	21210	35676.790989398956	1126.4827586206898	930.0	449.73067717505904	2450.0	690.0	11.290341141588781	0.08022341458386675	1245215
5250101	22166	37257.25488615036	1514.240506329114	1380.0	546.5028298757129	2420.0	650.0	9.80598403816089	0.08064772641744561	1307946
5500456	23083	38843.41625666618	1222.0689655172414	1350.0	291.678324890157	2840.0	650.0	10.617882340276788	0.07579115739073801	1370770
5750346	23998	40401.57335662842	1173.092105263158	1335.0	283.5121113607913	1880.0	710.0	12.37819806742181	0.07832550637686214	1433474
6000225	24903	41966.93142056465	1389.4904458598726	900.0	881.878673685015	2940.0	580.0	7.476399586964175	0.08503610159455059	1496184
6250105	25778	43522.18544411659	1303.7820512820513	1350.0	681.616052125003	4430.0	410.0	10.201683715212791	0.07727423304810643	1558888
6500249	26639	45086.680072784424	1471.9718309859154	1365.0	753.4217353233291	3480.0	590.0	10.973717476033844	0.07296125884684977	1621641
6750162	27508	46656.82859945297	1652.9931972789116	1440.0	451.4594521545732	3400.0	810.0	7.670488042448387	0.06453857957492191	1684334
7000177	28360	48220.24542117119	1638.6805555555557	1425.0	443.3348614078858	2480.0	860.0	8.798444482251908	0.06912264324040246	1747055
7250024	29226	49774.51436114311	1245.8823529411766	1370.0	333.3854861162093	2480.0	840.0	10.196860488225518	0.07268110703832355	1809729
7500026	30086	51327.67377138138	876.374269005848	730.0	320.6276202441597	1960.0	590.0	12.639205493710636	0.06362784675241363	1872439
7750336	30973	52893.89047598839	1343.092105263158	1430.0	418.9694603177924	2930.0	780.0	10.330100434071326	0.07074207468287581	1935236
8000031	31834	54461.655111312866	1821.4569536423842	1440.0	507.412254944627	2470.0	850.0	8.695769560445694	0.06468183874508204	1997848
8250077	32688	56017.794479608536	1229.4375	1360.0	264.80619915932397	1890.0	780.0	11.437318237055198	0.06930623764807367	2060595
8500100	33561	57614.367717027664	1514.8251748251748	1450.0	320.24166303285193	2510.0	840.0	7.727634338888106	0.06675435309493447	2123331
8750246	34433	59166.9570376873	1648.8095238095239	1930.0	551.2569014793115	2930.0	790.0	11.136766929869966	0.06669429939480612	2186081
9000409	35308	60726.68287372589	1667.037037037037	1490.0	578.4437098661309	3940.0	690.0	9.205691674910916	0.0720274883109384	2248839
9250076	36157	62295.08649253845	1147.8260869565217	980.0	249.81376751210274	1540.0	880.0	11.157119481485186	0.07114248635656158	2311468
9500080	36995	63873.691321372986	1290.6451612903227	1380.0	271.33737417982627	2000.0	810.0	10.109998500299092	0.06247841023441816	2374179
9750144	37853	65437.1373167038	1328.28125	1370.0	276.1321986689207	1960.0	840.0	11.629712995611364	0.062386833061296415	2436934
10000000	38689	67193.28524446487	1071.897810218978	1000.0	282.93766941604184	1930.0	530.0	11.072011437738412	0.06806987212073581	2499617
