steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250012	1499	1778.1696519851685	0.0	0.0	0.0	0.0	0.0	6.63203321279627	0.14503410862452998	52819
500054	2658	3734.252768754959	1.829268292682927	0.0	11.713032141645456	75.0	0.0	12.026157325478515	0.21110759551498862	115630
750106	3896	5676.894547462463	32.683397683397686	0.0	302.5025468443625	2835.0	0.0	11.6474723327242	0.1862107108108009	178457
1000881	5245	7628.74787735939	2782.1739130434785	2750.0	48.2141550074561	2855.0	2730.0	17.77855265576229	0.16302077082514949	241495
1250299	5633	9600.713907241821	6.521739130434782	0.0	21.60780491400228	75.0	0.0	8.885993013528706	0.05861197398990105	303957
1500213	6115	11525.933352947235	0.4854368932038835	0.0	4.926646390821466	50.0	0.0	5.265907105368956	0.03941647332220433	366585
1750813	6654	13448.734277248383	1709.2857142857142	1390.0	459.1167763061096	2865.0	1390.0	17.466974253117144	0.03346307464326422	429386
2000230	7123	15393.599749326706	2985.762711864407	2965.0	24.63200818044995	3015.0	2965.0	5.732965227814839	0.019189674883169916	491876
2250420	7588	17318.969282865524	3031.2820512820513	3040.0	75.9563408939458	3115.0	2915.0	3.6461058203497356	0.011589429743280482	554532
2500396	8026	19312.158690690994	2775.3278688524592	2760.0	66.96310459536042	2870.0	2585.0	4.676828317038332	0.015240708529798556	617153
2750282	8407	21257.34774708748	2818.8636363636365	2910.0	200.09480977884684	3060.0	2460.0	2.0229533505406536	0.015283897911146567	679729
3000653	8850	23182.599814414978	3061.629213483146	3065.0	53.522378926625365	3115.0	2960.0	5.30291455716897	0.015954900202845342	742428
3250838	9237	25139.974979877472	4699.75	4960.0	1173.2001612772872	5570.0	0.0	2.0668243714523853	0.013331079556752527	805062
3500840	9722	27185.326179027557	2487.2916666666665	2450.0	133.98141476916155	3030.0	2200.0	3.18761949300296	0.028124234103403044	867690
3750546	10140	28917.869095802307	5315.384615384615	6865.0	2173.2083073300405	7235.0	0.0	17.135077434508034	0.0383871390373934	930216
4000136	10579	30506.153054475784	124.10714285714286	125.0	51.58692002300891	250.0	50.0	5.762955034495191	0.02546007962863127	992747
4250713	11144	32093.107244491577	5449.074074074074	5775.0	973.8859499274582	6625.0	2485.0	5.173971335176651	0.028629206101878583	1055539
4502110	11537	34012.026501894	4330.555555555556	4100.0	471.9231271176448	5280.0	3970.0	1.8890640163783268	0.03439096446906843	1118492
4750199	11974	35941.78066658974	2811.3414634146343	2760.0	523.1049421366662	6015.0	2555.0	4.439061928130997	0.03016152939647751	1180628
5000512	12472	37861.11730003357	3626.5942028985505	3060.0	1131.0437308709022	6920.0	2990.0	6.316277957012032	0.03341013092456168	1243349
5250116	13038	39780.69867968559	6428.219178082192	7120.0	1503.8564707534736	7385.0	2920.0	11.754534614618793	0.03696540193265627	1305904
5500082	13505	41791.399319171906	2779.5652173913045	2510.0	781.4742958657145	5210.0	2410.0	3.3853452914410354	0.03133200786165613	1368503
5750686	13869	43716.59768366814	3654.6774193548385	1700.0	2471.0503621887433	7175.0	0.0	3.9032125212598685	0.036886351333061645	1431247
6000936	14425	45633.543417692184	2773.4285714285716	2765.0	28.73596515834783	2840.0	2705.0	3.5529582065308207	0.02117755764168204	1493955
6250022	14839	47671.376583099365	3696.304347826087	4230.0	961.109937651757	5695.0	2540.0	5.73683354459659	0.019538952525618023	1556335
6501181	15247	49645.230199575424	0.0	0.0	0.0	0.0	0.0	1.5907937226547646	0.023533006565776577	1619227
6750089	15678	51573.65342617035	5704.381720430108	6805.0	1712.9764736994596	7035.0	3135.0	8.417538077341186	0.021053615794587116	1681544
7000299	16038	53562.29480481148	1739.0	1725.0	60.84060278603772	1900.0	1670.0	1.691587724629241	0.0210794790575692	1744185
7250415	16433	55501.061509370804	2.8846153846153846	0.0	14.708710135363802	75.0	0.0	2.649798882684506	0.020099725138643432	1806815
7500449	16833	57405.85375881195	6248.260869565217	6885.0	1620.917510201931	11170.0	2875.0	5.521457312612791	0.02623394424553865	1869418
7750039	17191	59334.452355623245	436.0	0.0	964.6026815914071	2755.0	0.0	4.204706938166004	0.017442656094476327	1931900
8000628	17661	61257.792937994	7451.875	7320.0	967.1968847291575	11430.0	6970.0	17.416481333575362	0.011211465988761339	1994650
8250141	18089	63202.32708835602	2962.9166666666665	2970.0	20.265448571327045	2995.0	2900.0	2.1874241314781715	0.0216850188525814	2057142
8500908	18489	65216.212951898575	5529.824561403509	5180.0	4166.497861868813	11230.0	0.0	3.7089630697365483	0.027857602469351414	2119937
8750391	18885	67138.98072361946	6400.625	5860.0	2528.233320488061	10630.0	2640.0	17.486291560549695	0.0290300239470702	2182425
9000953	19285	69172.33069586754	1950.8	0.0	2831.0980202034684	9960.0	0.0	2.388481913342625	0.0397935984605586	2245167
9251878	19705	71104.57919359207	0.0	0.0	0.0	0.0	0.0	1.9083578895549955	0.02831754576247689	2307984
9500356	20088	73015.45068001747	7827.5	7070.0	1605.425213542839	11275.0	6745.0	4.485933629979803	0.02547018797213202	2370204
9751253	20465	75020.49382400513	1216.8	1750.0	1211.6559605212474	2775.0	0.0	2.398034939935342	0.02643220545009537	2433003
10000000	20829	76952.9966635704	2004.5652173913043	1930.0	233.39350814508268	2795.0	1900.0	1.947523955249283	0.027038791465240283	2495283
