steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250174	1516	1709.9761786460876	697.5471698113207	400.0	389.8348448962324	2120.0	270.0	6.279895942371709	0.08735857413097195	52843
500256	2870	3563.6656591892242	398.92857142857144	410.0	84.98189852505695	640.0	260.0	8.3218990190289	0.1264126048438573	115698
750034	4063	5406.812650680542	1206.3829787234042	1280.0	309.834694625894	1800.0	400.0	9.419070158060185	0.1171339236484117	178462
1000075	5222	7306.5683336257935	551.7948717948718	470.0	149.68819473715703	1050.0	370.0	11.775752719039005	0.1702793602110717	241256
1250002	6356	9253.923959970474	954.7058823529412	840.0	257.94496256986736	1570.0	590.0	12.851418035399055	0.19116872322483736	304004
1500120	7544	11131.055745363235	728.4186046511628	850.0	248.61731961966436	2590.0	460.0	13.390324151776186	0.24669404483636584	366862
1750100	8738	13015.328111171722	1347.6047904191616	1400.0	449.4685075219643	2660.0	600.0	10.746330987707928	0.2565497670168575	429659
2000090	9914	14887.957512378693	1052.7567567567567	1160.0	444.4286393912563	3200.0	400.0	11.909882121557061	0.21710491025053724	492424
2250024	11066	16775.172000169754	1108.073394495413	1450.0	537.477427778911	3110.0	540.0	14.060492036543772	0.19952520669286058	555196
2500265	12101	18707.95614862442	1246.1309523809523	1055.0	616.6559669306569	2630.0	490.0	14.293951871726108	0.22495198492523333	618001
2750274	13111	20573.566690206528	1845.153374233129	1590.0	606.2497100197559	3100.0	540.0	14.840733958548878	0.19739525468014874	680762
3000199	14117	22436.842406988144	1518.855421686747	1740.0	735.8511152528831	3310.0	420.0	14.257948651645787	0.1799168856488473	743489
3250155	15068	24315.496374368668	1702.8901734104047	1980.0	651.5150273717782	3230.0	810.0	15.092341297842466	0.1802156361194781	806214
3500150	15975	26198.8821413517	1487.125	1230.0	846.7528709891109	2890.0	700.0	14.176449835511823	0.16934153393807128	868943
3750161	16848	28062.991235494614	2086.3025210084033	1990.0	622.2251834279097	3530.0	730.0	12.554778718319037	0.14444928212779581	931649
4000134	17705	29977.57075357437	1813.1617647058824	2070.0	442.81206147359217	3100.0	600.0	12.06147864462443	0.15086101885530007	994357
4250489	18559	31858.28855061531	2340.6716417910447	2120.0	1041.4291783292226	4380.0	590.0	10.39098796269092	0.1345968477722909	1057126
4500051	19375	33746.49193024635	2500.3305785123966	2560.0	294.48523982337247	2930.0	1330.0	13.565387565610504	0.11825633361559564	1119723
4750112	20177	35607.0769610405	2406.153846153846	2030.0	1358.2406453079248	4670.0	720.0	12.959388975806561	0.13662078869276614	1182450
5000449	20980	37475.55565738678	2331.9166666666665	2490.0	617.8375079861288	3780.0	1480.0	14.649489616400588	0.15623327849746463	1245217
5250335	21775	39403.17734789848	2282.561983471074	2390.0	614.9627751954041	3620.0	1220.0	11.076187170102807	0.1629487125642718	1307890
5500365	22570	41246.96092438698	1870.8527131782946	1900.0	360.90604518297056	3970.0	970.0	11.339239027603364	0.14117177939812145	1370604
5750342	23375	43110.40043592453	2624.705882352941	2850.0	761.6794818693082	4230.0	1350.0	9.884345299439447	0.12254901526068368	1433298
6000030	24170	44968.92442774773	2512.4647887323945	2305.0	764.7306915942809	3690.0	1700.0	12.968742564965334	0.12398773772738736	1495909
6250212	24989	46815.77202486992	2258.0	2040.0	502.5932749251625	3560.0	1280.0	12.368231974956748	0.13612080054740414	1558663
6500098	25785	48700.665924310684	2025.1677852348994	2010.0	347.14979247387754	4010.0	780.0	17.087351215729853	0.1527946089922098	1621334
6750194	26605	50564.79808592796	2418.5185185185187	2010.0	649.5013397276907	3550.0	1490.0	13.93160237616816	0.1328732416957343	1684079
7000315	27395	52414.30095744133	2126.8115942028985	1950.0	621.5356371003686	3210.0	1360.0	14.71483170602157	0.11902552487613077	1746809
7250112	28208	54273.759536504745	2345.4814814814813	2260.0	618.8442749147832	3630.0	1280.0	15.120383926755041	0.1477457301480102	1809466
7500400	29020	56157.45607018471	2861.5652173913045	2800.0	332.870533033511	3310.0	430.0	14.676417308671661	0.1769588621919659	1872242
7750536	29831	58027.05187082291	2146.074074074074	2080.0	253.12405163646568	2540.0	1110.0	13.727902988659636	0.13916459156202698	1934975
8000010	30648	59848.68777370453	2751.864406779661	2280.0	752.1217272280123	3820.0	1760.0	12.115628463916167	0.11716249335147305	1997550
8250002	31465	61370.295388937	1961.1363636363637	1980.0	312.96573899086104	3000.0	1290.0	12.85747036774932	0.12904283508933326	2060255
8500028	32287	62901.08746409416	2478.4892086330933	2750.0	537.9482137527775	3740.0	1190.0	16.588912218494258	0.1472754947095158	2122972
8750145	33086	64415.172093153	2763.305785123967	2370.0	579.3133700478986	4440.0	1160.0	15.976648897675116	0.14443316246376947	2185707
9000129	33891	65940.38460922241	1484.8484848484848	1720.0	636.8688708128975	2340.0	270.0	14.101357842574515	0.12298071856917049	2248414
9250364	34687	67723.39912867546	2831.2605042016808	3120.0	542.2419789778778	3730.0	1550.0	12.153091613878859	0.1406412966771381	2311164
9500112	35495	69616.30635809898	1974.5714285714287	1760.0	719.7505277520701	3950.0	1130.0	17.317039737271948	0.11859038466080096	2373803
9750131	36283	71456.85506439209	2177.0078740157483	1940.0	473.19131833438325	3310.0	1170.0	12.37169243588228	0.1308965152958804	2436516
10000000	37088	73288.94384121895	1885.8620689655172	1780.0	233.98595104697273	2710.0	1160.0	16.600556040073144	0.1187993263746399	2499209
