steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250064	2908	1707.0790548324585	251.28205128205127	225.0	80.11654387494026	425.0	175.0	3.2017311200468463	0.04397249280959372	53136
500043	5535	3536.9136123657227	540.0	400.0	330.50526139632166	1175.0	300.0	3.961261927948078	0.05861495265367601	116253
750081	7745	5373.38470864296	673.4536082474227	625.0	122.9133837675657	1175.0	475.0	3.4156700297454243	0.04149702721475301	179302
1000045	9446	7198.970351219177	590.8227848101266	700.0	152.43131559611052	1050.0	375.0	3.3033891076865554	0.030187173943620173	242232
1250019	10876	9055.906398057938	555.0546448087432	500.0	115.21478875122122	800.0	300.0	2.694801399033565	0.02006906539602502	305080
1500218	12295	10930.529116392136	591.2587412587412	500.0	162.13416950023574	1050.0	450.0	1.474158294543243	0.012317281598142263	367980
1750094	13626	12868.791983604431	871.7625899280575	825.0	423.2148627347821	4225.0	525.0	2.541702597152562	0.01134172474942284	430792
2000098	14929	14719.309866905212	862.781954887218	825.0	269.0931836559389	3750.0	325.0	2.0235383086340604	0.028781889530862925	493632
2250166	16317	16584.803750276566	1455.952380952381	675.0	1508.7549842533306	4100.0	400.0	5.8779524952367534	0.05159735522933132	556499
2500015	17612	18437.40251803398	2692.4285714285716	4075.0	1761.7513374597027	4625.0	275.0	6.669111083334679	0.050488876321307434	619301
2750201	18978	20319.639651298523	1434.4059405940593	775.0	1566.6568149042491	4700.0	200.0	5.500712048330431	0.09648799602642842	682193
3000085	20565	22192.434168100357	3604.294478527607	4600.0	1699.8651795941012	5125.0	450.0	8.480545143696533	0.1609071627755441	745058
3250022	22051	24127.861192703247	680.7268722466961	750.0	162.32621839167575	1275.0	0.0	4.379632920011331	0.12884398620396526	807899
3500030	23595	25986.699460744858	779.3269230769231	825.0	467.31285235380807	4600.0	425.0	6.355450357441608	0.1019721191580949	870778
3750064	25065	27873.688490390778	2537.31884057971	4050.0	1735.040982647747	4600.0	225.0	8.54666361114378	0.12632512791782674	933661
4000320	26314	29760.851495981216	4133.948863636364	4125.0	53.66725736412299	4400.0	3975.0	10.72323079782101	0.12793707517097003	996540
4250093	27588	31619.41125845909	1391.294642857143	525.0	1683.2637320752951	4775.0	275.0	11.288949013493502	0.11657678515444139	1059288
4500272	28785	33478.320070028305	3603.968253968254	4175.0	1593.9523603245257	8200.0	475.0	7.099356577963142	0.09787076818439741	1122133
4750093	29874	35066.43508219719	4373.230088495575	4375.0	590.802994854847	4975.0	325.0	7.51397556505741	0.07704436040213562	1184853
5000154	30976	36600.0277094841	4452.1484375	4425.0	509.43873840385925	4925.0	500.0	9.492823659654078	0.06214170480492969	1247651
5250063	32158	38122.627340078354	2346.5408805031448	800.0	1908.173786442832	4850.0	250.0	11.008032032521063	0.059940385846363596	1310427
5500291	33248	39673.81636071205	2258.5	550.0	2157.8478395516486	5075.0	225.0	8.667138945748727	0.06091054254288402	1373282
5750198	34365	41196.31112456322	4520.992366412213	4450.0	398.31154208315974	4975.0	800.0	9.034691538934176	0.043343002495692555	1436030
6000052	35500	42775.10269117355	2525.5882352941176	4187.5	2076.4261388067584	5275.0	200.0	8.424658361638306	0.04627842936775818	1498790
6250208	36562	44611.573870658875	4595.0	4475.0	209.5742071787622	4950.0	4400.0	5.790578486049175	0.04169207173706052	1561592
6500185	37657	46455.869398355484	4414.015151515152	4450.0	324.3939971971339	4575.0	725.0	8.667234565219907	0.04418498186988521	1624358
6750049	38781	48290.392471551895	1999.2366412213742	400.0	1874.0781614651587	4550.0	200.0	10.987202546787653	0.041292179243866196	1687113
7000105	39805	50139.36051154137	3499.1197183098593	4437.5	1889.330372134377	7900.0	125.0	6.768345680302736	0.03756411307841594	1749876
7250012	40876	52010.21085500717	3718.7969924812032	4450.0	1588.0961241010652	7850.0	825.0	9.394085036289317	0.04808798043547562	1812635
7500392	41901	53866.30652856827	4572.747747747748	4450.0	466.63141905028345	5450.0	475.0	4.708266239273133	0.03437440789779883	1875481
7750499	42977	55698.7709941864	4560.585585585585	4450.0	554.9626272178314	7775.0	350.0	4.574553583178783	0.06162128629588019	1938248
8000537	44085	57554.888335466385	5829.381443298969	5025.0	1700.4250782481995	8625.0	4100.0	9.16942944379652	0.059474375854725765	2001039
8250087	45192	59427.05903458595	3561.3636363636365	4350.0	1717.5275160083577	8075.0	225.0	8.524358312431703	0.08864710497524819	2063702
8500083	46369	61293.27079772949	6066.880341880342	7625.0	1719.885061127498	8375.0	175.0	15.139086291354364	0.11385800089698116	2126525
8750128	47573	63221.09570336342	5055.725190839695	4425.0	1710.9280120333935	8375.0	200.0	8.22048646788823	0.09547240258047286	2189332
9000233	48658	65070.91601753235	6867.5847457627115	8125.0	1928.4872656521259	8525.0	200.0	12.476758741600184	0.14887452647059032	2252141
9250345	49694	66919.08131718636	7901.739130434783	8075.0	405.86059932809013	9075.0	4475.0	15.831001004783866	0.12629025411631956	2314946
9500181	50713	68839.65029263496	4343.303571428572	4450.0	2613.443299050591	12000.0	550.0	15.976297710823594	0.12748973834011318	2377674
9750498	51713	70701.21140217781	8338.317757009347	8400.0	2828.811333131868	12500.0	250.0	10.437860565883165	0.13801072303480644	2440524
10000000	52681	72564.48816728592	10536.458333333334	11400.0	2168.118019300157	12750.0	3925.0	15.068162594352607	0.16125017958557647	2503132
