steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250061	705	1541.5700647830963	3855.128205128205	3900.0	2284.76873341005	7900.0	400.0	2.3097867003113564	0.008489496463741216	52679
500369	1442	3022.3544685840607	2932.394366197183	3900.0	1523.133485181812	4400.0	600.0	3.1734883572206862	0.0142408356078564	115437
750284	2293	4500.931903362274	1036.3636363636363	800.0	826.8129674050984	4300.0	600.0	3.218616010916901	0.010200594927451357	178126
1000283	3118	5976.9128160476685	2763.551401869159	3800.0	1545.6812947000917	4400.0	600.0	2.7863831808364297	0.00937396155807107	240832
1250142	3938	7446.213101387024	607.2072072072073	700.0	176.69270279304467	1100.0	300.0	2.1731038938120326	0.0052907012583028965	303472
1500063	4796	8931.705159664154	3650.6329113924053	4200.0	1254.0062382498822	4800.0	700.0	1.8251388911051014	0.004203736273878441	366141
1750061	5677	10399.269270181656	531.6455696202531	600.0	108.06491852000572	800.0	300.0	1.998560357518979	0.0053881578261319885	428884
2000043	6519	12053.776185750961	4001.3888888888887	4200.0	1791.5681269986976	8200.0	800.0	1.6590625910076147	0.004001716174462961	491583
2250146	7349	13861.73031616211	4165.625	4200.0	815.7611598018564	5000.0	600.0	1.448452351881753	0.005658781157002374	554332
2500417	8205	15679.496644735336	2615.7894736842104	3800.0	1556.7532565420847	4400.0	600.0	1.6497171946443574	0.0037596833612534553	617129
2750111	9037	17511.43001484871	3637.1134020618556	4200.0	1474.7400609675863	8100.0	800.0	1.4114671558358711	0.00449361377899518	679752
3000338	9929	19320.771481513977	3562.3376623376626	4100.0	1342.6249781127856	4700.0	700.0	1.6266907621076427	0.0037747411864873202	742530
3250021	10856	21224.434243917465	2637.6470588235293	4000.0	1702.5174966297798	4400.0	700.0	1.4705181659807962	0.004258213159535435	805192
3500009	11742	23046.766488313675	3411.904761904762	4000.0	2619.2247892925343	8400.0	700.0	1.4154313179536155	0.004139125806980629	867918
3750006	12703	24889.639691591263	3695.505617977528	4200.0	1341.4637622896346	7700.0	1100.0	1.5296976223652057	0.0044531489254335125	930646
4000503	13607	26724.737732887268	3964.1304347826085	4000.0	471.28105091723666	4500.0	800.0	1.5080988436312848	0.004670564265930643	993486
4250177	14558	28551.909743785858	4247.887323943662	4200.0	600.6803654261147	4900.0	1100.0	1.5660475417919812	0.003914572615020306	1056146
4500060	15483	30424.1078145504	3190.625	3800.0	1515.9557086294824	4600.0	600.0	1.7447289645982673	0.004701613553554101	1118825
4750177	16432	32250.799953460693	953.5087719298245	800.0	751.8919881667014	4200.0	400.0	1.6472223450405923	0.004005760286400764	1181632
5000101	17395	34072.311574459076	2168.181818181818	800.0	1621.978168055304	4800.0	700.0	1.4096220065807044	0.004629514154025919	1244357
5250054	18435	35896.58517217636	1921.875	1100.0	1624.223012304895	7900.0	700.0	1.4713162163020181	0.00462600849592237	1307077
5500080	19420	37734.294624090195	5088.311688311688	4800.0	1525.9142234613273	8100.0	800.0	1.4991949653546095	0.004251037809431407	1369809
5750142	20366	39552.76217317581	3618.75	3900.0	863.9456157808934	4400.0	700.0	1.564379105329294	0.005205291207299579	1432560
6000087	21365	41419.03689622879	4386.363636363636	4400.0	773.5842564846299	8000.0	800.0	1.3044343145439627	0.003766308232977199	1495285
6250186	22363	43243.94756627083	3188.1889763779527	3900.0	1367.979286789045	4600.0	900.0	1.2456877838443803	0.004060044611522311	1558062
6500236	23402	45095.390018463135	3912.0	3900.0	738.450466117458	4600.0	800.0	1.512806127132591	0.0035357854206468538	1620860
6750088	24434	46919.05047035217	3107.766990291262	3900.0	1533.4626535654752	8000.0	600.0	1.2282621723498386	0.003969177741788663	1683592
7000068	25465	48738.0475795269	4238.235294117647	4200.0	258.7265530188994	4700.0	3800.0	1.464582959920037	0.004267276304292381	1746358
7250177	26432	50621.67624545097	4252.0	4300.0	646.9009260163476	8200.0	900.0	1.4106388270488006	0.004307598839818725	1809132
7500115	27448	52418.933122873306	3203.3333333333335	3900.0	1464.443752971748	4400.0	600.0	1.6159519428703548	0.004439563447881288	1871873
7750408	28406	54242.213077545166	3646.153846153846	4400.0	1578.5582516480517	7800.0	700.0	1.2463094523739273	0.004698526799078437	1934691
8000105	29385	56059.64252281189	3030.188679245283	4000.0	1500.8042168765483	4400.0	600.0	1.5253482087469716	0.003424947452982189	1997349
8250007	30425	57862.406625032425	3956.896551724138	4000.0	600.1773850731327	4900.0	900.0	1.4421974669640254	0.00456227203456507	2060077
8500145	31418	59692.84081840515	4013.4146341463415	4200.0	765.2583191915262	4700.0	600.0	1.2583974749318365	0.004318991515001739	2122858
8750289	32409	61511.26653790474	4031.6326530612246	4000.0	344.19993553720565	4500.0	1000.0	1.2917176437156288	0.0045505039284627225	2185647
9000133	33395	63320.61871767044	4434.313725490196	4200.0	835.4159571099322	8100.0	3900.0	1.3363286158226648	0.004404571308054617	2248372
9250296	34356	65129.34512090683	2200.9615384615386	1500.0	1586.3798436109448	4800.0	600.0	1.4364921893723748	0.004002216729676795	2311142
9500074	35342	66972.6368906498	2527.5862068965516	3850.0	1612.968433174311	4500.0	700.0	1.6746389964412618	0.005308047893433212	2373821
9750006	36348	68797.25374794006	4039.0	4100.0	548.6245427329048	4400.0	900.0	1.429138175960938	0.004046973393201263	2436549
10000000	37379	70620.60925126076	4141.509433962264	4200.0	518.9491074282997	7800.0	900.0	1.3274533155478816	0.00442935956470423	2499321
