steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250054	2908	2095.2588613033295	270.3246753246753	300.0	41.664096241061266	300.0	100.0	2.3208280513096464	0.038769966940212376	53113
500236	5527	4410.126745462418	574.0521327014218	775.0	237.72042830001845	800.0	275.0	3.443982193499694	0.05065229304016744	116325
750082	7693	6726.492174625397	553.763440860215	700.0	175.5665053230249	725.0	325.0	2.868111405873067	0.042129239212451236	179325
1000215	9288	9038.208707809448	902.5914634146342	675.0	271.53589090464453	1300.0	550.0	2.96534685756452	0.03331026905502426	242292
1250094	10512	11287.28409576416	703.9215686274509	750.0	279.4366637920075	3950.0	550.0	2.4419366220685474	0.013146812201432071	305065
1500089	11728	13540.056856870651	688.3152173913044	825.0	152.77269299010786	1300.0	325.0	3.378048893125913	0.013817522908068218	367878
1750092	13014	15793.85584640503	882.8358208955224	850.0	118.07581316503487	1050.0	400.0	2.7882501672075266	0.0420319279125497	430719
2000065	14331	18135.942672729492	707.5112107623319	650.0	449.52073438220674	4025.0	500.0	3.6414285161643796	0.07193920308253546	493538
2250071	15769	20377.081532239914	770.0867052023121	750.0	58.85653129185495	850.0	350.0	3.973090334958938	0.13077734308493047	556371
2500028	17278	22680.496777057648	1320.7848837209303	725.0	1411.7408046993621	4275.0	450.0	8.115154481161783	0.1243172199941261	619240
2750308	18653	25029.959460496902	2466.839378238342	4100.0	1724.8211290424517	4125.0	325.0	10.366112770682243	0.16924025703856863	682147
3000145	19791	27313.170813322067	4655.691056910569	4775.0	523.0331326696095	5250.0	700.0	10.70486860410296	0.11327589898735127	744893
3250062	20921	29606.430246829987	4721.762589928057	4850.0	261.3862593201097	4925.0	4200.0	8.043115634229338	0.06277902176453608	807645
3500585	22017	31928.64714717865	4695.866141732284	4875.0	444.45172863047196	5900.0	750.0	8.417824458562855	0.05563126287653468	870561
3750163	23081	34214.0899746418	4955.963302752293	5000.0	172.96766592533268	5425.0	4450.0	5.837546944322914	0.05637416461234064	933176
4000007	24108	36519.00942492485	4694.375	4400.0	696.0608138033666	5450.0	250.0	6.776533574387343	0.03970204036520608	995882
4250204	25125	38754.220452308655	7080.3691275167785	7650.0	1106.4902348648454	8275.0	4400.0	8.229592904412831	0.03965550279580542	1058692
4500200	26210	41063.64472770691	5319.2	4475.0	1358.6496201458936	8000.0	4425.0	7.962490248896967	0.0916193418950786	1121477
4750135	27436	43380.28637599945	5401.351351351352	4850.0	1446.6923003160043	7900.0	650.0	9.223232919333986	0.13525606301265203	1184249
5000466	28541	45598.03829550743	6014.473684210527	7950.0	3230.630674588831	9200.0	650.0	13.850082484268547	0.11105075092393525	1247090
5250102	29545	47843.700929403305	8575.520833333334	8400.0	2717.3273904573634	12025.0	625.0	11.822598336628856	0.15784936715567852	1309737
5500659	30613	50082.98261666298	7880.172413793103	8325.0	5314.151039852257	15300.0	725.0	14.387358360368864	0.1613028623131976	1372625
5750143	31533	52307.81670379639	6620.238095238095	8100.0	4527.9407176836075	11975.0	275.0	9.339180317597812	0.18767252140633087	1435223
6000212	32505	54665.23141860962	10585.15625	11425.0	1781.4747665207049	12300.0	375.0	15.982655583036937	0.1662311259453709	1497983
6250005	33381	56931.41617226601	10845.170454545454	11625.0	2046.492155622659	15150.0	425.0	15.401574436084067	0.18588324431188896	1560653
6500401	34261	59210.953758239746	7618.237704918033	8725.0	2324.341275397613	12825.0	700.0	14.282629545339345	0.19575321249149633	1623458
6750256	35121	61435.47729277611	13543.452380952382	14950.0	3026.7783756090407	16000.0	4100.0	16.82451778427202	0.18991632229523603	1686117
7000416	35953	63746.81222295761	5903.017241379311	8000.0	6326.382524289189	16700.0	0.0	16.682757312013923	0.17086959345936678	1748860
7250081	36744	66009.5148897171	8285.714285714286	8400.0	6213.743289684818	15500.0	600.0	16.797003129656964	0.17024154702882754	1811456
7500535	37604	68284.34952783585	11512.974683544304	11925.0	4401.225173175293	16825.0	475.0	13.465194680828304	0.1933876545170357	1874304
7750308	38437	70524.07807564735	10542.391304347826	11625.0	4020.2504895894776	15650.0	4200.0	6.022253491387217	0.15337557866175555	1936968
8000355	39249	72853.19480872154	7844.724770642202	4900.0	3750.359663916594	16375.0	4075.0	17.125535697813678	0.16201513649272908	1999672
8250208	40084	75145.51828694344	11509.198113207547	14875.0	4822.862622412448	16050.0	4400.0	17.952283633091323	0.16234879080418962	2062353
8500049	40848	77396.26659536362	11009.635416666666	15262.5	6127.627653109604	16200.0	700.0	11.652400615694491	0.14460807444892987	2125004
8750739	41645	79667.96058630943	13719.407894736842	15375.0	2251.190791130369	15825.0	4750.0	16.044155832806773	0.14824170716288287	2187894
9000110	42418	81897.85770511627	12210.714285714286	12475.0	2550.2781516520213	15775.0	775.0	12.862659978856811	0.13565991744186828	2250447
9250022	43188	83753.17225980759	11666.129032258064	8225.0	3909.7054632359022	16575.0	8150.0	17.19312965979904	0.13358525244936864	2313131
9500053	44025	85592.12232041359	6619.130434782609	325.0	6774.268694293625	16400.0	300.0	11.603538092070025	0.1656767046857033	2375848
9750100	44811	87418.67243671417	9299.347826086956	4825.0	5284.525635640841	16625.0	300.0	14.42146041594867	0.1489480437385739	2438587
10000000	45622	89246.07017612457	12463.76404494382	13600.0	3348.698040835056	15625.0	4650.0	11.448951980485736	0.13842348939037566	2501277
