steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250154	1154	3243.0820603370667	330.85714285714283	310.0	69.93908356445675	520.0	190.0	7.786826552707513	0.052770674374931235	52765
500112	2283	7327.736329317093	485.0	400.0	255.92220470953274	1550.0	200.0	10.279153748608735	0.07592264602320047	115555
750088	3475	11834.880244731903	511.1170212765957	460.0	216.42532675652356	2070.0	300.0	10.327576208230667	0.07735522602695608	178339
1000390	4642	15720.70698428154	681.4124293785311	540.0	387.5765825545098	2150.0	350.0	10.838667881360616	0.10471362327484274	241221
1250074	5768	19617.715130329132	810.7692307692307	620.0	378.03426068604375	2180.0	270.0	13.377759025498314	0.12345513986031634	303923
1500051	6897	23518.40566802025	718.8516746411483	650.0	220.71915240859946	2100.0	420.0	13.733804841158628	0.11024307228944057	366724
1750007	7976	27443.691712856293	992.5274725274726	760.0	456.9514485291776	2290.0	460.0	14.302193319335782	0.12295781331799654	429466
2000006	9049	31340.014911174774	1242.3595505617977	1230.0	588.6507073840578	2810.0	410.0	13.744978546633916	0.101929085794605	492223
2250271	10102	35322.50839138031	1112.9050279329608	1190.0	425.9746879215463	3420.0	520.0	12.404939650688002	0.10789254852397967	555057
2500055	11174	39280.11533880234	1172.2619047619048	1220.0	442.4140396643833	2830.0	510.0	13.897396566864037	0.10429204371960336	617767
2750196	12205	43181.79637479782	1085.030303030303	930.0	342.7233546996979	1900.0	610.0	13.31521958091092	0.09401251987514342	680546
3000105	13207	47085.69751405716	1266.25	1290.0	558.8743741107977	2920.0	580.0	12.536755142975084	0.09732112466856707	743286
3250332	14173	51041.30096197128	1275.3947368421052	1340.0	482.75956416554584	3440.0	620.0	13.176050617756482	0.0833156492734489	806102
3500200	15147	54934.31939482689	973.8095238095239	690.0	564.54720293337	2980.0	440.0	11.750300052593364	0.07858986155097446	868826
3750070	16070	58885.296535253525	1673.1884057971015	1870.0	566.0427178267902	3030.0	630.0	12.639525017320928	0.07614420248981336	931535
4000040	16926	62848.957773923874	1744.5774647887324	1560.0	610.5091738896773	4920.0	570.0	11.679515520666014	0.07447313048847244	994228
4250136	17818	66813.36829805374	1266.3855421686746	950.0	730.3898142494878	4010.0	520.0	13.108181276911859	0.07236307243772863	1056992
4500202	18720	70764.32137441635	1419.527027027027	1370.0	648.4270181786278	3500.0	620.0	13.665559923064889	0.07401092107303388	1119753
4750122	19609	74636.18807959557	1589.1666666666667	1465.0	537.276868631466	3510.0	790.0	13.29341143536527	0.07406381305508226	1182475
5000134	20487	78505.8529753685	1474.4516129032259	1420.0	514.5482723627954	3270.0	640.0	13.647604872459715	0.07686249293390246	1245178
5250136	21374	82395.80678796768	1579.9315068493152	1500.0	447.240576432158	2980.0	590.0	11.318602516506836	0.07283946614111868	1307893
5500082	22274	86285.6382496357	1378.2894736842106	1390.0	506.11332437212707	2890.0	650.0	11.53276361919946	0.08053003489919694	1370604
5750323	23158	90207.21236133575	1448.3333333333333	1460.0	549.2308671720349	4890.0	790.0	11.009653545337533	0.07807488844997179	1433353
6000009	24031	94125.32019734383	1507.3376623376623	1470.0	504.36401706459225	3520.0	630.0	10.853923764292244	0.06540727730728957	1495992
6250028	24922	98044.05351638794	1574.76821192053	1510.0	568.3846519592005	3440.0	600.0	12.491864702555262	0.06756296667128	1558733
6500057	25809	101940.47370195389	1437.5	1420.0	569.9558319287999	3010.0	560.0	13.713759939803992	0.06955766818451913	1621495
6750208	26689	105812.35740160942	1552.0945945945946	1450.0	709.7870269623503	5960.0	580.0	13.93545723905365	0.07256165756801355	1684244
7000177	27577	109714.12028288841	1575.6944444444443	1500.0	501.5565321416469	3020.0	620.0	11.410687491917596	0.07687185114065698	1746956
7250261	28460	113615.5181863308	1722.9931972789116	1550.0	543.2769859979804	3460.0	700.0	12.915072651563317	0.07112915615885781	1809703
7500086	29333	117503.13034391403	1627.972027972028	1490.0	480.89493953880134	2950.0	750.0	11.540489512811561	0.06863124403765641	1872352
7750210	30219	121434.5658197403	1362.6315789473683	1460.0	506.77102323390926	2980.0	320.0	13.474420641811342	0.0814769498665372	1935112
8000352	31105	125348.62816667557	1799.7916666666667	1900.0	628.4829873470048	5030.0	640.0	14.448530623954476	0.08402060552938483	1997860
8250164	31979	129274.07705140114	1821.3725490196077	1900.0	475.4015737739508	3420.0	660.0	12.58347771989053	0.0852403254380808	2060533
8500153	32845	133199.05274295807	1991.5333333333333	1930.0	587.4044108060918	3460.0	940.0	12.846913152115928	0.07671425634546102	2123226
8750411	33703	137101.2214782238	1803.7062937062938	1890.0	586.0607072358154	3530.0	720.0	13.753445399054357	0.08597209009003205	2186033
9000140	34572	140935.39424276352	1868.7333333333333	1940.0	484.1824170448484	3450.0	730.0	13.392205473803495	0.08329207878182761	2248686
9250024	35427	144794.84277653694	1549.867549668874	1440.0	598.1660714271769	3490.0	650.0	15.169003780235334	0.08028991339771811	2311365
9500053	36295	148631.6856789589	1884.7887323943662	1950.0	562.6794034597449	3540.0	750.0	12.677233170457688	0.09229208537445992	2374079
9750136	37152	152509.326764822	1907.2794117647059	1960.0	506.2724590892181	3040.0	720.0	14.329632304804415	0.09487656797581358	2436823
10000000	38021	156338.9692978859	1863.972602739726	1890.0	545.7806550090838	3560.0	770.0	12.27253671239004	0.08138178094621583	2499499
