steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250081	1410	3970.122573852539	51.492537313432834	50.0	30.11360969593385	175.0	0.0	14.138974513348098	0.12398130859697995	52843
500035	2693	8818.810142278671	47.22222222222222	0.0	55.61428519677941	150.0	0.0	45.72147149415505	0.14545235342325333	115653
750031	3987	14959.094733476639	3089.9122807017543	3095.0	59.9366572491786	3165.0	2960.0	19.7710666821757	0.08466839203529707	178462
1000643	5054	20695.228489875793	1639.4871794871794	1755.0	1456.5748372158075	3220.0	75.0	11.34639024094399	0.09871999385735342	241374
1251180	5655	26613.5001411438	2940.246913580247	2940.0	2.2222222222222223	2960.0	2940.0	10.366132268508501	0.045669841023238844	304165
1500016	6279	32612.641041517258	3207.9545454545455	3185.0	134.63265344710095	3460.0	2835.0	7.805580523442405	0.02044726967314511	366538
1750282	6721	38648.07704901695	1785.8108108108108	3065.0	1564.1413661217496	3265.0	0.0	4.813614355509045	0.015166373113153475	429238
2000566	7099	44628.861750125885	3271.935483870968	3190.0	630.8772693894257	5535.0	2420.0	17.937423341908158	0.012756887783734669	491904
2251252	7444	50671.37336754799	4702.096774193548	5325.0	1140.200109771342	6175.0	3290.0	2.970913790317133	0.015025485379812345	554662
2500429	7888	56679.90638899803	3068.478260869565	3040.0	55.100283029503125	3240.0	2990.0	7.625673510229551	0.01703660929747064	617072
2750228	8328	62677.66874861717	3878.809523809524	3235.0	1168.5689651229611	6275.0	3235.0	7.416112069389139	0.015127984740280653	679635
3000145	8680	68685.41353797913	3707.1052631578946	3350.0	982.9558509090912	5890.0	3040.0	4.19413856354014	0.03192134101184634	742199
3251080	9216	74718.72326850891	10955.531914893618	13100.0	2747.279135016758	13605.0	7500.0	7.21481999785036	0.02810970354493589	805073
3500900	9713	80737.39325451851	3173.653846153846	3177.5	44.689096932197955	3215.0	3065.0	4.386769032297224	0.04031261333056654	867672
3750470	10059	86775.01283740997	3467.9166666666665	3415.0	395.73518996888583	5310.0	3290.0	4.731778427922578	0.02692730501260928	930151
4000625	10487	92850.3451166153	7569.8	7785.0	1460.5121969881047	10395.0	3060.0	4.8520525937666354	0.04182410119387185	992793
4250187	10999	98910.87784814835	8350.925925925925	8120.0	1049.793969747102	13550.0	7825.0	3.4199173685492243	0.051143895852134844	1055309
4500052	11581	104964.35734963417	8597.822580645161	7707.5	2338.1679147389186	13370.0	3040.0	4.79172216560269	0.04991318341000135	1117933
4750692	12215	110058.4714410305	7874.166666666667	7580.0	1156.2931880719566	11935.0	7125.0	3.080650249781835	0.05778536884606638	1180755
5000353	12688	114898.3745982647	9700.714285714286	8160.0	2343.0595649705538	13585.0	7745.0	3.8311958258708567	0.031147803816537253	1243287
5250621	13302	119694.10110378265	12584.012345679012	12700.0	1178.5543103080481	13505.0	7785.0	15.817286743045685	0.03698678904544191	1306033
5500428	13819	124512.77781558037	12266.1	13427.5	2319.735270346553	13705.0	7590.0	15.655674448260864	0.04213986713085351	1368627
5751308	14423	129340.82797646523	9325.853658536585	9550.0	1458.4760464432661	12075.0	7710.0	5.854711972146529	0.028586924281024696	1431502
6000352	14881	133954.61675739288	8088.0	8090.0	447.7676824379998	9535.0	7640.0	4.2228909734613325	0.02133390947924796	1493888
6250428	15541	138702.7789876461	11762.264150943396	13210.0	2414.133595158734	13420.0	7535.0	5.643590004155829	0.037246709864692515	1556604
6500134	16280	143491.37351417542	13291.0	13535.0	1137.0521513706876	17305.0	7950.0	10.619079396177703	0.021174604376664134	1619218
6750192	16769	148306.36208200455	11478.26923076923	12830.0	2261.2294687641147	13905.0	7760.0	8.830304950469431	0.017189829742205516	1681859
7001081	17270	153088.90464425087	14140.30303030303	13810.0	3255.105443026607	18815.0	7765.0	6.219095106747959	0.01799459208053814	1744704
7250135	18213	157995.76506257057	12649.402173913044	13410.0	1393.3205736994353	13725.0	9440.0	12.526673864919506	0.023259659756342425	1807208
7500813	18817	162902.5378317833	11703.888888888889	12930.0	2031.8122064536149	13990.0	7550.0	5.283336855645858	0.018853453587929773	1870035
7750350	19454	167714.8586268425	11999.391891891892	13237.5	2307.348438558784	13900.0	7885.0	4.509616333189735	0.01449187252008215	1932617
8000069	20033	172600.65287399292	13149.329268292682	13485.0	1240.368762917577	13915.0	7880.0	12.121196773979639	0.021857191343086717	1995189
8250387	20546	177430.94572639465	13879.920634920634	13715.0	655.9710187733588	17680.0	13460.0	9.887080513278162	0.02419497418336199	2057896
8500525	21152	182260.98819756508	13418.692307692309	13450.0	198.57161200975793	13910.0	12810.0	11.825678055804252	0.03546648083986439	2120603
8750235	21756	186652.48409605026	13300.25974025974	13365.0	988.8044003611715	19010.0	7785.0	11.042614379094879	0.04571535068670785	2183192
9000402	22561	190368.64678001404	11917.863636363636	12605.0	1829.8023981011577	13580.0	7660.0	14.563319230847886	0.05300904113089834	2245973
9250002	23557	194130.50183486938	11592.033333333333	13195.0	2501.078565773179	13630.0	7640.0	20.17381654686494	0.05390766674259022	2308631
9500098	24323	197862.4064412117	11868.793103448275	13050.0	2300.8307634541193	13465.0	7540.0	6.356491805477213	0.044057685824766546	2371357
9751157	24880	201597.32984352112	9626.842105263158	10725.0	1923.3298901351634	12850.0	6460.0	8.746421591598478	0.03796283024189462	2434283
10000000	25531	205296.77967381477	7728.118556701031	7485.0	901.5599269785994	11590.0	7435.0	19.018145510119133	0.051341645265406466	2496643
