steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250096	1504	2487.7695684432983	659.7058823529412	620.0	180.9783617475152	2110.0	290.0	4.64860188479037	0.08775265596403513	52842
500107	2842	5649.891402482986	777.2192513368984	670.0	371.6466845298329	2560.0	330.0	8.459451533093599	0.1156465134604201	115655
750188	4106	9656.971695184708	1057.528735632184	965.0	552.3540654510995	2630.0	350.0	10.360341903825779	0.1291307614083354	178477
1000111	5173	13582.672342538834	1446.1875	1360.0	565.8842603122854	3840.0	690.0	13.335312080823464	0.1745076494015604	241192
1250156	6126	17500.776777505875	1480.5806451612902	1350.0	486.24887902208104	2970.0	530.0	12.191328077481595	0.22623189408111272	303932
1500027	7065	21401.419290542603	1622.972972972973	1310.0	878.1779680009387	4860.0	810.0	14.170554377154975	0.1813075094122249	366624
1750202	8013	25306.066559553146	1873.25	1895.0	838.3013297716134	4040.0	390.0	14.763193208298	0.17061921328963423	429396
2000065	8943	29219.787791252136	1465.6291390728477	1300.0	544.6547238498171	3340.0	450.0	13.470663577145867	0.2053172249320926	492112
2250199	9910	33134.77657556534	1307.1084337349398	1245.0	397.749822758224	2850.0	760.0	14.319915843842681	0.1651015993750072	554875
2500158	10828	37066.75135421753	1615.9615384615386	1460.0	536.556257876101	3280.0	930.0	15.303431150148013	0.18381303646963115	617582
2750180	11748	42196.18068885803	2121.1428571428573	1990.0	896.8827596074008	4400.0	560.0	15.377982356228177	0.17884385451016147	680320
3000228	12702	47661.94938516617	1164.4886363636363	1200.0	423.2388989500086	2290.0	360.0	15.409230825647633	0.17729540975491379	743078
3250294	13612	53265.96185898781	1433.2911392405063	1365.0	387.27932781828383	2600.0	860.0	13.684393542010136	0.17218591049534165	805825
3500127	14560	58741.20501995087	1361.625	1330.0	361.6069785253584	2510.0	660.0	16.04498901388951	0.18163647569219488	868521
3750146	15512	64370.181856155396	1937.9617834394905	1450.0	996.7091613787275	5420.0	710.0	16.425012110138866	0.17275142511497318	931265
4000090	16442	69780.00155377388	1343.6809815950921	1240.0	333.16654541197045	2230.0	780.0	16.064569190586916	0.16908620069870195	993997
4250033	17389	75311.3391354084	1482.439024390244	1510.0	289.95053936416457	2810.0	1000.0	14.646852278970654	0.16380718144507925	1056715
4500242	18331	80866.6673154831	1504.1104294478528	1390.0	556.3868558917201	3010.0	400.0	15.253715371893394	0.14863429164638697	1119483
4750036	19255	86387.00499081612	1432.7631578947369	1360.0	419.91673310268374	2820.0	870.0	14.71069437165395	0.1408540172712688	1182160
5000048	20199	91788.30060195923	1560.3921568627452	1520.0	464.98992964893614	2890.0	770.0	14.595271544263944	0.14746406245438057	1244905
5250128	21139	97285.42350912094	1611.543624161074	1580.0	352.77801923354616	2860.0	850.0	13.591966061882696	0.1550538530313212	1307665
5500016	22081	102778.30730342865	1734.2038216560509	1730.0	404.443472308546	3130.0	940.0	17.172830824999583	0.14676008271858124	1370380
5750269	23011	108283.15581297874	1560.9375	1490.0	444.64924608507454	3570.0	910.0	15.493441329197811	0.16464399037496394	1433171
6000072	23942	113730.80082440376	1792.857142857143	1820.0	457.2580578916563	2760.0	960.0	16.557177103606374	0.1742849311060511	1495865
6250275	24865	119113.02836251259	1612.4840764331211	1640.0	488.45341489938005	3080.0	590.0	14.848956075522564	0.16055766159124135	1558668
6500186	25777	124554.40059638023	1926.7142857142858	1750.0	673.3823599353847	3600.0	810.0	15.282567926405187	0.16536713412098336	1621362
6750095	26661	129974.65933227539	1582.012987012987	1560.0	388.2580165456142	2980.0	940.0	16.39555703029872	0.14117492860406344	1684060
7000516	27553	134823.7464673519	1720.7051282051282	1550.0	501.88562143758406	3190.0	900.0	15.587090850981395	0.13934702907991117	1746870
7250351	28453	139645.25243330002	1706.4827586206898	1590.0	465.603746397088	3110.0	1050.0	15.953805640984672	0.13879196282094125	1809554
7500029	29350	144972.6190187931	1439.5705521472394	1430.0	393.30092410932474	3040.0	670.0	16.140580710100377	0.1740172211621507	1872204
7750170	30251	150497.35855412483	1723.1468531468531	1530.0	546.6033651978931	3650.0	1020.0	16.165635594096486	0.14957699494646876	1934981
8000366	31123	156112.62779331207	1553.8461538461538	1480.0	397.0222313939339	3160.0	450.0	15.14568599263529	0.15722566984599884	1997749
8250428	32038	161669.9413535595	1773.453237410072	1680.0	480.04032474066634	3340.0	1040.0	13.580787315411674	0.1367126704559626	2060487
8500053	32946	167075.74571442604	1559.423076923077	1585.0	374.105799050716	3360.0	730.0	17.521838535550057	0.13590905121814603	2123116
8750361	33825	172727.14313721657	1927.463768115942	1790.0	574.8678827515713	3220.0	900.0	13.20550391033572	0.14472739099417323	2185914
9000289	34710	178245.48155903816	1607.8	1635.0	567.4798521096018	4190.0	810.0	16.131226290245223	0.15444306175169448	2248623
9250005	35601	183775.9721405506	1691.5646258503402	1460.0	492.5606849202846	3090.0	540.0	13.042644875617862	0.14674640823220933	2311262
9500334	36515	189290.15662956238	1734.6853146853148	1750.0	462.63757633415804	2880.0	840.0	12.021194000886922	0.14531015512695672	2374079
9750055	37422	194815.34329128265	1729.9324324324325	1550.0	473.5672938433614	3330.0	1180.0	15.04114337741629	0.15151474025023087	2436721
10000000	38304	200245.21383547783	1575.1333333333334	1615.0	379.71861122895535	2480.0	580.0	15.681146589084854	0.16406359320273428	2499441
