steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
251129	248	3688.348232269287	-17.168539325842698	-17.0	1.324900983059933	-16.0	-21.0	0.26206935881504206	0.0042897766338093075	52840
501263	432	8385.277582406998	-11.16326530612245	-11.0	3.1047472976577217	-5.0	-17.0	0.5506186675509837	0.003798901205770517	115414
751921	563	14024.55819773674	3.1666666666666665	3.5	3.8950518060006045	10.0	-6.0	1.0748715642109357	0.004417569086151729	178111
1000944	646	19542.054030418396	13.869565217391305	14.0	2.006751888026175	17.0	8.0	1.3391222857823712	0.004316916907966685	240391
1251056	756	24946.404284000397	19.12121212121212	19.0	1.3302995789283591	21.0	14.0	1.7898266413959925	0.002597732188012949	302946
1500701	878	30664.41827940941	19.235294117647058	19.5	1.4048704944704113	21.0	14.0	1.851851952324924	0.001606497812076612	365394
1751579	1006	36459.245284080505	20.098591549295776	20.0	0.720216824048044	21.0	18.0	1.7362623255336966	0.0010212079501134433	428146
2001075	1138	42139.68345952034	19.565217391304348	20.0	1.2888465074216924	21.0	16.0	1.6996974516699834	0.0009215058455208264	490551
2250616	1273	47847.03725838661	19.575757575757574	20.0	1.3706888336846839	21.0	15.0	1.6547834058774362	0.0009528689760140458	552964
2501137	1410	53463.6878554821	19.514705882352942	20.0	1.9508333241136577	21.0	12.0	1.5936013246281282	0.0008765316574481999	615631
2750499	1546	59089.99537277222	18.955882352941178	19.0	1.5203477953377678	21.0	16.0	1.5408473570694932	0.0007239359592019456	678009
3001363	1684	64205.826167821884	20.197183098591548	20.0	0.8039139667874765	21.0	18.0	1.537680701139362	0.0007188230586222607	740766
3250957	1820	69374.35430908203	20.08219178082192	20.0	0.8292135607766863	21.0	18.0	1.5979211736269787	0.0007099237755838078	803198
3500947	1958	74566.95095348358	19.816901408450704	20.0	1.3449361020926882	21.0	16.0	1.6091013423085192	0.0006980342088370575	865726
3750752	2094	78547.72537755966	19.944444444444443	20.0	1.086263642535946	21.0	17.0	1.548473815684555	0.0008436054796788881	928211
4000374	2232	82529.69203305244	20.2	20.0	0.8614110432930648	21.0	18.0	1.5696642865759016	0.0008032722198642103	990650
4250712	2370	86524.26768016815	19.257575757575758	20.0	1.5222514303653707	21.0	15.0	1.567308240367775	0.0006559884213796822	1053265
4500976	2511	90494.75612306595	20.014084507042252	20.0	0.902266317138268	21.0	16.0	1.5834882021703116	0.0004569928380334859	1115868
4751057	2650	94459.6186952591	20.6	21.0	0.5927489783638191	21.0	18.0	1.5900234975409522	0.0005280071044406187	1178424
5000476	2791	98428.63201570511	19.972602739726028	20.0	0.9124539979230312	21.0	18.0	1.6465279498651617	0.0005679321647530453	1240817
5250065	2933	102425.37912130356	20.055555555555557	20.0	1.1735211117346849	21.0	16.0	1.5927107001256824	0.0004764871159679451	1303251
5501914	3078	106401.3372797966	19.876712328767123	20.0	2.061183623548562	21.0	11.0	1.6016263249894411	0.000437721939587518	1366248
5750854	3217	110382.85806131363	20.205479452054796	20.0	0.6863531668979219	21.0	18.0	1.5863998201453802	0.00048454840620967116	1428519
6000355	3358	114352.31344294548	20.12162162162162	20.0	0.810085446240724	21.0	18.0	1.5869684556000216	0.00053049648855529	1490934
6250133	3500	118329.40690374374	20.26388888888889	20.0	0.8556861270605118	21.0	17.0	1.5740165788096236	0.0005414568864805001	1553418
6501608	3641	122397.93924498558	20.058823529411764	20.0	0.8789809727649852	21.0	18.0	1.5933240972519598	0.0004881078519956523	1616327
6751482	3784	126382.6607055664	20.17808219178082	21.0	1.1345883462176523	21.0	16.0	1.6221633096428731	0.0005001533490310955	1678833
7000641	3928	130328.43457746506	20.445945945945947	21.0	0.72417911755201	21.0	19.0	1.5318509464139356	0.0004327210767037558	1741154
7250098	4069	134288.56135058403	20.34246575342466	20.0	0.7494290063884893	21.0	18.0	1.529729562622494	0.0004212033478635019	1803546
7500802	4212	138275.42173933983	20.055555555555557	20.0	1.0466430427045987	21.0	17.0	1.5772165231749764	0.00044109831597096853	1866265
7750626	4355	142231.77580404282	19.34328358208955	20.0	1.5526345040643714	21.0	15.0	1.5809417562546102	0.0004905404457886929	1928757
8000639	4498	146221.9224779606	19.802816901408452	20.0	1.1786156323641388	21.0	16.0	1.5289685658826606	0.00048039394331063064	1991295
8250365	4641	150237.1582224369	20.28767123287671	21.0	0.9201366452687961	21.0	17.0	1.5973548999799594	0.0007200293873485848	2053764
8501770	4784	154243.6233625412	20.8	21.0	0.4649905549752771	21.0	19.0	1.5857242295910174	0.00040483295428364304	2116655
8750984	4927	158227.06159186363	20.789473684210527	21.0	0.5958923722437178	21.0	17.0	1.580470675075111	0.00044470575654506416	2178994
9000193	5071	162172.43577551842	20.6	21.0	0.6151246852292456	21.0	19.0	1.6121378095645147	0.0005343211790577255	2241328
9250787	5215	166120.13594007492	20.28767123287671	20.0	0.7355922038813074	21.0	18.0	1.5924280963586546	0.0004359618841183773	2304010
9501346	5359	170085.42674517632	20.273972602739725	20.0	0.6510733439782073	21.0	19.0	1.617867460290446	0.0003060314728303629	2366687
9750311	5502	174037.65089011192	20.56756756756757	21.0	0.550991163718051	21.0	19.0	1.606499939286688	0.0004527322191954231	2428969
10000000	5646	178050.54978609085	19.40625	20.0	1.9000313280625263	21.0	15.0	1.6112060065450782	0.0003485851433660593	2491427
