steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250030	2923	2010.772716999054	336.64658634538154	375.0	52.79391229867298	450.0	225.0	2.780832581042655	0.0451283694613244	53137
500022	5507	4598.612703084946	463.2591093117409	425.0	162.18717753548532	1025.0	250.0	4.1998404075179385	0.06105669245278266	116265
750183	7883	7893.380712509155	553.688524590164	575.0	314.03507135447876	1275.0	225.0	3.8210055329233947	0.041321258292649016	179390
1000132	9784	11159.529114484787	862.0558375634517	800.0	536.8772728007143	4400.0	375.0	3.5718019774264627	0.036130022283729545	242356
1250063	11110	14448.623740434647	750.2673796791444	750.0	202.5208953910157	1325.0	350.0	4.580318500884261	0.027154407353933343	305169
1500005	12397	17729.30926012993	940.9090909090909	850.0	300.7455086324097	1400.0	525.0	3.7797466433584828	0.016687004761866714	367958
1750048	13824	20969.586308956146	945.2272727272727	500.0	1171.9539135599614	3950.0	225.0	7.056984426463481	0.056349800228773714	430840
2000052	15460	24237.176062822342	2275.8152173913045	1012.5	1702.4389892495096	4675.0	275.0	6.025033774519841	0.060837360199495476	493755
2250087	17042	27130.057918548584	1452.1396396396397	825.0	1534.6648471513977	4750.0	325.0	6.499123398191753	0.12177973069509389	556653
2500016	18803	29942.25752735138	1020.2127659574468	750.0	970.5405117612808	4100.0	250.0	10.68119042621848	0.1864247997599854	619612
2750022	20341	32744.10865330696	1700.2463054187192	800.0	1644.1502781233576	4825.0	150.0	11.761132470899765	0.1377200443336417	682524
3000062	21757	35584.759840250015	3886.23417721519	4275.0	1157.9809859924383	4775.0	25.0	12.208480893171904	0.19035367676905127	745395
3250056	23183	38475.722826719284	4354.222972972973	4350.0	90.60400652986915	4525.0	4100.0	14.17136309418521	0.18874463499196603	808263
3500347	24423	41372.82642412186	3926.3698630136987	4400.0	1508.4411364908847	8175.0	700.0	9.73378579322535	0.13095884546249306	871156
3750095	25641	44178.5674328804	4088.3445945945946	4437.5	1660.811352873808	8100.0	800.0	10.254582311387153	0.0958352281805921	933885
4000181	26861	47060.5200445652	4091.970802919708	4450.0	2245.716785682069	8475.0	275.0	8.525208604769842	0.09857725090333892	996728
4250187	28089	50023.218044519424	2878.1437125748503	4375.0	1968.7318169761177	7625.0	350.0	11.524065309774294	0.09985270386147312	1059560
4500024	29319	53142.83254313469	3837.6436781609195	4400.0	1495.7689535734635	7650.0	250.0	11.168667432022124	0.10988760243035094	1122306
4750167	30692	56366.45818281174	1950.3989361702127	512.5	2149.1129187004262	7725.0	225.0	11.83290628329568	0.1789606874505078	1185197
5000313	32102	59665.94815278053	4912.226277372263	4475.0	2189.5077273505913	8200.0	425.0	12.753146137567768	0.15821032511668448	1248088
5250022	33365	62955.65480852127	6703.483606557377	7850.0	1912.735470227882	8150.0	775.0	14.414295717044869	0.18728019878077581	1310859
5500197	34729	66270.00420761108	1812.6696832579185	425.0	2495.8005865188084	7750.0	150.0	13.384314123848487	0.2461935737102412	1373749
5750153	36014	69660.70897102356	8359.913793103447	7975.0	1380.0475705031238	11625.0	625.0	16.377688817909718	0.2014487298447105	1436548
6000394	37105	72975.20878362656	7743.248175182482	7875.0	3317.2586569002624	11875.0	25.0	17.634512896643706	0.1964958486306112	1499388
6250048	38141	76347.115732193	8923.10924369748	8050.0	1963.9256121346796	11800.0	4300.0	19.428879300331623	0.21310127351129135	1562060
6500315	39161	79665.96544766426	11147.368421052632	11625.0	2677.4301847178376	15200.0	4425.0	21.496934890189383	0.2415835594051653	1624875
6750019	40168	83004.87773227692	8124.0157480314965	8000.0	4407.102629512004	15275.0	425.0	17.360904560504874	0.2131635508223412	1687565
7000123	41239	86305.52073931694	8036.422413793103	8025.0	2382.060197650845	15075.0	375.0	14.987067733753639	0.23121230161256268	1750351
7250292	42301	89699.63003993034	9386.965811965812	8150.0	3398.222466210178	15200.0	525.0	20.0852637055949	0.22020392812263662	1813188
7500105	43292	93001.46286702156	11301.106194690265	11725.0	3965.5342559421383	15425.0	550.0	19.677015358523114	0.20270433850003655	1875883
7750052	44265	96321.74990558624	11733.333333333334	11737.5	3864.2144749964295	15850.0	4250.0	19.957530447415067	0.18903897122986377	1938617
8000174	45234	99642.40436720848	12323.469387755102	12600.0	3207.3004199153706	15225.0	50.0	15.851690923342925	0.1855901000162194	2001366
8250570	46185	102976.11889791489	9336.752136752137	8050.0	4619.720393662413	15775.0	4050.0	18.842592955207973	0.21335962927017466	2064218
8500083	47158	106274.22958683968	9631.081081081082	8100.0	3017.0240760034176	15250.0	4375.0	18.047534209511348	0.18941015773427433	2126881
8750279	48094	109631.08819746971	11159.905660377359	11700.0	3058.640530656909	15200.0	4450.0	15.124325635906219	0.16720106754857134	2189667
9000034	49000	112977.02188944817	12032.25	14950.0	3496.2792181420696	15375.0	4425.0	19.608387067884188	0.17521134876420041	2252337
9250290	49922	116317.64101362228	14249.175824175823	14975.0	1868.56469928366	15225.0	7925.0	17.051933658867892	0.16854055220886732	2315118
9500053	50838	119700.48325324059	10826.5	8400.0	3664.7994901536294	15400.0	3850.0	14.19377031166203	0.15650220469327666	2377812
9750228	51764	123000.11738491058	7151.798561151079	7600.0	5290.526500716212	15500.0	125.0	20.380813706018603	0.14921459966938574	2440574
10000000	52641	126300.63301420212	9489.38053097345	11825.0	6196.375133205162	15350.0	250.0	20.086949173503886	0.15974983011903518	2503233
