steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250035	705	3145.545186519623	4028.169014084507	4400.0	1056.2985371558486	4700.0	800.0	2.5516544663714913	0.009474455105779586	52654
500229	1463	7155.768395662308	3197.6470588235293	4100.0	1932.9213315470392	8000.0	400.0	3.7338847449456587	0.016850972096531233	115403
750560	2310	12247.914674043655	3250.0	4050.0	1553.8437436714269	5100.0	500.0	3.3790663927459326	0.011692979401685106	178206
1000335	3170	16590.17619752884	2935.2272727272725	4000.0	2019.561792273479	8000.0	500.0	2.580424334022209	0.007764616704425047	240868
1250532	4053	20371.03368473053	3480.9523809523807	4100.0	1772.8525914350912	8000.0	600.0	2.2863340662951717	0.007133891660930602	303620
1500341	4922	24126.990743160248	4614.285714285715	4400.0	2101.860972774408	8500.0	500.0	1.9645679052091847	0.006373552740378208	366312
1750304	5839	27906.061721801758	2777.1739130434785	3800.0	1866.8951282735013	7700.0	400.0	1.862948145413329	0.005207419472213877	429019
2000408	6757	31660.24254131317	3988.75	4250.0	1913.7737753692675	8100.0	600.0	1.9091491083439696	0.005491680099698522	491771
2250242	7622	35414.38031625748	3968.2926829268295	4100.0	1611.5231694346846	7800.0	700.0	1.92281640308504	0.00535585335319322	554437
2500367	8528	39193.589878320694	3850.0	4200.0	1688.8430984659158	8300.0	700.0	1.8206035917839671	0.005843944400626701	617200
2750123	9440	42998.88895177841	3880.8988764044943	4200.0	1839.1497791404483	8500.0	500.0	1.9931714414547177	0.006024620645792591	679884
3000001	10312	47113.86980557442	3500.0	4100.0	1768.5917184773502	8100.0	400.0	1.5737685177813001	0.004398855256876858	742596
3250031	11233	52077.691794633865	3603.157894736842	4200.0	1571.5863128170272	7800.0	600.0	1.8426749021017566	0.005019344063740285	805327
3500204	12147	57150.79200434685	3611.7021276595747	4100.0	2106.7151408084464	9000.0	600.0	1.5941235872968982	0.006422318836484819	868093
3750228	13034	62197.88336896896	3770.3703703703704	4100.0	1810.4173858840152	8300.0	600.0	1.5434382699423277	0.004967070568383387	930832
4000069	13919	67327.9781742096	3428.865979381443	4100.0	1683.0007156667248	8100.0	600.0	1.7427746678017701	0.005994175703142912	993521
4250012	14789	72337.08137464523	3801.098901098901	4200.0	1751.9192336466317	8500.0	600.0	1.8294305748538038	0.004785999034338413	1056223
4500170	15685	77436.45340943336	4195.121951219512	4300.0	1899.5062671700687	8200.0	500.0	1.8655186349210586	0.0055290593589117755	1118999
4750065	16535	82671.2108156681	5158.536585365854	4500.0	2222.10839816893	8500.0	800.0	1.5900761056501642	0.005080611998867426	1181678
5000089	17415	87702.82822799683	4319.540229885058	4300.0	1704.9066727823024	8400.0	600.0	1.476851421576801	0.005064867972161226	1244396
5250052	18286	92775.20261263847	4578.313253012048	4300.0	1764.283050183184	8500.0	900.0	1.7687722343848127	0.004523503351337107	1307114
5500286	19141	97835.07105660439	5197.5609756097565	4500.0	1878.3349344208298	8700.0	800.0	1.910424308251651	0.004367146855572818	1369898
5750147	19989	102878.67019891739	4587.058823529412	4400.0	2128.759320942271	8300.0	700.0	1.6327947259701499	0.004029136513996391	1432584
6000169	20873	108044.29789042473	4451.136363636364	4200.0	1562.2702547918252	12500.0	700.0	2.0855849815952827	0.004262406384133141	1495302
6250229	21756	113183.69213438034	4870.588235294118	4500.0	1604.519178045899	8200.0	800.0	1.532139828422518	0.00466754331811355	1558031
6500207	22652	118134.57615303993	4895.121951219512	4450.0	1713.6274743207064	8100.0	800.0	1.774802785016743	0.0048561610801172135	1620739
6750226	23560	123054.1260380745	5090.697674418605	4500.0	1520.6521748696198	8300.0	1200.0	1.7280018674361375	0.005216585100189182	1683486
7000064	24441	128105.49227142334	4186.021505376344	4300.0	1738.4145324084855	8100.0	700.0	1.6455460851407038	0.004461294982767628	1746177
7250078	25276	133181.23377728462	6041.666666666667	7600.0	2262.965765588357	8800.0	700.0	1.9279190473573597	0.004854231574622651	1808905
7500064	26160	138194.62219429016	4361.797752808989	4500.0	1901.4053186798399	8400.0	700.0	2.0770860464769503	0.0044321290100921866	1871633
7750666	27049	143378.8457722664	4741.772151898735	4400.0	1799.6158845806663	8900.0	800.0	1.7160291730482615	0.004788441409420391	1934511
8000021	27918	148308.70911860466	5611.25	4700.0	1873.4651946174602	8600.0	700.0	1.553123082474546	0.004605847540785081	1997056
8250071	28785	153334.10828590393	5685.555555555556	4750.0	1671.6110180766655	8400.0	4000.0	1.7762744593672655	0.0048290488212156205	2059770
8500080	29627	158429.02702784538	5803.529411764706	4800.0	1911.7087257479473	8300.0	800.0	1.8805255390524913	0.005073950552733968	2122480
8750363	30515	163380.95576548576	5627.380952380952	4800.0	2303.028450952762	8600.0	600.0	1.7236881109682962	0.0057159539828287075	2185269
9000001	31382	168421.9927880764	6058.75	5000.0	2179.5188035871297	12000.0	1000.0	1.6245626824179429	0.005892607453363925	2247899
9250349	32245	173532.81994843483	5630.487804878048	4900.0	2041.5855025070523	8500.0	1000.0	1.8324024960524796	0.005620607283299609	2310704
9500168	33113	178691.7270772457	5756.25	4750.0	2354.249793162908	12100.0	700.0	1.7252437023406642	0.004561056193405867	2373380
9750221	34021	183787.0469303131	6696.25	7900.0	2321.6342863366035	12000.0	3800.0	1.9476335479121014	0.00597751875220007	2436089
10000000	34922	188896.45412683487	4656.79012345679	4500.0	1956.6513659569594	11800.0	800.0	1.6958335071649553	0.005515334440369274	2498760
