steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
251080	247	1657.6062109470367	-17.307692307692307	-18.0	1.9293205338350914	-14.0	-21.0	-0.822929699349244	0.011316108737750012	52816
500639	422	3869.6668915748596	-10.6875	-12.0	4.785422233977563	3.0	-18.0	-0.3001162487908145	0.011440621383781003	115253
751312	544	6979.383485555649	4.685714285714286	5.0	6.493306184840203	17.0	-8.0	0.29565189450862056	0.011643160452519216	177956
1001153	628	10172.353012561798	16.653846153846153	17.0	2.416322074563764	21.0	12.0	0.6979925647744512	0.01186659369849274	240437
1251344	745	13321.075608730316	20.242857142857144	20.0	0.8415946610447127	21.0	18.0	1.3162496071792742	0.007084753306106148	303016
1501398	881	16415.541944026947	20.60810810810811	21.0	0.6582993358266408	21.0	19.0	1.4287825084143193	0.0026618377475812723	365560
1750648	1023	19470.404541015625	20.68	21.0	0.5963855092770746	21.0	18.0	1.3562216783351475	0.001960778803229327	427907
2000174	1166	22565.857903003693	20.095890410958905	20.0	0.7484128309971827	21.0	18.0	1.414387517443427	0.0016363649033530549	490325
2251316	1312	25750.560678243637	20.8	21.0	0.4931969619160719	21.0	18.0	1.3431728987313982	0.0011714616096912397	553147
2500499	1457	28853.232406377792	20.96	21.0	0.19727878476642874	21.0	20.0	1.3434074785286585	0.0010737060744579973	615475
2750606	1603	31997.66582584381	20.96	21.0	0.25679942746420975	21.0	19.0	1.3680624586500467	0.0010858548593571994	678045
3000239	1750	35170.20140171051	20.946666666666665	21.0	0.22621045769630363	21.0	20.0	1.3864340150894567	0.0009618589159254758	740489
3251210	1898	38283.24785518646	20.8	21.0	0.5452497568062706	21.0	19.0	1.336312578425411	0.0012189283277515282	803264
3501052	2045	41495.04484510422	19.257142857142856	19.0	1.3902946646874486	21.0	15.0	1.3786506651985901	0.0008787378532267556	865756
3750313	2192	44701.7264983654	20.933333333333334	21.0	0.2511236011669613	21.0	20.0	1.3616102434153419	0.000779233230361223	928121
4001019	2340	47812.15754580498	20.7027027027027	21.0	0.5163021768313731	21.0	19.0	1.3200512898359766	0.000544484325384061	990833
4251279	2488	50968.829530477524	20.946666666666665	21.0	0.22621045769630363	21.0	20.0	1.3686028661540965	0.0010249201699565767	1053435
4500544	2635	54182.14828467369	20.92	21.0	0.3187814637359293	21.0	19.0	1.3727425782617158	0.0006479288080632634	1115787
4750791	2783	57290.18781495094	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.3217875369389942	0.0007838117606313195	1178378
5001619	2931	60416.33774995804	20.866666666666667	21.0	0.4451945621839941	21.0	19.0	1.3309441024091238	0.0008553390856689433	1241117
5251369	3079	63577.999155282974	20.716216216216218	21.0	0.5368673791050549	21.0	19.0	1.3138811974143167	0.000812564973642136	1303577
5500576	3227	66744.95292758942	20.906666666666666	21.0	0.29285792761297375	21.0	20.0	1.3770123790580793	0.0007048716117616291	1365919
5750096	3375	69874.97198605537	20.933333333333334	21.0	0.2511236011669613	21.0	20.0	1.3322783807276122	0.0007492821730835925	1428339
6000808	3523	73068.77808237076	20.866666666666667	21.0	0.3796631983009996	21.0	19.0	1.3409913539674478	0.0006764728939939077	1491043
6251026	3671	76234.6981241703	20.773333333333333	21.0	0.45242091539260726	21.0	19.0	1.3401001246215594	0.0008852161156828515	1553629
6501151	3819	79321.3349852562	20.256756756756758	20.0	0.7948603876861804	21.0	19.0	1.3271201528882426	0.00043810664503355447	1616191
6751625	3967	82461.13602352142	20.960526315789473	21.0	0.19601288894248498	21.0	20.0	1.340218162113788	0.0004081808633691788	1678846
7000129	4115	85584.50700068474	20.894736842105264	21.0	0.30893137828849315	21.0	20.0	1.2929023284898304	0.0011566337635751781	1741006
7250419	4263	88697.91933941841	20.93421052631579	21.0	0.34002063920844466	21.0	19.0	1.326711297786562	0.0005879072986269371	1803612
7500867	4412	91848.25430226326	20.93421052631579	21.0	0.24956101809855233	21.0	20.0	1.3222538171389548	0.0007957852524785018	1866261
7751126	4561	94964.87196063995	20.64864864864865	21.0	0.5346214236653676	21.0	19.0	1.3212989802241484	0.00034740086752092444	1928870
8000107	4709	98019.3240377903	20.94736842105263	21.0	0.22478059477960655	21.0	20.0	1.3138961061818635	0.0005640211634483446	1991159
8251297	4859	101204.92615485191	20.92105263157895	21.0	0.31678206576916956	21.0	19.0	1.2985751117243458	0.0007140302616263864	2054004
8501318	5008	104360.59046697617	20.88	21.0	0.4337143162360543	21.0	19.0	1.3530297748214883	0.0002794509068234113	2116535
8750223	5156	107486.02418398857	20.894736842105264	21.0	0.30893137828849315	21.0	20.0	1.3026871990592759	0.0006693041197573382	2178795
9000702	5305	110676.05148434639	20.960526315789473	21.0	0.19601288894248498	21.0	20.0	1.32728526617244	0.0004270696887515951	2241450
9250907	5454	113834.60490441322	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.3176506365808425	0.0007829422720713483	2304035
9501079	5603	116926.0754814148	20.94736842105263	21.0	0.22478059477960655	21.0	20.0	1.316934010322789	0.0007637004986170261	2366619
9750090	5750	120036.78997278214	20.786666666666665	21.0	0.5274449717252011	21.0	19.0	1.3263106630109915	0.00044486256050899395	2428903
10000000	5899	123162.40833878517	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.3133061204799277	0.000922792808636336	2491417
