steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250114	2328	2711.550780773163	855.7098765432099	775.0	220.2707730095409	1400.0	575.0	2.082196964857391	0.06109166114381592	52975
500080	3718	6175.2179074287415	716.8181818181819	575.0	507.86619940361663	3750.0	475.0	3.102716659574993	0.05243023020564091	115824
750087	5307	10474.182207345963	1437.0039682539682	537.5	1666.4973442494784	4350.0	225.0	5.866306356466071	0.12276527361770258	178702
1000340	6810	14728.808775424957	2539.1768292682927	4150.0	1887.448717658605	4675.0	250.0	5.652319007165394	0.15897745936918922	241671
1250068	8189	19016.902724981308	2333.1005586592178	950.0	1724.4169413410307	4900.0	375.0	6.4826143357228325	0.10631105447115106	304454
1500220	9313	23347.76880478859	4575.905797101449	4400.0	855.6990644328517	8225.0	675.0	9.173279747036437	0.07703056245413101	367279
1750020	10392	27763.965059280396	4956.678082191781	4400.0	1448.6744568263514	8325.0	500.0	8.850049788729452	0.07655723823325217	430008
2000528	11509	32193.189066171646	3525.796178343949	4275.0	2709.489526950043	8500.0	575.0	10.003204252278685	0.1205794754960385	492916
2250033	12543	36574.88827204704	5534.2	4450.0	2516.941660543733	8525.0	325.0	9.502418605176736	0.10407640304428296	555574
2500017	13427	40940.77321767807	5420.212765957447	7625.0	3765.2142735621123	11950.0	425.0	9.083494536635861	0.08222570657380657	618288
2750094	14341	45366.94092798233	6266.603053435115	8000.0	5124.159040466114	11825.0	100.0	12.605607466248404	0.09584918250598261	681015
3000523	15249	49877.322700977325	5589.3835616438355	4350.0	4500.6482632835105	11650.0	150.0	14.423051930622739	0.09833380251699125	743857
3250434	16125	54386.03005385399	8979.357798165138	11525.0	3874.9355491006554	14900.0	250.0	13.808145575102913	0.09083777558940849	806574
3501090	16917	58905.45317697525	9216.284403669724	11575.0	4761.274845022822	14925.0	175.0	10.883114260385733	0.07631797687452094	869441
3750337	17641	63375.58568120003	11237.777777777777	11675.0	3130.720033409329	15675.0	4000.0	11.297777327594325	0.06807344664864907	931943
4000711	18409	67879.76703643799	8726.535087719298	8012.5	3099.4669915166573	15400.0	325.0	14.449034949548604	0.08487937175738186	994737
4250380	19233	72361.77234339714	3530.4054054054054	775.0	4636.813405516694	14975.0	200.0	13.802925321279575	0.07788677572474734	1057383
4500458	20033	76914.63436722755	8977.232142857143	11650.0	5756.812996229088	16450.0	175.0	14.405093627730068	0.07672898756203038	1120078
4750013	20798	81427.66918468475	12533.988764044943	15025.0	3958.598321417174	16775.0	275.0	16.390367223040265	0.07365187367421008	1182644
5000188	21621	85971.46218442917	10720.631067961165	11675.0	4942.380533016753	15450.0	675.0	15.286839137018093	0.06593723318530505	1245393
5250122	22395	90430.93937516212	12538.483146067416	15025.0	4625.356337900208	15875.0	225.0	14.664379451390216	0.06048767934860808	1308082
5500343	23177	94899.61103749275	12327.10843373494	15000.0	3704.836170341996	15525.0	500.0	15.752102815969973	0.05148354741813096	1370844
5750165	23926	99536.92286276817	11082.070707070707	11675.0	4166.237964958768	15650.0	4350.0	15.832967671829882	0.04414546995373909	1433484
6000650	24633	104084.53879094124	10036.682242990653	14900.0	6610.721813696137	15250.0	125.0	14.064472874279204	0.0349866820018395	1496289
6250059	25365	108615.96107053757	13453.048780487805	15125.0	3597.5308538641707	15625.0	750.0	11.054089901893793	0.03803704787537768	1558836
6500960	26133	113134.19758653641	10695.327102803738	11675.0	5112.451423906704	16050.0	525.0	14.241967669300589	0.04365060611657394	1621768
6750270	26851	117647.87476873398	12506.53409090909	15125.0	4919.323986238665	15725.0	375.0	12.768488212815168	0.039620204148772264	1684273
7000123	27571	122184.10304260254	11615.555555555555	11500.0	3662.6561741020532	16275.0	4475.0	12.64106271608472	0.034150591187356534	1746924
7250059	28287	126700.74805903435	9893.632075471698	15025.0	6167.286064118937	15725.0	725.0	10.716818242845575	0.032717023135276406	1809594
7500134	29049	131181.71704292297	13244.117647058823	15125.0	3518.3651824992485	18750.0	675.0	11.3622126514381	0.030171583819535996	1872306
7750156	29790	135682.01476836205	8095.353982300885	7850.0	7140.276190036791	15825.0	275.0	11.486178183638994	0.029425174074308686	1934987
8000146	30569	140143.4002790451	10454.205607476635	15050.0	5577.709475677502	16200.0	750.0	9.478196510996538	0.02459033341004015	1997682
8250073	31298	144665.47371578217	12859.011627906977	11675.0	2680.465589470193	15675.0	4275.0	12.842953830075405	0.02321852345821951	2060344
8500144	32031	149133.67926573753	11743.46590909091	11675.0	4123.174438112013	15850.0	700.0	13.032612229494392	0.01959213096575103	2123037
8750611	32741	153656.21796011925	9352.380952380952	15025.0	6827.713714342328	15775.0	325.0	8.113576427640439	0.02060470384065001	2185841
9000263	33525	158132.1504123211	14620.51282051282	15125.0	1923.195492515231	15600.0	4450.0	15.929155173282464	0.02153181287335111	2248429
9250800	34221	162634.97382473946	9750.252525252525	8125.0	5528.569692401784	16025.0	375.0	8.683530252189282	0.019994599491156922	2311243
9500119	34963	167165.39083003998	10835.15625	14987.5	5897.746646105166	18575.0	300.0	12.414569653795146	0.020073599925831253	2373729
9750033	35673	171760.5771625042	11369.623655913978	15200.0	6070.4221540651315	18550.0	200.0	12.290440440688327	0.017833459666080617	2436374
10000000	36382	176177.02119898796	11720.329670329671	11700.0	3924.1504956273166	18600.0	4325.0	13.522083028694283	0.02043913746246835	2499032
