steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250232	249	2024.575734615326	-16.135135135135137	-16.0	1.5555849388690681	-13.0	-19.0	0.4211902948558162	0.003961787112164713	52609
500549	432	4535.310189962387	-15.309090909090909	-13.0	4.725316870710316	-8.0	-21.0	1.2382217750454885	0.003926832350205349	115243
751141	555	7150.580299139023	-7.3428571428571425	-5.0	9.301937992707115	7.0	-19.0	1.2806470525584908	0.004388849871061707	177922
1002424	637	9787.012099981308	4.804878048780488	6.0	5.823313112804094	12.0	-8.0	1.1964904611338791	0.003336051371638194	240760
1250164	756	12263.462815284729	19.914285714285715	20.0	0.7753981145352655	21.0	17.0	1.5995430018352292	0.0025752534401624273	302720
1500426	894	14838.278142929077	19.5	20.0	0.5835920751217648	20.0	18.0	1.844396123077246	0.0011506200590075252	365321
1751530	1033	17369.90016222	20.824324324324323	21.0	0.417366436944675	21.0	19.0	1.6884229059455862	0.0006061331234806194	428139
2001095	1173	19863.75699186325	20.15068493150685	20.0	0.49078261981112964	21.0	19.0	1.6119473809034808	0.0004587533994646139	490562
2250094	1315	22346.352533340454	20.232876712328768	20.0	0.5142564196435438	21.0	19.0	1.445234540563401	0.00041104925926883185	552842
2501057	1458	24906.205754756927	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.571582951511671	0.0003416171567901364	615622
2751012	1603	27411.697530269623	20.96	21.0	0.19727878476642874	21.0	20.0	1.5279923075983155	0.00036549366470248684	678154
3000417	1749	29966.101449251175	20.72	21.0	0.4809899701151276	21.0	19.0	1.5375553603153775	0.00031445570005063904	740535
3251544	1897	32513.79794049263	20.93421052631579	21.0	0.29824045403173033	21.0	19.0	1.554551355387473	0.00023573351568553606	803355
3501551	2044	35024.80588674545	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.481064556366541	0.00020965350739645042	865886
3751627	2191	37572.965195417404	20.17808219178082	20.0	0.45161641028595695	21.0	19.0	1.5297966567807706	0.00020730401304266616	928442
4001232	2338	40126.013724803925	21.0	21.0	0.0	21.0	21.0	1.5446047056386563	0.00018492608127982727	990886
4250906	2485	42761.994424819946	20.960526315789473	21.0	0.19601288894248498	21.0	20.0	1.531865629692604	0.0002155966807321819	1053355
4501426	2632	45371.56640601158	20.405405405405407	20.0	0.5714417938915545	21.0	19.0	1.5085073339805244	0.000208978981262683	1116019
4751392	2779	47902.82217788696	20.675675675675677	21.0	0.49953699406682384	21.0	19.0	1.5097674203709428	0.00022090739822486273	1178546
5001045	2924	50404.77709245682	20.973333333333333	21.0	0.16219218941214866	21.0	20.0	1.5239016601143853	0.00023915464764879166	1240993
5250263	3069	52925.26860523224	20.5	21.0	0.5793241220216576	21.0	19.0	1.5386466005507313	0.00023949894276989252	1303340
5500364	3215	55497.13909769058	20.973333333333333	21.0	0.16219218941214866	21.0	20.0	1.53766853896311	0.0002615522133129584	1365908
5751511	3362	58034.84654712677	20.986842105263158	21.0	0.11470786693528089	21.0	20.0	1.485495138103021	0.0002265953000590272	1428733
6000289	3507	60547.46482014656	20.973333333333333	21.0	0.16219218941214866	21.0	20.0	1.5338292015009398	0.00017845833804650126	1490957
6250589	3654	63075.327830553055	20.66216216216216	21.0	0.4762014949096287	21.0	20.0	1.4726149785743767	0.0002013949358703427	1553565
6500019	3801	65578.75799536705	20.973684210526315	21.0	0.16113631583445662	21.0	20.0	1.486333078498586	0.00021370548404014725	1615952
6751212	3947	68104.2742524147	20.946666666666665	21.0	0.22621045769630363	21.0	20.0	1.5234751824148423	0.00017297216283907108	1678795
7001199	4094	70637.27493572235	20.733333333333334	21.0	0.4745789978762495	21.0	19.0	1.529289859136349	0.00017806815491502534	1741328
7251106	4239	73153.50521159172	20.706666666666667	21.0	0.4583558553025041	21.0	20.0	1.4599159177822578	0.00017628833225873778	1803845
7500608	4386	75701.4309463501	20.855263157894736	21.0	0.35417311655633615	21.0	20.0	1.4728943676545556	0.00022190201442732463	1866257
7750004	4533	78293.47986412048	20.5	20.5	0.5034130089044646	21.0	20.0	1.5090384451479997	0.00016969667599935767	1928638
8000892	4680	80849.47681474686	20.948051948051948	21.0	0.2233774181740458	21.0	20.0	1.4942261240930135	0.00016086252409721838	1991398
8250812	4829	83363.28557920456	20.98701298701299	21.0	0.11396057645963795	21.0	20.0	1.4901112840541688	0.00020226936566293955	2053918
8501657	4979	85881.5434551239	20.727272727272727	21.0	0.4767312946227962	21.0	19.0	1.4945141527105812	0.00011758624958495818	2116659
8751004	5128	88402.61704397202	20.857142857142858	21.0	0.3522217346728334	21.0	20.0	1.4688772506690169	0.0001499326850774625	2179028
9001009	5277	90926.30901098251	20.948051948051948	21.0	0.2233774181740458	21.0	20.0	1.5452667122835628	0.00013018995328352022	2241567
9251055	5426	93448.11531186104	20.62162162162162	21.0	0.4882931609524659	21.0	20.0	1.5369877394386613	0.00014499402206127518	2304116
9501495	5575	96050.83963918686	20.974025974025974	21.0	0.16010078848765155	21.0	20.0	1.5425076633555235	0.00014959944307478364	2366766
9751151	5725	98328.49516963959	20.92105263157895	21.0	0.31678206576916956	21.0	19.0	1.5448934930929805	0.00015803442175794862	2429217
10000000	5873	100367.23977971077	20.98701298701299	21.0	0.11396057645963795	21.0	20.0	1.5095645920121645	0.00013102173069661155	2491472
