steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250039	2935	2044.952098608017	282.9724409448819	300.0	58.74951205201839	375.0	200.0	3.109394542194791	0.04363224158995872	53125
500021	5526	4578.75350856781	304.39453125	275.0	78.01284842252011	925.0	225.0	4.8516219521639306	0.05864748559773206	116260
750073	7714	7179.479259490967	344.21875	350.0	14.895304175410029	425.0	250.0	4.431324735864146	0.04440337360379166	179312
1000067	9301	9706.196739196777	609.4311377245509	700.0	213.96319014130626	1725.0	275.0	3.160468560230106	0.02617597249843047	242225
1250133	10604	12094.9458091259	711.9791666666666	775.0	169.32529494140266	1075.0	525.0	3.065133856215943	0.017133646586546158	305036
1500137	11844	14574.440400600433	549.7297297297297	525.0	47.347379896660925	600.0	400.0	4.241534073848665	0.009302570629773533	367848
1750245	12972	16990.37256169319	648.5294117647059	600.0	307.374857189465	3925.0	500.0	2.512352487549302	0.009712634088841076	430628
2000545	14299	19384.244854450226	684.3575418994413	625.0	325.431443248187	4075.0	425.0	3.817222828204274	0.02486558925435882	493551
2250059	15631	21764.077137947083	699.1666666666666	600.0	348.91992166089284	3950.0	550.0	4.093528690132567	0.03974289537618632	556239
2500051	17085	24208.510256528854	531.7796610169491	400.0	138.65466887770756	700.0	200.0	5.783985193695048	0.044492336666598395	619123
2750023	18513	26601.981498479843	2545.104895104895	3775.0	1662.1624372463634	4225.0	450.0	7.398150275178936	0.044772400393910346	681964
3000128	19811	29048.796123743057	3073.3240223463686	3925.0	1560.1191923759175	4275.0	525.0	9.111738858869508	0.049610821320814895	744848
3250061	21121	31455.612709760666	3369.5	4025.0	1431.2894582937508	5025.0	525.0	10.60888549689886	0.052917155531413566	807675
3500190	22305	33885.632227659225	4045.5985915492956	3975.0	105.23948102683006	4200.0	3925.0	9.250261045447456	0.047854032923324956	870482
3750092	23430	36293.637711048126	4142.142857142857	4150.0	49.37429666976656	4275.0	3950.0	9.755499071229462	0.047956810107187435	933238
4000235	24548	38759.29898405075	4247.2	4150.0	398.0574808548586	4700.0	525.0	7.724557739568707	0.04154851887811519	996070
4250200	25790	41186.719849824905	3411.864406779661	4125.0	1389.6279438825006	4425.0	575.0	12.093643569638804	0.044140660306816924	1058896
4500163	27049	43754.96672272682	4398.692810457516	4550.0	416.5351959768155	4800.0	525.0	6.6741418696899295	0.036276858429693706	1121690
4750579	28237	46213.184618234634	4978.525641025641	4200.0	1428.6143995368739	7575.0	4100.0	13.46106303808494	0.02953854558378491	1184605
5000403	29377	48622.62930345535	4217.5847457627115	4150.0	101.23749907179098	5000.0	4150.0	6.272318179460107	0.030408996808133453	1247338
5250388	30481	51036.942566394806	4213.513513513513	4200.0	51.542544627073916	4550.0	3925.0	8.500504440241029	0.02353875178829593	1310113
5500209	31659	53453.876022577286	4237.578616352202	4250.0	55.32371749133226	4350.0	4100.0	8.472241932254647	0.024246001215694042	1372839
5750080	32769	55919.82814288139	4273.518518518518	4225.0	170.15584831032623	4950.0	3725.0	6.7860898816937425	0.019953879220369588	1435599
6000349	33901	58342.09268164635	5228.620689655172	4175.0	1645.6618563369266	7800.0	500.0	10.44924749425258	0.018465633126410648	1498447
6250139	35072	60770.801023721695	4251.10294117647	4275.0	335.11838216570493	4400.0	525.0	7.75759762235262	0.020041709769888477	1561153
6500071	36222	63192.33567857742	4255.284552845528	4275.0	354.324166671282	5000.0	575.0	6.282267848290045	0.018720914094046085	1623926
6750311	37262	65603.94187164307	3393.181818181818	4200.0	1652.9989254702584	5000.0	300.0	5.641349728396208	0.018612411221079733	1686750
7000161	38325	68012.97958111763	4572.345132743363	4725.0	255.0902070805928	4825.0	4100.0	8.638065694998758	0.01714318983980672	1749467
7250159	39392	70444.55254030228	4416.4682539682535	4625.0	282.24391398952605	4625.0	3900.0	5.891426344808931	0.017113093093001398	1812205
7500240	40417	72866.05179429054	4125.581395348837	4200.0	649.1766503819764	4350.0	475.0	7.291478537653296	0.016698413173192726	1874960
7750366	41493	75319.53573203087	3339.903846153846	4175.0	1604.6273279682516	4625.0	525.0	8.765945801630718	0.017725472644796566	1937758
8000425	42529	77809.0677678585	4606.41592920354	4625.0	368.6634093408947	7600.0	4200.0	6.174276037485203	0.018234973705908052	2000547
8250040	43584	80260.0979411602	4613.302752293578	4725.0	328.72806234612256	7550.0	4200.0	9.854682677076802	0.015925109165008146	2063233
8500101	44654	82671.2580602169	4114.171974522293	4225.0	350.92909975619244	7450.0	3700.0	19.18492400635753	0.01628146425843079	2126027
8750118	45782	85086.96142721176	5979.7945205479455	7400.0	1568.7748213958657	7400.0	4200.0	11.301639397827152	0.018478636155371597	2188798
9000034	46860	87507.12355399132	1390.111111111111	425.0	1890.4673012415453	7425.0	125.0	10.511280405523047	0.026120427278743214	2251557
9250108	48090	89918.43173623085	3258.0246913580245	4200.0	1732.5475227655975	4825.0	225.0	15.159036056571708	0.02975685954774713	2314395
9500121	49329	92338.00487422943	6218.44262295082	7600.0	2845.9152315107926	8300.0	350.0	10.722773701571635	0.03285240307808387	2377205
9750167	50485	94761.45792627335	6770.247933884298	7375.0	1618.2465885488102	8350.0	4125.0	13.316782884454025	0.03288960292248279	2440009
10000000	51697	97260.18666887283	5932.307692307692	7725.0	2012.341876290446	7950.0	450.0	12.3114536425509	0.03369487951448459	2502763
