steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250281	248	2078.3819048404694	-15.935483870967742	-17.5	2.918965501354246	-10.0	-20.0	0.40181977995049994	0.0043154137765459245	52623
500130	428	4987.945363998413	-8.933333333333334	-9.0	5.793413187718994	8.0	-21.0	1.1135266380147388	0.004063490357014054	115130
751983	555	8914.60573554039	-0.21212121212121213	1.0	7.313333609568791	11.0	-14.0	1.6393300223569172	0.004203778684602007	178138
1001808	644	12755.500768184662	16.983870967741936	17.0	1.9627008447617675	21.0	12.0	1.8649498996637086	0.003651175656175204	240623
1251012	766	16645.646095514297	20.014285714285716	20.0	0.9087793556107362	21.0	17.0	1.9156824454581858	0.00237007160768983	302956
1501013	900	20520.506665706635	19.901408450704224	20.0	0.9878538003088859	21.0	16.0	1.8896838524610362	0.0012630884607081126	365485
1751363	1038	24512.424275398254	20.653333333333332	21.0	0.8928141559793489	21.0	15.0	1.8115098161375096	0.0006254395596880305	428111
2000338	1180	28383.82791018486	20.613333333333333	21.0	0.6757045038895158	21.0	18.0	1.6714537854948728	0.0004938829122724081	490388
2250783	1324	32291.518325328827	19.84931506849315	20.0	0.9813713884819029	21.0	16.0	1.5900839945125644	0.0003985444121179043	553043
2501429	1468	36198.83905673027	19.202898550724637	19.0	1.255338132851857	21.0	16.0	1.574976447721858	0.00033486336590823695	615739
2750377	1614	40090.997565984726	20.81578947368421	21.0	0.5088687143272346	21.0	19.0	1.5928700321056652	0.00030574211747500435	678006
3001039	1761	43975.21260905266	20.763157894736842	21.0	0.45806611029796646	21.0	19.0	1.5982409885742166	0.0002622743953541105	740700
3251046	1909	47841.90833044052	20.013513513513512	20.0	1.1992376944376326	21.0	16.0	1.5559514732436617	0.0002450020151397923	803241
3500289	2055	51755.83213829994	11.981132075471699	12.0	2.397840102112218	18.0	7.0	1.5936572911687903	0.0002497601315830795	865597
3750341	2200	55696.37638473511	20.824324324324323	21.0	0.5063462486380355	21.0	19.0	1.5369835761360617	0.00033451716201167214	928151
4000270	2348	59641.69862771034	20.63157894736842	21.0	0.5851975225091757	21.0	19.0	1.535579830587104	0.00023516013385127494	990671
4251442	2496	63536.03056550026	20.75	21.0	0.4654746681256314	21.0	19.0	1.5181442049386344	0.00016982964479520622	1053502
4501442	2645	67426.8151152134	20.985714285714284	21.0	0.11952286093343936	21.0	20.0	1.5385196390357851	0.00016856290363600896	1116034
4751678	2793	71346.92590808868	20.7972972972973	21.0	0.4047569786593151	21.0	20.0	1.5092694401469262	0.00017191637285619596	1178631
5000181	2938	75246.99749541283	20.136986301369863	20.0	0.713268464596269	21.0	18.0	1.5578372478184142	0.0003103564247833152	1240786
5250249	3086	79125.66781520844	20.88157894736842	21.0	0.36394524361623026	21.0	19.0	1.5902504772430295	0.00024171595014623183	1303340
5501549	3236	83060.74543786049	20.92207792207792	21.0	0.3148196545657348	21.0	19.0	1.5400354876105882	0.0001272284040258565	1366199
5751397	3384	87014.08887600899	20.86842105263158	21.0	0.44248104330492005	21.0	18.0	1.5524456778462215	0.00016942902786997607	1428693
6001034	3532	90963.70798802376	20.961038961038962	21.0	0.1947710154567775	21.0	20.0	1.5197237391221938	0.0001344929077129843	1491139
6251290	3680	94898.60301423073	20.907894736842106	21.0	0.3337716416532864	21.0	19.0	1.5357031157025438	0.00017198404219301836	1553729
6500723	3828	98823.25618767738	20.653333333333332	21.0	0.5065338849243717	21.0	19.0	1.561621901161999	0.00019050869742510027	1616138
6751634	3977	102729.48814105988	20.88157894736842	21.0	0.36394524361623026	21.0	19.0	1.5557503906478933	0.00012698836142573824	1678912
7000301	4124	106665.15245485306	19.88888888888889	20.0	1.2509777084013358	21.0	17.0	1.4947946425266843	0.00018144029900590754	1741116
7251399	4274	110627.79397845268	20.948051948051948	21.0	0.2760674925154839	21.0	19.0	1.5214902325371513	0.00016189994891060107	1803920
7501484	4425	114575.4290857315	19.661971830985916	20.0	1.6207904770894177	21.0	15.0	1.512990407919488	0.00011431959130679162	1866481
7751364	4574	118459.20568084717	19.267605633802816	20.0	1.319715840397613	21.0	16.0	1.5388730277483846	0.00012412733638024652	1928987
8000763	4721	122359.6306989193	19.72222222222222	21.0	1.9226025657889076	21.0	12.0	1.486232888189584	0.0001697263988678761	1991380
8251515	4869	126310.72892570496	20.80263157894737	21.0	0.4326580433276843	21.0	19.0	1.5751320126501545	0.00015726161800078207	2054103
8501182	5018	130211.15399169922	20.2972972972973	21.0	1.1904843003196908	21.0	15.0	1.5580160835838963	0.000201243704053343	2116553
8751594	5167	134121.14053368568	20.763157894736842	21.0	0.6081320262932292	21.0	19.0	1.5732911280372153	0.00012411246244313251	2179183
9000685	5316	138067.64820480347	20.86842105263158	21.0	0.411245434038536	21.0	19.0	1.5698147427001379	0.00011732332078725418	2241485
9251366	5465	141940.30066251755	20.896103896103895	21.0	0.34733631451283276	21.0	19.0	1.554624346945657	0.00011265167613977752	2304197
9500579	5614	145875.46104002	20.90909090909091	21.0	0.3317346030940278	21.0	19.0	1.5104506320006752	0.00014001579754808037	2366537
9750727	5763	149771.67497110367	20.818181818181817	21.0	0.3882237799894312	21.0	20.0	1.4992062478614223	0.00010969145809370319	2429112
10000000	5913	153695.24528765678	20.56578947368421	21.0	0.49894625804895326	21.0	20.0	1.4970068393559548	9.90869343424306e-05	2491474
