steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250031	2942	2099.9150021076202	452.8810408921933	325.0	159.3877300249131	625.0	275.0	4.260907000632278	0.05177046920761221	53119
500084	5510	5044.70867061615	609.2222222222222	600.0	169.14951238381548	1150.0	175.0	4.726691816481371	0.055113419173774617	116260
750174	7839	8914.830260753632	672.0164609053498	700.0	171.89947492643785	1150.0	325.0	4.596142185637448	0.03900155298618738	179351
1000104	9735	12728.91458439827	754.2713567839196	750.0	226.70642862848678	1350.0	375.0	4.070598602295793	0.038433323710090686	242299
1250130	11162	16629.93867468834	865.9246575342465	825.0	428.49858303578435	4050.0	475.0	3.039547906014598	0.02037183197908759	305146
1500005	12537	20538.92913722992	841.4110429447853	775.0	276.3907086497625	1475.0	175.0	3.4577986600077018	0.012625283962198286	367957
1750024	13895	24590.859106063843	1186.9354838709678	975.0	767.6935407009868	4550.0	400.0	3.1959495250577494	0.014191089828668398	430833
2000016	15272	28527.598962068558	765.375	775.0	341.6325487520681	4325.0	450.0	4.651760018865636	0.024246657871079727	493676
2250073	16844	32382.63378238678	595.8108108108108	500.0	169.89652186952137	1075.0	300.0	4.6219027701845015	0.04622964048869504	556612
2500128	18364	36239.951320409775	891.8010752688172	700.0	898.8600036496227	4125.0	300.0	8.111688425803619	0.04727805410342702	619495
2750117	19948	40111.818588256836	918.070652173913	775.0	762.596549764837	4200.0	325.0	8.445297548979658	0.03662272548983463	682406
3000014	21336	43964.46460437775	2447.8896103896104	3850.0	1699.0143992653382	4650.0	475.0	11.683500763819723	0.06468161435049362	745233
3250152	22725	47809.86755442619	1138.6503067484662	850.0	902.5777661084734	4275.0	275.0	8.698584383305354	0.08937798843205774	808148
3500091	24222	51693.975880384445	3229.5731707317073	4087.5	1476.5868455341897	4375.0	275.0	11.773201041337776	0.08543360873138212	870995
3750213	25625	55640.54668402672	4525.20325203252	4700.0	277.66030547278314	5225.0	3900.0	12.224346427086918	0.08071152059326152	933904
4000102	26949	59620.3277862072	2184.6813725490197	575.0	1959.848194947128	4975.0	350.0	13.654829618310265	0.05374439869631641	996703
4250045	28189	63542.13956260681	4397.244094488189	4500.0	764.1861291236625	5325.0	550.0	9.455454252568286	0.04581649482052834	1059523
4500003	29363	67484.37108373642	4058.7579617834394	4500.0	1222.7801257436954	5050.0	350.0	8.731291401561208	0.03707984661971971	1122311
4750462	30597	71496.31740522385	3898.7410071942445	4375.0	1478.3195382170732	5500.0	275.0	11.70097774532876	0.03468465770198324	1185249
5000372	31675	75523.85513663292	3460.714285714286	4450.0	1817.63974272319	5400.0	325.0	13.915732133001981	0.033238749117381845	1248003
5250156	32756	79556.2823498249	4598.983739837398	4525.0	548.7915036583004	7775.0	275.0	9.08712005721617	0.029295580611368846	1310729
5500347	33957	83506.26576447487	5021.09375	4600.0	1349.833897261752	8000.0	325.0	13.804803887178288	0.044543935472846845	1373583
5750048	35198	87445.36147212982	2764.9752475247524	3925.0	1934.6912475288825	4775.0	50.0	12.162449652174146	0.05135496301317933	1436300
6000301	36389	91492.51149129868	3031.597222222222	4475.0	2039.7920548049444	4975.0	250.0	10.677702230139671	0.03126957648545043	1499164
6250140	37501	95459.18597364426	5428.476821192053	4500.0	2241.707012775271	8725.0	200.0	14.97412221768067	0.03759529815257691	1561897
6500052	38634	99436.56240010262	3845.766129032258	4500.0	2184.20215237067	8025.0	300.0	10.204451910225563	0.048179864050548075	1624677
6750501	39781	103430.58402180672	4821.857142857143	4275.0	2069.346642167899	8350.0	350.0	20.939485237665508	0.05303570881910081	1687574
7000281	40882	107460.06962394714	7463.4	7900.0	3101.8489933295195	12075.0	3925.0	19.02660358540484	0.053369552635623534	1750300
7250383	41883	111520.28525447845	10168.509615384615	11525.0	3303.5028393533103	15025.0	4450.0	19.551535540300694	0.05620408528847298	1813075
7500778	42901	115597.88695597649	7311.964285714285	4475.0	5367.297448920652	15225.0	225.0	18.880575265516544	0.05704552682293141	1875939
7750078	43911	119616.10031938553	7598.731884057971	7750.0	5148.3683214048115	14975.0	175.0	17.772207432083324	0.05934488187220524	1938533
8000242	44920	123642.50497889519	8536.27049180328	8150.0	3907.264507874271	15025.0	775.0	24.438502003189242	0.05910462371254534	2001330
8250015	45883	127684.95443296432	4641.612903225807	4400.0	850.5740871637835	8450.0	4075.0	13.512587534153077	0.04853414663814219	2063997
8500262	46826	131766.2576546669	11579.126213592233	11725.0	3450.6554810093453	15475.0	600.0	17.793793222951205	0.043195183955341235	2126784
8750210	47782	135878.5814921856	11277.380952380952	11725.0	3670.8793024941383	15400.0	700.0	21.33324492195991	0.044080855341444604	2189508
9000120	48771	139994.2836008072	13700.54347826087	15225.0	2991.625165350265	15975.0	4250.0	18.491486374852816	0.03760130871583417	2252245
9250171	49696	144098.27774047852	13165.860215053763	15200.0	3998.9193257336465	15625.0	4450.0	21.103106289179202	0.03324563920706978	2315002
9500574	50629	148228.55743026733	11761.734693877552	14987.5	4613.874476127882	16175.0	800.0	19.478529274272166	0.036221697961271046	2377832
9750030	51566	152416.85756206512	11897.5	14925.0	4312.547027997129	16350.0	600.0	20.578613026421497	0.032321578182531736	2440418
10000000	52458	156040.89362335205	11370.673076923076	11775.0	4449.796060434937	15800.0	675.0	20.56364463051731	0.029068786409804398	2503112
