steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250049	1562	3722.7583422660828	536.3926940639269	450.0	294.5097795007966	2180.0	160.0	5.642990214192976	4.770914617718195	52844
500437	3043	8213.463906526566	640.4522613065327	570.0	314.3090811082029	2350.0	210.0	8.305966037711785	5.339536850640522	115832
750143	4343	13810.03327035904	1038.3040935672514	960.0	468.0535928787146	3180.0	320.0	11.00367123413072	5.615191785580016	178595
1000049	5430	19436.69416999817	1164.0828402366865	1080.0	589.5866330392437	5310.0	310.0	12.135316385423549	8.087016280280514	241312
1250022	6360	25047.008664369583	1456.1538461538462	1410.0	505.75330150688256	3610.0	360.0	14.108730236469087	8.007624642407778	304039
1500193	7288	30642.76632642746	1419.8101265822784	1305.0	561.9466524071269	3680.0	370.0	14.833324349042181	8.419304206851235	366810
1750218	8266	36196.04122328758	1672.6993865030674	1580.0	561.9235716996752	3360.0	570.0	16.35403975537286	9.902646755112373	429575
2000063	9219	41771.542906045914	1367.9878048780488	1320.0	491.7318585461616	3940.0	320.0	15.610163608716377	12.079840294707312	492262
2250075	10176	47334.73217463493	1494.0625	1370.0	576.9550268326132	3950.0	460.0	15.022948543050964	7.52950574925221	555026
2500273	11142	52904.27321457863	1529.308176100629	1350.0	658.2255774090772	4340.0	560.0	14.225354559553338	9.462151017902938	617808
2750075	12102	58343.63725185394	1282.8	1250.0	515.4103821897319	3110.0	280.0	13.31866239268517	7.698262550663913	680474
3000019	13079	63906.07477116585	1476.8354430379748	1390.0	517.5654530841829	4320.0	680.0	11.63235272776043	8.382021971807482	743197
3250258	14034	69462.53325724602	1605.921052631579	1505.0	519.1936632425346	4120.0	820.0	14.763644458911141	7.6010419316667654	806008
3500406	14966	75927.12648749352	1716.751592356688	1650.0	573.5608708005401	3300.0	470.0	14.494908052668432	7.912144260239441	868768
3750157	15907	81512.99251914024	1570.632911392405	1370.0	697.6445206023636	5110.0	560.0	14.967624859958079	8.087110183896874	931455
4000223	16853	87070.58697628975	1429.2682926829268	1285.0	614.0098128505942	4110.0	660.0	14.0092625559224	8.178043142882625	994187
4250175	17800	92618.56415486336	1539.559748427673	1350.0	632.3117580610175	4000.0	690.0	16.300356245456143	8.420803594256995	1056894
4500067	18732	98152.13103675842	1454.355828220859	1270.0	645.6913576894417	4410.0	480.0	15.615793423650134	7.495880854838137	1119597
4750204	19639	103689.34314966202	1519.673202614379	1460.0	401.5388463554167	2650.0	680.0	14.033487295416277	7.153509422141467	1182363
5000030	20541	109292.64322948456	1587.4834437086092	1420.0	694.720297235318	4910.0	810.0	12.315152073447047	6.962616039057506	1245040
5250020	21472	114820.70452260971	1532.2929936305732	1430.0	456.6781852535695	3140.0	770.0	12.067059513693616	8.182445514081198	1307768
5500132	22388	120363.6648902893	1539.4736842105262	1450.0	483.16120940094146	4350.0	490.0	15.59920011597282	8.10092881490572	1370519
5750241	23310	125919.71492481232	1679.5483870967741	1510.0	685.7211029894326	4570.0	630.0	14.406520711657965	8.001958710375714	1433304
6000121	24222	131464.26182127	1623.921568627451	1490.0	658.5073185203728	4210.0	620.0	15.09754287255496	7.167399288968277	1495999
6250349	25150	137014.23058962822	1539.0196078431372	1450.0	415.47019132082266	3050.0	800.0	10.771293082477566	5.976476537435396	1558771
6500235	26051	142559.075196743	1687.7483443708609	1570.0	518.4980516651668	3330.0	950.0	14.31157751587977	7.941156272976126	1621466
6750088	26942	148096.61524868011	1441.9354838709678	1330.0	423.81093673518535	4190.0	770.0	15.914762080811906	6.37413260440697	1684137
7000012	27854	153670.98074626923	1543.6184210526317	1395.0	563.6958803168887	3580.0	550.0	16.03110861080493	7.74765518271245	1746850
7250132	28781	159225.76714658737	1642.8947368421052	1550.0	511.91321643826376	3550.0	570.0	14.805028035318774	7.101883477644102	1809605
7500189	29692	164778.23410916328	1612.922077922078	1540.0	467.6515172656695	4380.0	860.0	13.52006730667792	6.525376825842795	1872352
7750083	30592	170314.8617155552	1670.4794520547946	1445.0	582.7347325673899	4040.0	770.0	14.247313544479725	6.418082217827009	1935060
8000135	31492	175844.70308804512	1652.2972972972973	1600.0	543.58359237325	4810.0	740.0	17.074468438301174	6.876055097922099	1997808
8250088	32380	181358.9186193943	1449.9342105263158	1400.0	443.64608636582943	2890.0	690.0	12.691954430632778	5.82594916621809	2060517
8500390	33283	186913.72971773148	1601.1842105263158	1515.0	473.1183493210481	3410.0	420.0	14.90852806667243	6.757874812198232	2123315
8750414	34168	192444.76419901848	1600.8783783783783	1430.0	676.9428366968481	4660.0	600.0	15.750072783393621	6.52036232328171	2186057
9000123	35056	197954.83741116524	1706.1486486486488	1515.0	619.7887764497897	3280.0	600.0	13.942429753580734	7.231617712503078	2248697
9250087	35970	203495.24312734604	1615.3947368421052	1420.0	697.5044271776206	4260.0	420.0	14.40146190048888	6.689178908470382	2311409
9500481	36853	209040.83362412453	2026.0283687943263	1850.0	740.7466112285671	4400.0	760.0	14.552033211606805	7.373237426002249	2374229
9750477	37750	214607.37656664848	1622.3026315789473	1430.0	705.7075453724991	4360.0	370.0	14.437756926760189	6.007533446264087	2436969
10000000	38651	220134.89061760902	1825.3246753246754	1640.0	650.6880911282827	3650.0	390.0	15.459535106547756	6.819753766741467	2499577
