steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250017	2958	2611.006974220276	364.91525423728814	325.0	138.6815085760843	1125.0	125.0	2.888558204479086	1.9960288295044237	53125
500157	5616	6048.814700603485	602.9816513761468	625.0	114.73897297710589	1125.0	150.0	4.4790216738510304	3.6367913791608357	116329
750086	7878	10562.127512931824	517.0704845814978	475.0	242.8124013854694	1350.0	175.0	4.720954883824387	2.94589158531211	179363
1000244	9665	14570.94341468811	611.7718446601941	525.0	235.4894050405171	1425.0	250.0	3.8631711348548685	1.5318810563355083	242384
1250013	11200	18566.77119064331	1261.221590909091	1325.0	719.6614773943751	4675.0	300.0	2.821932037982348	0.994558531429818	305232
1500020	12572	23102.507324695587	886.1878453038674	750.0	678.393607532037	4550.0	275.0	3.799533111435199	0.7408999721308217	368069
1750063	13826	27506.933205366135	974.8633879781421	825.0	771.2889582113751	4600.0	125.0	2.9054213010582757	1.7949521855340482	430890
2000077	15305	31692.589835882187	548.3624454148471	450.0	249.95623228307713	1500.0	0.0	5.897369399308665	3.480252344958501	493746
2250041	16962	35829.81045293808	1459.4117647058824	850.0	1405.0967899792117	5100.0	250.0	3.895354360385754	2.1116794346493335	556665
2500004	18472	39915.9775762558	1514.516129032258	825.0	1401.4366305574356	4600.0	325.0	5.937717956821432	3.7150888316825172	619548
2750259	19888	44608.16077566147	1937.8172588832488	800.0	1772.2035479636354	5275.0	250.0	8.342068260684075	8.404173377217939	682497
3000135	21589	48995.710501194	1045.3208556149732	825.0	988.1088180373329	4825.0	150.0	5.2551359467940335	9.563544320726349	745406
3250053	23257	53501.03951573372	1459.0	850.0	1435.7308203509972	5075.0	175.0	8.273016003342319	7.014613335378155	808334
3500046	24738	58332.60960769653	3470.8333333333335	4175.0	1494.1519400516402	4800.0	375.0	10.653961932768063	7.845884051123785	871228
3750065	26078	62943.349051475525	3495.8841463414633	4300.0	1606.742115511817	5025.0	250.0	12.945173766263569	6.185854181820555	934060
4000229	27409	67272.65223646164	4215.625	4375.0	834.2269514235808	5125.0	550.0	13.395878526189012	5.072290282852896	996950
4250209	28590	71680.52102971077	4227.195945945946	4400.0	843.3358661367987	4950.0	200.0	9.572698687032235	3.8481062421363803	1059758
4500263	29750	75898.49575519562	3489.0173410404623	4300.0	2096.188585720961	8375.0	200.0	10.864054589561924	3.5572294507455604	1122544
4750194	30851	81045.60662579536	3581.818181818182	4275.0	1882.9022427133527	8575.0	200.0	10.624457949305278	3.8168548295232743	1185302
5000160	32029	85484.08106923103	4348.0	4450.0	2877.0185793700166	8550.0	150.0	10.177062655290037	4.540015726212656	1248108
5250509	33189	90218.13922047615	4319.097222222223	4450.0	1867.449801122512	8450.0	175.0	13.401132073884312	4.8012791659056075	1310974
5500119	34428	95067.2484395504	1657.8199052132702	375.0	1817.4954603420058	7475.0	0.0	9.179813589053387	8.307972713188764	1373675
5750092	35687	99422.9694223404	2595.6284153005463	3950.0	2042.1220280996122	7900.0	125.0	13.615814028031869	6.064452797016843	1436478
6000131	36850	103468.60475897789	5374.8175182481755	4950.0	1989.530262394863	9250.0	0.0	11.300178955916904	5.094344709283758	1499278
6250130	37935	108159.1114757061	3963.5135135135133	4450.0	1854.4861454758084	8275.0	150.0	15.033355431425687	6.364894774001475	1562048
6500215	39049	112705.85260558128	6589.763779527559	7925.0	2553.118918812498	12300.0	175.0	7.879236714893616	6.0182932835530645	1624820
6750062	39998	117347.25388026237	7197.580645161291	7950.0	2930.7564774352795	14850.0	375.0	16.335815201796727	6.15944310741679	1687492
7000084	40963	121890.02489948273	5879.62962962963	4500.0	5488.276332384155	16400.0	25.0	12.530675351143474	7.142370509821282	1750246
7250198	41889	126446.8338098526	8355.555555555555	8500.0	3544.9555006456194	15650.0	25.0	13.381946888990496	6.371046303949823	1813038
7500127	42860	130871.84654259682	6827.991452991453	4700.0	3462.449679693422	15500.0	475.0	16.881360890298264	6.86404145615736	1875766
7750477	43817	136034.67720770836	11015.229885057472	11825.0	4228.088791671633	16175.0	150.0	14.924892693797368	7.083171576798261	1938586
8000033	44728	141570.4749238491	9639.0	11700.0	5007.903248815312	16250.0	225.0	17.258353171576314	7.2458481720774195	2001205
8250020	45644	147067.4073460102	8452.272727272728	7975.0	4093.0834273547457	16200.0	275.0	16.757568572968175	6.453703104969561	2063927
8500075	46628	152597.44576931	10296.0	11875.0	4166.226825269594	16925.0	425.0	16.184376834368347	6.6475182567120195	2126675
8750037	47530	158129.05239224434	8689.320388349515	8050.0	4489.865496945167	16600.0	175.0	16.001103163779966	6.699816455820075	2189387
9000134	48489	163657.95541381836	11030.0	11737.5	4219.146433724893	16625.0	750.0	14.243712188395937	6.306185944857741	2252161
9250021	49317	169200.75484395027	10778.804347826086	11725.0	4471.294178605255	16875.0	750.0	15.075509721920719	5.761703190395182	2314833
9500090	50199	174721.13732481003	8377.336448598131	8050.0	4831.131274884631	16625.0	425.0	16.46271060464362	5.861223913257078	2377557
9750293	51065	180246.31608748436	9720.61855670103	11600.0	4176.234863394945	16400.0	300.0	11.174045291220828	5.265101879303501	2440325
10000000	51922	185764.36229538918	10993.279569892473	11750.0	4325.014356260645	16225.0	500.0	17.69456909135164	4.927513233223185	2502958
