steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250067	716	2500.674207687378	2950.0	3900.0	1952.2554571220985	8000.0	400.0	3.36616709119401	0.4881990408375576	52674
500295	1513	5547.30526638031	2302.0833333333335	1000.0	1723.3980611550492	5200.0	500.0	3.737398998770313	0.7686963319724276	115432
750101	2382	9637.364607572556	2391.1111111111113	1100.0	1687.0054877224002	4900.0	400.0	3.8496172382849343	0.8550396533269463	178077
1000007	3226	13523.637184619904	3834.2105263157896	4200.0	1473.0967500771017	8000.0	600.0	3.361264800191825	0.5645856653348884	240751
1250441	4038	18450.976368665695	3239.7727272727275	4000.0	1837.5107958226777	8200.0	600.0	2.778662116959374	0.3865894452655725	303560
1500087	4867	23736.173280000687	2493.814432989691	3800.0	1664.7581426560191	4700.0	500.0	2.3690131498474183	0.32379928313887696	366179
1750369	5753	29146.38954949379	3570.731707317073	4100.0	1603.5060201820297	9100.0	700.0	2.184096227851594	0.29163232185698346	428974
2000217	6652	34941.32596206665	3267.3684210526317	4000.0	1830.791138445121	8000.0	400.0	1.7753095229956077	0.28146452846463144	491676
2250206	7541	40429.66007590294	3590.1098901098903	4200.0	1566.8124006724925	7800.0	600.0	2.0047401362755926	0.25762451590841856	554398
2500186	8413	45890.44005870819	3188.7640449438204	4000.0	1768.1807678468433	8200.0	600.0	1.9462421431326622	0.2544035846044945	617100
2750015	9282	51328.52500081062	2974.4897959183672	4000.0	1738.8413742021069	8100.0	400.0	1.7779586962422989	0.256336360225504	679772
3000365	10173	56758.8869497776	2556.32183908046	3800.0	1749.3321748615615	7800.0	500.0	1.823248035774002	0.27855217768705354	742573
3250247	11055	62199.126204013824	3546.590909090909	4150.0	1752.6301328132931	8100.0	600.0	1.825904014090661	0.21237025549113095	805261
3500253	11991	67649.90070343018	3451.0204081632655	4100.0	1774.692939780583	8100.0	400.0	1.8483455994941789	0.22587196900453912	867981
3750305	12893	73143.26111960411	3572.6190476190477	4100.0	1701.7603352613908	8200.0	600.0	1.7517063807403788	0.24731159990090495	930718
4000153	13788	78634.84966039658	2750.0	3900.0	1678.9363181770257	4700.0	300.0	1.8150350956051569	0.23871427180266747	993401
4250145	14698	84084.70288205147	4034.065934065934	4200.0	1691.0364855923115	8400.0	700.0	1.6838463812267996	0.26981539833743523	1056133
4500111	15591	89572.59304022789	3633.7078651685392	4100.0	1899.1591333238603	8400.0	600.0	1.6189455804381019	0.23353801092131635	1118838
4750202	16535	95065.6830830574	4028.9156626506024	4200.0	1442.0962148207968	8200.0	700.0	1.5623505208598258	0.2772584353115993	1181597
5000012	17449	100502.42840886116	3682.6530612244896	4200.0	1671.719006021534	8100.0	500.0	1.7574063826865927	0.24612354024382233	1244285
5250141	18401	105942.4724240303	3735.4166666666665	4200.0	1866.264446014053	8400.0	600.0	1.4808838443201	0.28417319352519277	1307048
5500128	19383	111374.74414277077	3017.5824175824177	4000.0	1608.6290509895136	4900.0	400.0	1.8706073402756067	0.2210802473789109	1369787
5750111	20328	116843.27914214134	3373.8636363636365	4100.0	1528.239488828309	4900.0	500.0	1.6508281533333333	0.2773422747936119	1432522
6000093	21225	122275.71982502937	4539.3258426966295	4400.0	1900.1565711521637	8600.0	600.0	1.6617699341770222	0.19404732240990719	1495257
6250022	22103	127697.1301651001	3300.0	4000.0	1473.644430307645	4700.0	500.0	2.224358982877673	0.23093164335859312	1557989
6500135	23002	133113.24071025848	5060.975609756098	4550.0	1812.76380609326	8600.0	800.0	1.5550648606637119	0.24965569156751982	1620740
6750235	23899	138578.75264191628	4424.752475247525	4400.0	2093.0076894552517	8500.0	500.0	1.9405902146681235	0.27981183229136564	1683496
7000006	24819	143980.19944930077	4637.634408602151	4400.0	1579.482164624975	8900.0	700.0	1.855425852145878	0.19601845136607107	1746150
7250056	25737	149407.2160460949	5328.735632183908	4600.0	1848.0604569528546	8500.0	600.0	1.6696192459991004	0.22640294350038498	1808878
7500327	26696	154845.1743440628	4455.102040816327	4300.0	1551.661726405491	8400.0	800.0	1.6229363094598301	0.3055037099768968	1871673
7750219	27622	160272.1236052513	4076.086956521739	4300.0	1817.7615485262431	8000.0	600.0	1.8361133285383637	0.2279665343675162	1934392
8000038	28563	165692.15529680252	4305.31914893617	4300.0	1964.872538002686	8300.0	700.0	1.5077752488525646	0.25528241002781477	1997089
8250178	29469	171144.18093132973	4687.35632183908	4600.0	2098.7706588703663	8600.0	600.0	1.7529313968528444	0.28293374609412897	2059858
8500061	30371	176587.51371097565	3467.0103092783506	4100.0	2189.2122655518383	9100.0	700.0	1.7783680671244047	0.17950883405700166	2122567
8750181	31307	182024.52142596245	5035.955056179775	4600.0	2031.0234316165042	8600.0	500.0	2.1457926271089027	0.2821166948416299	2185337
9000261	32220	187458.65489315987	4291.578947368421	4300.0	1597.1159617563005	8400.0	700.0	1.7370514827176256	0.22303335060888457	2248063
9250072	33147	192887.00620436668	5536.9047619047615	4700.0	2148.8455719351364	12000.0	800.0	1.7113852854008165	0.23182864929588662	2310735
9500094	34113	198330.30515933037	4683.529411764706	4500.0	2387.8585274967477	12300.0	700.0	1.8198627909868	0.25452756090104367	2373499
9750406	35011	203777.07635998726	4417.777777777777	4500.0	1368.4714492329729	8500.0	800.0	1.8296664119145147	0.22436221594308248	2436300
10000000	35976	209184.0609254837	4885.393258426966	4500.0	2126.2723763879353	12100.0	800.0	1.7104098981475193	0.22626860641134403	2498926
