steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250066	1111	3216.2296710014343	405.8959537572254	360.0	204.03468308632574	1010.0	190.0	6.7698546895629725	0.04294307621188548	52747
500244	2158	7321.728991985321	540.8474576271186	430.0	262.3752179755248	1570.0	230.0	9.934688415337554	0.08107889284303879	115561
750109	3251	11659.548842668533	606.5957446808511	500.0	287.94515665978395	1530.0	270.0	9.814989159526826	0.08166009833225531	178294
1000098	4373	15535.27434873581	707.3023255813954	560.0	449.7415423341593	2190.0	390.0	10.856464593885605	0.09686299410950826	241092
1250162	5602	19417.294909000397	1110.8426966292134	860.0	624.7954404022882	2650.0	360.0	12.747641156486443	0.1076538154493542	303951
1500062	6784	23319.411918640137	924.247311827957	725.0	544.4141141589162	4020.0	480.0	13.218553671637242	0.11038411654729965	366752
1750156	7910	27215.466782808304	1032.280701754386	1140.0	370.5497547469625	2290.0	510.0	11.731800305892957	0.11394308296504686	429549
2000203	8994	31122.388484716415	957.2727272727273	790.0	357.01652841854167	2790.0	460.0	12.868694403502179	0.09337501957460762	492341
2250155	10101	34996.415125608444	1139.9468085106382	1210.0	374.4079066713138	3880.0	460.0	15.083956253053845	0.09203407157372817	555084
2500274	11140	38899.016057014465	1090.7407407407406	850.0	466.2424869000596	2760.0	620.0	14.237973913761095	0.09078373460159886	617871
2750112	12176	42811.20017290115	1303.1736526946108	1310.0	502.11371272497325	2900.0	600.0	11.596115717426038	0.07793434530166565	680600
3000063	13204	46709.93268609047	1264.4444444444443	1255.0	512.854634157085	2890.0	550.0	12.631119576904261	0.07035462505071471	743355
3250032	14217	50630.77375173569	1069.5977011494253	830.0	579.0797555015017	2880.0	420.0	13.000274447130193	0.07390949192136274	806109
3500078	15206	54528.992577552795	1289.4267515923566	1320.0	442.9247809588634	2870.0	590.0	12.344879338172165	0.08635110723831682	868860
3750131	16138	58431.41467213631	1255.3333333333333	1290.0	476.81685052343676	2850.0	640.0	14.003501416384667	0.0646428646771551	931607
4000087	17069	62324.303668022156	1261.2925170068027	1300.0	500.79426244695105	2990.0	590.0	11.792190452563636	0.06298910431595815	994312
4250087	18011	66225.369951725	1337.179487179487	1310.0	534.1085969940581	2930.0	520.0	13.446743742190861	0.06352964043597638	1057028
4500299	18928	70119.10212993622	1427.5352112676057	1335.0	644.6497609975594	3380.0	540.0	11.100891649336514	0.061067102623845376	1119815
4750066	19824	73991.28639960289	1494.2281879194632	1420.0	822.128237849998	4500.0	700.0	12.407331420885845	0.06491484650364601	1182487
5000222	20687	77872.53470277786	1213.2666666666667	925.0	552.7472530253491	2890.0	510.0	13.521596546937067	0.07388454983524896	1245242
5250210	21571	81738.83255958557	1419.032258064516	1320.0	527.0313504974877	3330.0	770.0	13.435003968515755	0.07141416615951879	1307969
5500293	22435	85602.63017106056	1758.4671532846714	1470.0	763.8167420640096	3490.0	540.0	10.799365397062516	0.0625435992822094	1370720
5750094	23291	89458.17165732384	1567.3722627737227	1490.0	638.1974501684098	5470.0	590.0	12.319230414472557	0.0706823169568975	1433383
6000003	24131	93305.8413863182	1629.9236641221373	1520.0	678.8944589814397	3040.0	720.0	12.198225780887295	0.07417271504733206	1496076
6250182	24989	97218.69147253036	1114.4155844155844	975.0	385.1372508311301	2490.0	520.0	12.546013043277744	0.06073580093154521	1558823
6500059	25844	101098.58353686333	1470.2142857142858	1480.0	629.2435424902453	3030.0	680.0	11.877776436032091	0.06812788828237737	1621497
6750335	26680	104960.41673779488	1331.357142857143	1030.0	534.9002606070906	3020.0	770.0	11.59954067100266	0.06175690217174435	1684267
7000319	27548	108825.87817978859	1455.7446808510638	1360.0	649.3922807875872	4520.0	820.0	11.140517417052243	0.06066826116570525	1746982
7250280	28399	112713.6413846016	1414.5	1430.0	474.4846882929526	3010.0	790.0	11.60877007860152	0.06810724739423116	1809705
7500173	29230	116587.19881725311	1470.4285714285713	1430.0	590.1345675444661	4000.0	690.0	10.448885030017566	0.05464271577161221	1872399
7750058	30077	120467.74541592598	1511.3235294117646	1470.0	654.6956418384544	3440.0	760.0	11.760844040622938	0.06078431712935327	1935106
8000223	30928	124340.9438354969	1473.8848920863309	1480.0	435.973857066521	3010.0	660.0	13.139826297513792	0.0558848358986502	1997836
8250266	31763	128202.45234012604	1507.7397260273972	1465.0	526.8210067656562	3030.0	490.0	11.929840319371987	0.05391606091124896	2060562
8500041	32620	132059.53621602058	1285.7142857142858	1450.0	433.4711758283042	2330.0	450.0	13.2242185306575	0.06111347009098199	2123224
8750250	33472	135922.49918079376	1536.3503649635036	1490.0	538.9953561848529	3020.0	630.0	12.026413383240712	0.05822068898305247	2185982
9000028	34317	139757.43219470978	1627.7099236641222	1510.0	484.3497860105398	3030.0	770.0	12.085322740860658	0.0647897441227349	2248635
9250267	35146	143617.70402908325	1433.0434782608695	1490.0	492.8194005916287	2530.0	660.0	12.448320393111642	0.05640083638771429	2311403
9500073	35990	147471.33929252625	1611.4179104477612	1530.0	506.5587170428936	3500.0	660.0	12.639133153205249	0.06445110680038098	2374065
9750194	36830	151318.7039206028	1350.4895104895104	1440.0	453.13202483542125	2990.0	580.0	11.426519984092305	0.05893386423504173	2436827
10000000	37660	155162.81781339645	1577.5373134328358	1510.0	368.60524877476587	3560.0	850.0	11.170888220078167	0.05327791082268622	2499489
