steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250097	1501	3080.894824743271	358.5281385281385	410.0	104.72945615914094	1080.0	260.0	5.1609371596656874	0.09103220263317506	52834
500054	2849	7006.383384943008	654.5714285714286	490.0	398.8452916155366	1890.0	310.0	7.6408209551411455	0.12378559591421262	115687
750009	4134	11893.886168718338	944.245810055866	790.0	486.905922576642	2250.0	360.0	10.107528277526228	0.1375726018884857	178505
1000300	5246	16689.942055225372	1527.1779141104294	1470.0	448.6873986768791	3170.0	480.0	12.094405280972852	0.17772252462954305	241348
1250278	6208	20623.736342906952	1286.3803680981596	1150.0	463.3997049263083	2790.0	560.0	14.217566802720823	0.21827335539596784	304086
1500248	7160	24236.291529893875	1275.4022988505747	1350.0	731.37024712261	4240.0	180.0	13.543765978329928	0.16343829323645034	366817
1750270	8107	27824.963188648224	1729.5364238410596	1660.0	486.0292690066369	3040.0	920.0	14.507604159578843	0.17538385238660323	429552
2000104	9053	31424.860738754272	1522.7215189873418	1500.0	333.62828534521975	2710.0	930.0	13.577122803547661	0.18292476796472898	492234
2250212	10003	35047.37667632103	1455.1875	1400.0	500.80937243198963	2910.0	510.0	14.272151016929776	0.15190620184135697	554989
2500018	10950	38668.29814076424	1623.972602739726	1490.0	494.3996421325214	2760.0	860.0	14.564860215984462	0.17885524795147356	617658
2750439	11860	42252.733661174774	2058.9864864864867	2020.0	404.34668876361764	3420.0	880.0	13.7885986474675	0.1459828064794944	680495
3000192	12781	45833.72208452225	1599.8039215686274	1640.0	384.1454470095986	2370.0	490.0	16.005363979234176	0.13990626477316362	743161
3250625	13708	49465.070343256	1681.0967741935483	1560.0	669.4420702190272	4510.0	820.0	16.143011287368154	0.15852651678451224	806007
3500309	14629	53173.71385741234	1758.3950617283951	1755.0	665.6626209608033	3580.0	780.0	17.058084624518667	0.15827527658432453	868667
3750113	15559	56967.19551444054	1829.155844155844	1745.0	528.2836325960616	3080.0	930.0	16.02787169670736	0.1647785253712265	931353
4000300	16494	60851.01196837425	1759.5238095238096	1770.0	636.4018431274952	4410.0	360.0	15.640065170024839	0.13297858716158834	994133
4250036	17406	64785.26543712616	1865.2112676056338	1915.0	538.0312394498238	3620.0	830.0	15.171705922208488	0.18366304593753224	1056811
4500015	18310	68671.93080735207	1804.4654088050315	1730.0	635.4183788661919	4750.0	920.0	14.404403599867067	0.15780535660060085	1119547
4750193	19199	72549.97623801231	1998.6928104575163	2060.0	515.2231157092317	3210.0	930.0	16.84165987592953	0.15974545830194328	1182316
5000314	20095	76410.22797298431	1796.0135135135135	1625.0	770.4400543631951	4860.0	360.0	16.080049067375793	0.14187729959827303	1245091
5250388	20972	80301.80358028412	1642.0945945945946	1690.0	435.94022772331255	2430.0	840.0	14.545729614253093	0.1588006049418111	1307842
5500251	21863	84205.86044311523	1640.551724137931	1750.0	545.300349591276	2910.0	530.0	14.535378551795745	0.12939933925589553	1370531
5750059	22758	88070.7519083023	1799.871794871795	1670.0	630.3403967028191	2990.0	770.0	15.785438162897654	0.14328220234700745	1433208
6000248	23662	93023.23811626434	1817.0503597122301	1740.0	465.5625446196979	2760.0	890.0	14.183513211694597	0.15938691100268831	1495982
6250104	24557	98441.33889842033	1842.7142857142858	1800.0	496.58233808653137	3090.0	840.0	14.051090847133388	0.1480265258099139	1558683
6500613	25432	103899.72908973694	1786.5441176470588	1775.0	245.4515979334919	2450.0	1070.0	15.147401361112324	0.1384054246781289	1621528
6750014	26302	109299.33344459534	1722.5675675675675	1585.0	517.7346280319974	3240.0	690.0	14.193585836364385	0.13387294114820236	1684080
7000282	27178	114770.87739992142	1878.1118881118882	1830.0	491.4722794597838	3200.0	950.0	15.881321147967919	0.14450348168288352	1746870
7250132	28035	120136.24952483177	1806.7586206896551	1760.0	436.31965021615855	2870.0	990.0	14.240490372921165	0.1172286730795664	1809556
7500490	28918	125665.49518680573	1904.0	1870.0	515.5339482503176	3530.0	840.0	12.737894485861238	0.14391318328235306	1872342
7750309	29792	131102.8139474392	1908.2706766917292	1860.0	393.24121535237293	3140.0	960.0	10.59024481031481	0.1206934777180589	1935024
8000173	30673	136641.6702067852	1888.4827586206898	1940.0	344.5494865168193	3450.0	1220.0	14.70336468460806	0.11673581162385582	1997700
8250073	31550	142027.64807844162	1715.2413793103449	1740.0	370.6546062910199	2850.0	720.0	15.892320842348019	0.12440380394553557	2060407
8500246	32464	147411.49309659004	1759.6052631578948	1670.0	419.2075172139355	2810.0	1090.0	14.381213660304999	0.14520287895024775	2123166
8750260	33349	152797.91481614113	1902.857142857143	1740.0	893.3076906290387	5550.0	860.0	17.616280887280386	0.1409003212626901	2185881
9000106	34211	158230.151191473	2067.0945945945946	1970.0	403.18165480748735	3150.0	1350.0	16.47429896422365	0.13396032882210995	2248539
9250040	35089	163710.400274992	1809.7945205479452	1710.0	510.0337638290534	3140.0	1000.0	14.558233274985477	0.11894115810191605	2311239
9500168	35978	169134.98042035103	1745.774647887324	1680.0	396.8748913104884	3270.0	1130.0	14.78032907435485	0.14677495439840124	2374000
9750317	36859	174448.58140087128	2495.3383458646617	2480.0	688.1613060465311	3610.0	1030.0	16.266903949060293	0.15237447916689412	2436767
10000000	37747	179902.55512857437	1713.7762237762238	1600.0	300.7708504844388	2310.0	930.0	16.737999595183975	0.1357765779005054	2499394
