steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250067	2930	3046.2136132717133	248.0952380952381	300.0	82.77352154506774	375.0	150.0	2.1440116566611676	0.04870139016981793	53141
500087	5571	6854.26411986351	646.8457943925233	625.0	177.0221321301943	1350.0	300.0	4.02603017229221	0.05178095162009036	116308
750115	7925	11586.423840761185	608.7755102040817	625.0	258.70011321628715	1350.0	125.0	3.690329245285422	0.04126415593479195	179396
1000111	9780	16263.17288017273	975.3030303030303	825.0	268.5352641656536	1425.0	500.0	4.124753186210353	0.04308271446898974	242346
1250048	11171	20966.77661561966	1125.8196721311476	825.0	882.2770460487494	4300.0	475.0	4.172983898158778	0.026233551487878103	305203
1500097	12623	25715.28113603592	1428.3602150537633	850.0	1277.838176248805	4400.0	375.0	5.4236584839802315	0.04158660760886463	368078
1750122	14139	30377.728192329407	1533.860759493671	825.0	1490.1162587412514	5350.0	450.0	4.818700071402529	0.06949391875505473	430998
2000139	15476	35039.61428833008	3734.150326797386	4200.0	1283.4208234822743	5050.0	775.0	7.764011337615996	0.08279287869691748	493834
2250301	17009	39753.262063503265	3775.3355704697988	4175.0	1116.1437692603158	4350.0	375.0	10.368828742100876	0.12429310722857027	556756
2500096	18362	44365.73083758354	4274.285714285715	4375.0	633.6129050639001	5050.0	450.0	10.976411849800328	0.1057879741420396	619568
2750073	19618	49051.353887081146	4384.306569343065	4425.0	405.7831854075124	4525.0	750.0	10.136562454359344	0.06924982967010837	682381
3000058	20812	53759.891857624054	4342.96875	4425.0	554.5351452903636	4575.0	725.0	7.797981329842848	0.06343123200915411	745163
3250092	22041	58528.12785458565	4446.590909090909	4462.5	1000.7381470697986	8100.0	725.0	10.630875975095547	0.05269482528323322	807984
3500596	23293	63380.656281232834	4237.5	4275.0	507.51927412608427	4525.0	350.0	11.832608663290463	0.06585155706996436	870914
3750063	24531	68228.25485515594	6513.846153846154	7775.0	1988.672041281767	7900.0	175.0	11.861379111233989	0.07062148885715316	933567
4000061	25846	73007.56498169899	3623.6686390532545	4350.0	1969.0447820788804	7825.0	300.0	13.275120605716696	0.1465778309251417	996403
4250006	27116	77331.39548444748	6446.666666666667	7800.0	2136.8824935042117	8450.0	700.0	12.711449188060474	0.13745706323816198	1059200
4500209	28229	80993.45201778412	6011.111111111111	8100.0	2966.3269468410854	8925.0	675.0	15.027206945691567	0.14489900585011825	1122044
4750234	29377	84653.25053095818	7364.4	8050.0	1928.7491350111998	11675.0	600.0	17.67138763747518	0.1496308757537232	1184856
5000014	30432	88308.21736335754	9398.4375	9387.5	2233.733193118762	11650.0	4325.0	16.257936278892867	0.1619031538410875	1247565
5250233	31504	92625.87924456596	9894.174757281553	11425.0	2870.542588688453	15575.0	4225.0	16.02018659476709	0.14059213057063313	1310397
5500270	32521	97242.20069670677	7013.533834586467	7875.0	3724.2023135099157	15025.0	525.0	19.92306782705688	0.17661949808434108	1373165
5750311	33537	101835.66736412048	11333.0	12100.0	4280.124785776483	15800.0	575.0	19.902299711880087	0.19905826147315672	1435918
6000069	34517	106536.26325058937	9555.701754385966	11575.0	4667.983157619563	15275.0	600.0	16.63484473536703	0.20357289132578127	1498620
6250276	35517	111318.85964465141	6217.700729927007	4550.0	2463.3698086545264	14975.0	3975.0	17.69794050755773	0.18948696878320861	1561413
6500023	36472	116069.52510428429	12295.263157894737	14825.0	3446.865471547645	15200.0	4350.0	20.153617950440285	0.19547720660635984	1624097
6750368	37409	120808.58074593544	13271.764705882353	14925.0	2737.5850395447983	15300.0	250.0	20.087289896136433	0.1729248873598399	1686942
7000636	38333	125445.36958003044	11882.552083333334	11600.0	3487.1703198100367	15275.0	650.0	18.270392714959375	0.15835617613281117	1749723
7250235	39309	130150.45949435234	12005.76923076923	14875.0	3921.7539247323825	15475.0	300.0	21.300911610861938	0.16374317942221986	1812357
7500150	40239	134750.2208788395	12786.436170212766	14925.0	3578.2528341837883	15650.0	625.0	16.752151270390186	0.17064637458295137	1875047
7750522	41122	139386.78761196136	12691.193181818182	11800.0	2368.4135524344724	15975.0	4350.0	15.786507805382845	0.14966788682886314	1937882
8000534	41981	144131.44099259377	13597.256097560976	14975.0	3016.8175890668467	16050.0	725.0	16.351015957092017	0.14029616547904322	2000599
8250290	42831	148839.08985590935	9409.158415841584	14925.0	6314.3039232090705	15775.0	425.0	9.82991912724923	0.1432922053928973	2063234
8501093	43669	153473.93663048744	10613.861386138615	11550.0	4356.929072247339	15750.0	625.0	10.821678365009758	0.12230392180917313	2126159
8750332	44541	158011.1271340847	9939.908256880733	11625.0	5666.56364210478	15175.0	725.0	18.69222042998993	0.11758331106694336	2188709
9000091	45373	162675.77060437202	12967.941176470587	11825.0	1982.717785749442	15800.0	7750.0	18.56540656538334	0.1318720315082003	2251378
9250156	46187	167406.8058538437	12709.65909090909	13250.0	2835.325783087059	16150.0	7925.0	18.189445378530255	0.11565946392515933	2314098
9500329	47029	172121.5792646408	8211.965811965812	8175.0	4845.870751851383	15750.0	425.0	17.563621784018476	0.12617763215366143	2376838
9750072	47884	176820.42815971375	10071.844660194174	11550.0	4017.702371776933	15350.0	700.0	19.221963341831195	0.11670379328699075	2439499
10000000	48685	181414.39154934883	5151.209677419355	0.0	6438.4992177851	15075.0	0.0	16.658684784874353	0.11365224963483514	2502202
