steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250289	713	2375.858090400696	2234.6153846153848	1100.0	1696.507254077289	4800.0	600.0	2.6345193184328632	0.011007340766022826	52728
500127	1503	5372.505170583725	2951.1111111111113	3950.0	1826.290182367587	7700.0	500.0	3.6422502153651255	0.013915114534637202	115393
750303	2343	9258.31285738945	2424.742268041237	3800.0	1644.5003628150919	4500.0	500.0	3.7594406734504364	0.011849297121995835	178138
1000165	3160	13083.93266916275	2857.9545454545455	3950.0	1965.139964066149	7900.0	400.0	3.1244950206245643	0.008715845796776605	240783
1250201	4000	16847.381638526917	3193.975903614458	4000.0	1945.874271976253	8100.0	400.0	2.182159684329222	0.0072107582379430015	303495
1500208	4878	20621.30185699463	3396.5116279069766	4100.0	1788.1602556435485	8200.0	400.0	2.0151152516952737	0.006763320077270875	366226
1750146	5824	24387.831642866135	3229.591836734694	4000.0	2165.198459210547	8100.0	500.0	1.8343689556971838	0.005413612440130619	428949
2000081	6738	28162.01261162758	3350.0	4100.0	1714.625666572908	7900.0	600.0	2.0537957977092955	0.005997707616973405	491657
2250268	7677	31934.08951497078	3125.0	4000.0	1697.6146807787698	7600.0	500.0	1.951203574315	0.005774022709517602	554436
2500401	8625	35704.30616378784	3748.5148514851485	4100.0	1836.5518702931392	8300.0	500.0	1.777391535634969	0.005997640650938075	617192
2750102	9549	39516.9068377018	3500.0	4100.0	1801.0978564120533	7900.0	500.0	1.9604153351069071	0.004849011765388748	679873
3000358	10503	43309.84593749046	3812.087912087912	4200.0	1695.1456944814288	8300.0	600.0	1.6893206980322724	0.005417593033899379	742696
3250564	11398	47124.343118429184	3421.7821782178216	4100.0	1815.9077047248873	8100.0	700.0	1.8830528523153052	0.005459227737424467	805485
3500007	12299	50944.92291069031	3627.450980392157	4200.0	1393.4185373912476	4800.0	700.0	1.791957892554423	0.006407093906692647	868053
3750309	13198	54745.48265981674	3365.979381443299	4000.0	1591.6374297885118	7800.0	600.0	1.7545252831646325	0.0055101058384167	930865
4000117	14142	58554.29075670242	4262.5	4200.0	1701.0012264586387	8900.0	600.0	1.7664715059600686	0.00597128561546061	993535
4250155	15048	62333.553501844406	4559.259259259259	4500.0	1727.0478987116844	8500.0	600.0	1.7131787872111515	0.0052911115764867934	1056269
4500090	15967	67021.52689266205	4901.176470588235	4400.0	2006.2695848411856	9000.0	600.0	1.609363026637017	0.004522149672299364	1118986
4750298	16868	72472.39111018181	4259.574468085107	4350.0	1674.7536585944574	8000.0	600.0	1.604230033047234	0.006212846529698846	1181752
5000193	17810	77466.72559547424	4372.826086956522	4400.0	1750.7990804119509	8200.0	600.0	1.9254076588873656	0.005100188185636388	1244466
5250174	18721	82367.03109622002	4171.717171717171	4300.0	1824.047999057423	8700.0	800.0	1.7133544299640782	0.0053815611507234086	1307199
5500230	19603	87237.82552409172	4895.180722891566	4600.0	2445.648381007846	8500.0	700.0	1.8459063412355443	0.005337239330565115	1369913
5750109	20474	92198.83924150467	3828.723404255319	4100.0	1941.3786444049824	8100.0	500.0	1.8652777649009125	0.005222817580265844	1432586
6000070	21357	97305.55750584602	5686.25	4800.0	1807.2108554204092	12100.0	1100.0	1.8345754360107593	0.005058345836245399	1495305
6250042	22224	102171.59637260437	4797.5609756097565	4600.0	1772.0028153808207	8400.0	900.0	1.8518494476988547	0.005677069280293816	1558018
6500755	23156	107178.7178850174	5126.436781609195	4400.0	1973.396303278734	11800.0	600.0	1.6009290920604857	0.00462001696933191	1620914
6750244	24037	112179.02647471428	6488.461538461538	7800.0	1824.151164933288	12100.0	4200.0	1.7111425687908985	0.006144189240544039	1683526
7000117	24947	117187.2128303051	4335.555555555556	4200.0	2443.53359491192	8800.0	700.0	1.927366493493128	0.00464114619334905	1746218
7250032	25846	122118.02727913857	3593.0	4100.0	2071.1220303609502	9000.0	600.0	2.6355432398542833	0.006069181845394995	1808914
7500274	26711	127040.66474580765	4227.551020408163	4250.0	1644.7216799770642	12200.0	600.0	1.5636151856615195	0.005701124689884275	1871697
7750250	27589	132039.87742757797	6960.526315789473	7850.0	2556.2513672625346	15700.0	700.0	1.692264426949973	0.005771697143438482	1934421
8000199	28466	137031.382897377	4420.408163265306	4200.0	2749.318910359529	11900.0	700.0	1.8660347816520177	0.005392676080114252	1997131
8250344	29342	142130.22591471672	5595.294117647059	5100.0	2626.916800500294	12000.0	600.0	1.9539698313960234	0.005603035175793319	2059898
8500571	30248	147095.3951587677	4214.285714285715	4100.0	2821.749110257167	11600.0	600.0	2.3687679598191482	0.005350404453852984	2122676
8750229	31126	152112.60351276398	5987.6543209876545	4800.0	1918.9438967860278	9000.0	1000.0	1.9009471435835439	0.005681682518704025	2185295
9000388	32020	157115.73429822922	5006.09756097561	4500.0	2172.4621953820847	11900.0	900.0	1.6936158071920324	0.00481192408355643	2248056
9250112	32917	162070.58815026283	3390.909090909091	4100.0	1929.634146834782	8500.0	600.0	1.9067875816358988	0.006380695169588599	2310712
9500093	33776	167074.08604550362	5152.173913043478	4700.0	2495.951810822748	8700.0	700.0	1.8912988152591748	0.005821861420346506	2373432
9750353	34668	172078.62286543846	4793.684210526316	4400.0	2005.7264045363772	8800.0	600.0	2.1636299616693084	0.0055890101135962315	2436226
10000000	35584	177083.27356529236	6727.5	7800.0	2186.3196634724018	12700.0	700.0	1.8743307633331805	0.006552400928361504	2498872
