steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250009	1146	2880.1824877262115	259.5813953488372	260.0	59.87769175583274	410.0	100.0	7.820578386208866	2.5907822272221335	52734
500178	2296	6646.617078781128	475.668449197861	400.0	223.8037668186256	1460.0	210.0	11.232333745677197	3.6237155669385546	115571
750008	3376	11714.44963979721	481.16279069767444	430.0	171.27945500493146	1020.0	260.0	12.558357552404113	4.459225341479234	178297
1000045	4534	16726.63524031639	534.3414634146342	500.0	143.89259504787807	1170.0	340.0	14.771714305654445	5.290437380356221	241129
1250074	5778	21364.662656784058	721.4	630.0	268.03404868837356	2610.0	440.0	14.891973241623694	5.308289557298801	303938
1500246	7022	26206.09343290329	802.4193548387096	650.0	385.63679376382953	2820.0	350.0	15.162463749072668	5.84356896136446	366784
1750204	8236	31254.986577033997	660.3191489361702	595.0	222.98150868232344	1550.0	330.0	14.226992685612334	4.684062463088292	429592
2000117	9347	36333.10762476921	905.1704545454545	700.0	450.45370706410245	2730.0	490.0	14.697829083001373	5.268782239711825	492328
2250063	10383	41247.2771525383	1004.180790960452	820.0	380.87150522525656	2740.0	500.0	15.636729753453077	6.177096028709324	555067
2500123	11452	46078.46108794212	1159.6341463414635	1020.0	516.7665992405834	3920.0	570.0	14.407281638045966	6.186600147465558	617860
2750178	12493	50696.21673822403	848.274111675127	710.0	384.78202945787655	2870.0	470.0	15.030566234886312	6.192194987936237	680622
3000077	13553	55275.3556933403	1115.6666666666667	860.0	560.3312069236497	4340.0	500.0	15.52844025974484	7.644428240647524	743377
3250276	14576	59596.03962349892	1066.9590643274853	1140.0	426.12769912488943	2820.0	520.0	16.529686747630002	6.040321536792661	806185
3500006	15594	64194.33144283295	953.7435897435897	780.0	360.0484444744771	2860.0	500.0	16.697222463562817	6.525728250305871	868894
3750236	16623	68908.14725589752	1198.1065088757396	1270.0	445.41710042412996	2870.0	610.0	13.898974681456256	5.625248985627939	931717
4000167	17640	73791.98626899719	1512.3076923076924	1390.0	658.2271851688331	4430.0	590.0	13.610389581711503	5.578069514692512	994446
4250075	18649	78660.70124173164	1423.43949044586	1340.0	689.8510740210121	4460.0	550.0	12.615850730538426	5.456409284785978	1057172
4500294	19627	83322.92992687225	1250.8974358974358	1135.0	595.0444513564993	3420.0	520.0	13.777322789884023	5.896440018068734	1119981
4750217	20589	88014.46383595467	984.2528735632184	825.0	390.64680966953983	2860.0	570.0	14.927929964169985	4.7477993457679855	1182689
5000050	21549	93141.11305809021	1482.5974025974026	1370.0	635.6611556716446	4510.0	570.0	15.317581617059249	5.255037867709751	1245377
5250385	22510	98926.62100958824	1182.0348837209303	1240.0	484.25494584689517	3360.0	590.0	14.287785584231115	4.805840896810049	1308186
5500044	23441	104731.96746587753	1020.2234636871508	810.0	421.80052171674674	2860.0	430.0	14.74292536378089	4.665861827467406	1370842
5750138	24390	110530.51820087433	1246.3694267515923	1220.0	571.9715710012549	3450.0	500.0	13.743699504178814	4.594837212801278	1433604
6000018	25335	116288.82209587097	1331.2	1350.0	488.0476376792488	2450.0	600.0	12.463674882079957	4.847873341811528	1496319
6250017	26277	122074.45770287514	1098.6309523809523	880.0	488.06096310488914	2810.0	500.0	12.35118835438897	4.4494937659502005	1559049
6500043	27200	127826.11864852905	1481.9867549668875	1380.0	642.6725655340099	4420.0	420.0	14.55143877075389	4.532527178530279	1621784
6750052	28096	133560.9141316414	1433.4415584415585	1360.0	635.9845230473186	3980.0	480.0	14.838775251665316	4.590641141389715	1684501
7000269	29020	139320.1502509117	1081.0588235294117	880.0	516.8166637937859	4400.0	460.0	13.62920634057395	4.564103691175455	1747292
7250087	29936	145207.94870829582	1421.7931034482758	1370.0	588.6609911078764	4420.0	570.0	12.79943694014052	4.400003579356157	1809991
7500091	30862	150967.15043973923	1407.6510067114093	1390.0	554.9536007652874	3910.0	550.0	14.27810579060634	4.953145635291722	1872742
7750112	31775	156713.1458003521	1494.4370860927152	1390.0	675.0581562715807	4950.0	620.0	13.993912602175428	4.369638690982653	1935475
8000159	32691	162471.4003930092	1400.8108108108108	1345.0	546.0127749041425	3000.0	560.0	13.919647304431017	4.760958691890928	1998213
8250165	33607	168202.55228614807	1538.3221476510066	1410.0	620.9663379096954	3910.0	290.0	13.707100961797936	4.0066163917614475	2060934
8500166	34504	173973.5941505432	1315.9574468085107	1350.0	576.9141787171322	4870.0	640.0	15.181123144631783	4.6029743660881115	2123653
8750161	35383	179739.61880350113	1127.012987012987	875.0	550.2728139431165	3040.0	460.0	12.994981579748162	4.333681339017835	2186383
9000202	36295	185519.28083205223	1433.0263157894738	1415.0	548.6902399672726	3330.0	530.0	14.96688673253297	4.286251724011135	2249125
9250184	37188	191294.7518210411	1610.7382550335572	1470.0	560.5066409420835	4060.0	630.0	14.449178318737658	4.076022156521269	2311854
9500191	38058	197037.62392544746	1561.0416666666667	1415.0	705.3538701728603	5990.0	690.0	15.38566093050779	4.175619330080692	2374555
9750163	38956	202784.22556948662	1633.7410071942445	1460.0	709.3815160653751	4950.0	570.0	12.477030212254114	4.360484261978122	2437257
10000000	39856	208574.3204817772	1505.2777777777778	1430.0	556.0298131118088	3970.0	730.0	13.73550854051878	4.436601272935185	2499966
