steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250070	1414	3787.1249063014984	137.109375	150.0	69.72055723522637	250.0	0.0	12.035431571302897	9.72289584310892	52836
500165	3002	8311.970261573792	227.35849056603774	150.0	472.3209915016084	2790.0	0.0	56.743140650227836	32.539202839635145	115731
750001	4708	14023.959184646606	47.8448275862069	75.0	50.0623476975191	150.0	0.0	55.612251024592695	20.391471619181857	178604
1000156	5945	19667.103848218918	2039.4594594594594	2735.0	1076.233648594192	2905.0	75.0	19.44529888990112	7.963966887981041	241469
1250268	6354	25260.314280748367	0.0	0.0	0.0	0.0	0.0	10.18578299839029	3.7051907671277924	304114
1500438	6872	30852.654433488846	2919.1803278688526	2930.0	90.37966367804971	3120.0	2635.0	9.361713667799048	1.5459446532869687	366800
1750648	7532	36546.2680811882	2223.75	2940.0	1271.7816226706186	3145.0	0.0	6.2278938093590614	1.300247000950546	429545
2000394	7958	42167.41044330597	3117.5	3110.0	53.986487349396334	3260.0	3060.0	5.711570184686974	0.887257845028512	492090
2251159	8376	47772.37319493294	3081.7924528301887	3085.0	65.2811548053041	3185.0	2935.0	4.346935949659633	0.7160750598261069	554907
2500625	8763	53352.9005856514	2958.4146341463415	3065.0	502.2231065776323	3265.0	75.0	3.3262483925915354	0.7668151803768188	617380
2750060	9157	58965.3570857048	3844.1509433962265	3065.0	1328.8321708614676	6940.0	2865.0	5.824741145077768	1.1031008990340505	679850
3000016	9491	64555.22075510025	2983.5227272727275	2995.0	78.88451630909097	3145.0	2830.0	9.425588520602528	1.514154300723466	742425
3250173	10004	70092.0504078865	3122.282608695652	3115.0	75.94374030044384	3335.0	2990.0	6.256838724902151	1.632545036224804	805101
3500803	10465	75628.56199026108	2676.3125	2645.0	184.110548808019	2915.0	2365.0	21.088794753247093	29.904228258057675	867890
3750244	11063	81145.74222135544	22.959183673469386	0.0	38.132422328683255	150.0	0.0	134.16031747794617	1246.7059401133608	930412
4000089	12435	86831.14693260193	2820.631313131313	2990.0	675.7289580899376	4380.0	0.0	1938.242768935791	3967.172145753303	993234
4251169	13823	92476.22240161896	2.625	0.0	13.818070427949005	75.0	0.0	222.23985488319892	2428.063472710607	1056391
4500054	15003	98068.77051472664	40.18218623481781	75.0	39.137905109230864	125.0	0.0	408.30556317793213	1432.462071065635	1118933
4750361	16797	103750.98941206932	102.40963855421687	125.0	68.14332745542319	250.0	0.0	608.6548674733396	701.4404410437086	1181969
5000007	18048	109480.15127396584	623.8235294117648	250.0	991.6066104488538	3025.0	0.0	824.4206637209752	360.5861614565385	1244734
5250041	19690	115167.5200779438	175.52083333333334	200.0	30.722498224641832	250.0	75.0	153.70382823473753	204.5905931795779	1307673
5500963	22068	120949.23191046715	122.117903930131	0.0	560.5669715681636	3065.0	0.0	40.33007875051483	88.34664728105143	1370977
5750022	25226	126699.40146303177	26.05532786885246	0.0	233.26572480738102	2765.0	0.0	24.320367667711267	55.593690008446536	1434033
6000364	27645	132431.09163546562	486.6711229946524	0.0	1005.5864474753967	2990.0	0.0	36.35560872623002	29.089384464290003	1497241
6250023	28439	138050.6238834858	2515.1898734177216	2670.0	492.0231930104923	3010.0	1750.0	85.36662669215133	20.613111880731662	1559904
6500399	29676	143752.99326062202	2622.228260869565	2605.0	295.84357863927943	3040.0	2010.0	39.17888082574375	14.814084932373094	1622853
6750040	30901	149399.81093788147	2547.9113924050635	2505.0	271.5796709790002	3135.0	2040.0	17.69971621475757	8.833367808895655	1685582
7000862	31896	155019.57349419594	2934.5588235294117	2925.0	76.40965795550328	3085.0	2725.0	7.582995373435145	4.541137010415856	1748591
7250180	32679	160632.77465605736	3044.7727272727275	3010.0	288.1805676236064	6260.0	2770.0	11.130027561890243	3.2762183230323596	1811166
7500070	33487	166268.08790135384	3006.6071428571427	3050.0	394.38754793545144	3210.0	150.0	6.777571839041766	2.957385814728623	1873867
7750160	34004	171745.05496430397	26.162790697674417	0.0	39.69882463928704	150.0	0.0	10.033640032944568	7.987366542194771	1936552
8000491	34654	177193.24175548553	97.5	0.0	418.3436295738986	2320.0	0.0	10.113954730531793	13.78163638713628	1999341
8250036	35566	182791.69154548645	3022.553191489362	2795.0	1227.8252576087057	6925.0	75.0	23.168172011914567	5.355342516515507	2061983
8501390	36753	188625.2522699833	2964.622641509434	2970.0	86.01682000433098	3165.0	2725.0	4.053167370513841	4.888125281452666	2125135
8750099	37473	194192.77960515022	1372.7227722772277	75.0	1451.4299904886175	3045.0	0.0	5.596670844457812	17.28608865520827	2187527
9000417	38283	199760.07498431206	724.1379310344828	150.0	925.2563124881414	2705.0	75.0	25.993096206754693	71.98670408644382	2250385
9250596	39154	205357.77237319946	540.7638888888889	0.0	1113.8278180038958	2940.0	0.0	9.561160485301425	5.429312983232728	2313188
9500282	39699	210904.28321146965	2376.279069767442	2530.0	620.9373607539383	3055.0	250.0	3.163767069846107	11.915901045953065	2375796
9750295	40262	216465.45400834084	6.176470588235294	0.0	20.73998695331146	75.0	0.0	4.072771446113795	91.03952150591712	2438473
10000000	40884	221992.44902181625	838.030303030303	125.0	884.9710463703052	2150.0	0.0	3.028662982677007	3.0014867774957805	2501078
