steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250084	1582	3727.772720336914	494.82300884955754	420.0	292.746708267699	2200.0	170.0	7.532397342709552	4.381088618242013	52843
500078	3034	8213.12178349495	742.0652173913044	620.0	415.81058645840346	3660.0	280.0	8.826724792410051	6.724144044551809	115720
750207	4294	13837.071988582611	892.8888888888889	750.0	440.56272914490586	2550.0	280.0	12.913131100650752	7.938279603380696	178557
1000055	5377	19484.23778438568	1160.877192982456	1040.0	625.9344469579421	5430.0	390.0	14.142944791140208	10.167968619193942	241318
1250116	6322	25128.431158065796	1628.6538461538462	1640.0	513.9048318304276	3270.0	470.0	15.127769791214936	7.95024584032333	304077
1500120	7302	30743.383819818497	1405.483870967742	1300.0	575.9173298678041	4650.0	710.0	12.93301839119368	8.251857548229973	366833
1750259	8238	36332.95312809944	1159.611111111111	1100.0	514.2161837930971	2940.0	300.0	15.080742151208756	9.484090469643078	429601
2000260	9169	41918.39598751068	1141.7045454545455	1115.0	484.37817950359903	3750.0	290.0	13.878582535065197	9.2131488050229	492326
2250255	10103	47489.80151462555	1749.1082802547771	1630.0	557.3913321667171	4230.0	760.0	12.62192706021485	6.893594552337441	555037
2500229	11044	52652.562593221664	1460.759493670886	1315.0	608.085168674196	5500.0	650.0	17.317042515017054	7.91393100447192	617757
2750408	11989	56959.94619321823	1994.1830065359477	1750.0	911.3954124677264	7200.0	790.0	16.14473440392686	8.82804371376832	680531
3000413	12941	62454.0236017704	1636.8152866242037	1510.0	457.81677868088696	3160.0	780.0	13.360731223293058	7.768857007488389	743255
3250165	13867	68016.91291713715	1641.0389610389611	1515.0	497.9542053532422	3990.0	650.0	15.027652244628342	6.720624725208428	805933
3500030	14785	73582.00429534912	1320.9638554216867	1165.0	534.0459961074317	4020.0	570.0	13.764803010663622	7.386798467902604	868645
3750249	15701	79141.97794866562	1638.5380116959063	1680.0	644.7020949195609	3630.0	320.0	14.806326665228527	7.092030874565054	931422
4000131	16606	84688.29012155533	1698.344827586207	1590.0	564.6422340654491	4730.0	650.0	13.99668595866824	7.676087406532175	994107
4250288	17504	90234.85574150085	1458.993288590604	1420.0	436.06617549875625	3260.0	670.0	15.840479153676014	6.613464990719051	1056869
4500219	18422	95796.47910690308	1648.3443708609273	1550.0	596.5136829540751	4830.0	720.0	15.603187795441489	7.3196066185393365	1119580
4750111	19334	101354.69097614288	1566.3157894736842	1460.0	482.9225106290038	4670.0	690.0	16.324515240298595	9.160912137888841	1182287
5000366	20245	106924.23990011215	1329.4444444444443	1360.0	430.56116784338366	2950.0	370.0	14.564680602118804	6.555767273793736	1245075
5250029	21171	112446.44529247284	1881.4285714285713	1870.0	445.73012290595017	3650.0	770.0	17.099401824505154	7.3969146686007585	1307708
5500093	22058	117993.28913545609	1783.1333333333334	1850.0	523.7156058341048	3460.0	470.0	14.676886386382078	6.522581823447725	1370441
5750516	22951	123521.81189274788	1557.4149659863945	1560.0	424.5692231591183	2830.0	620.0	12.393907157557452	6.7638498513621315	1433275
6000064	23860	129040.20555400848	1766.291390728477	1730.0	455.7713109210799	3290.0	680.0	17.334054633135523	6.000360517459769	1495877
6250215	24749	134606.532227993	1442.6451612903227	1350.0	415.54857721466954	2710.0	610.0	12.105638731628957	5.581427920865741	1558645
6500283	25645	140171.19007492065	1780.2	1805.0	420.5069966459392	2890.0	680.0	16.77272286913157	6.548180512877635	1621388
6750451	26536	145723.41746616364	1809.3877551020407	1800.0	401.93236071354283	2980.0	800.0	15.263190533950459	6.458882959533176	1684153
7000474	27430	151259.13361668587	1672.5170068027212	1600.0	438.5199946042275	3270.0	900.0	16.703910842018303	5.996942744755382	1746885
7250029	28321	156825.0400300026	1589.1447368421052	1565.0	484.9768808293888	3890.0	410.0	14.15474303530565	6.61258309793109	1809497
7500237	29212	162420.62139105797	1737.2297297297298	1680.0	537.2515352899003	4200.0	820.0	17.591224761502954	6.232900043559024	1872267
7750213	30091	167990.76273870468	1884.113475177305	1860.0	486.06888242303654	3360.0	640.0	15.632068338664373	6.645109705857081	1934994
8000031	30945	173544.21450853348	1876.1184210526317	1815.0	723.7348397955665	5390.0	510.0	17.073838605426076	6.537953243862167	1997662
8250082	31811	179083.85206317902	1886.4383561643835	1880.0	591.7673584430443	4240.0	760.0	11.432473681688386	6.468011400585259	2060385
8500220	32668	184628.50463676453	1711.2413793103449	1560.0	545.8821641753383	3380.0	820.0	14.277542765964869	6.255757515425082	2123153
8750395	33526	190189.5514240265	1945.857142857143	1860.0	522.6234124525771	3740.0	740.0	14.765097648858927	5.8387878075533575	2185905
9000155	34411	195722.0367512703	1842.3809523809523	1790.0	457.9425897698468	3150.0	510.0	16.980534600620814	6.881215276668808	2248559
9250074	35272	201275.0910768509	1932.1768707482993	1890.0	525.5414911435903	3890.0	780.0	15.67853726791036	6.670243898690507	2311248
9500010	36135	206850.98420906067	1792.4666666666667	1770.0	606.4009091680363	3380.0	610.0	18.22462202212145	7.534629168949195	2373952
9750040	36990	212403.4994904995	1580.5555555555557	1425.0	699.3299810248725	3630.0	520.0	15.72475687440339	6.651964545067966	2436680
10000000	37848	217952.8650138378	1898.0689655172414	1860.0	750.2104302495217	3950.0	440.0	12.94089904461878	8.084529665098465	2499370
