steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250752	259	3846.9877367019653	-16.62162162162162	-17.0	2.194031147633592	-11.0	-21.0	0.04327422160914347	0.19132861924165556	52734
500463	448	8484.08755683899	-13.338709677419354	-13.0	3.223599191958674	-3.0	-19.0	0.5140551545221886	0.20456086280258132	115208
750634	586	14255.712001800537	-9.18	-9.0	4.963910571642614	2.0	-17.0	1.0002425622666082	0.2343235905787903	177782
1002603	682	20070.30652499199	14.25	15.0	4.00428691847752	20.0	1.0	1.2638769516084256	0.2311219567423994	240797
1251391	798	25827.727308511734	16.7	17.0	2.141597692837313	20.0	12.0	1.6495207837530383	0.16378270839846965	303028
1500323	928	31580.582663059235	19.17142857142857	19.0	1.3828287388216132	21.0	16.0	1.781135107406948	0.08148780477496365	365290
1750352	1069	37351.09044504166	19.757142857142856	20.0	1.1970460536914964	21.0	14.0	1.760130948137606	0.04501040084509574	427831
2000543	1212	43141.424847364426	16.216666666666665	16.0	2.450123944749075	21.0	10.0	1.6497306131233345	0.029360488448538412	490417
2250178	1356	48893.43975806236	20.273972602739725	20.0	0.9611953491559169	21.0	16.0	1.6724907118746228	0.02464547559016819	552862
2501330	1503	54713.87260341644	20.256756756756758	20.0	0.741357710616614	21.0	18.0	1.5986754183016485	0.017102391995750674	615678
2750133	1648	60483.59400892258	20.43243243243243	21.0	0.7230279003518141	21.0	18.0	1.5781253933374937	0.0165660900339036	677920
3000463	1795	66238.03010582924	20.328767123287673	21.0	0.817428123251144	21.0	18.0	1.5830292719842791	0.016977727697403213	740534
3250419	1942	71946.00237393379	20.095890410958905	20.0	1.2037485844187341	21.0	14.0	1.5604734529410866	0.020751962440317965	803056
3500963	2090	77723.56193947792	20.31081081081081	21.0	1.005814270767116	21.0	17.0	1.5212538480706819	0.012181680329433158	865727
3750130	2238	83463.07207584381	20.56	21.0	0.6625095613792445	21.0	18.0	1.4848583412275544	0.010632634446650076	928050
4000756	2386	89280.6176598072	19.944444444444443	20.0	1.1118933083999003	21.0	18.0	1.484427914508067	0.013983417682353108	990744
4250167	2533	95032.25057816505	20.43243243243243	21.0	0.7599762267565335	21.0	18.0	1.5053138121575813	0.011438117613155963	1053136
4500864	2681	100813.05335474014	20.594594594594593	21.0	0.6604050006639018	21.0	18.0	1.5252151685340485	0.016541971093299856	1115856
4750383	2828	106600.37910079956	20.56756756756757	21.0	0.7417321652464085	21.0	18.0	1.5171468765510636	0.015736615249665	1178278
5000250	2977	112359.55995035172	20.45945945945946	21.0	0.7437260725137247	21.0	17.0	1.5447716843304973	0.010965561582429798	1240785
5250490	3125	118140.90353012085	20.445945945945947	21.0	0.7962565135647547	21.0	18.0	1.5095336108135677	0.010546935219543183	1303383
5500811	3273	123946.2331981659	20.21917808219178	20.0	1.0034188133917428	21.0	17.0	1.5372099721107095	0.01035137577790393	1366005
5751414	3422	129737.93009281158	20.364864864864863	20.0	0.7323133606596745	21.0	17.0	1.4569979196866676	0.007790698864246235	1428679
6001434	3571	135514.47028660774	19.37142857142857	20.0	1.298510055559538	21.0	15.0	1.5282294661203355	0.009025539719292586	1491219
6250737	3718	141272.7343504429	20.36986301369863	21.0	0.7547414810359552	21.0	18.0	1.542326923529794	0.010158364690270526	1553584
6500304	3865	147044.5486819744	20.445945945945947	21.0	0.7610715569815714	21.0	18.0	1.5026282354248646	0.01491229354979639	1616015
6750877	4013	152834.59818029404	20.527027027027028	21.0	0.780287494838921	21.0	18.0	1.5238006335917562	0.009829930104492776	1678705
7001654	4161	158634.33346533775	20.43243243243243	21.0	0.7599762267565335	21.0	18.0	1.521626179159419	0.00924966220300577	1741443
7250988	4307	164394.5450987816	20.383561643835616	21.0	0.7751368514709976	21.0	17.0	1.5394875088827522	0.016806615555560702	1803810
7501266	4455	170170.6008143425	18.380281690140844	21.0	6.195312046062614	21.0	-1.0	1.5324951966232336	0.014912860531074256	1866409
7751221	4603	175922.51341438293	20.31081081081081	20.0	0.7925280458401261	21.0	18.0	1.5088886518871287	0.00854801612221144	1928944
8000267	4749	181674.373149395	20.28767123287671	21.0	0.9351092041811438	21.0	17.0	1.5131883188692166	0.012920029847297489	1991239
8250887	4897	187462.2587249279	20.26027397260274	21.0	0.9578244628710821	21.0	18.0	1.5584949717227163	0.01132075189294692	2053926
8500515	5045	193243.20116710663	20.43243243243243	21.0	0.8771229601104433	21.0	18.0	1.4613590449562348	0.009036550561575813	2116365
8750405	5193	199034.3353755474	20.45945945945946	21.0	0.8630812782435373	21.0	17.0	1.4197962572289804	0.010498666836376475	2178877
9000763	5341	204837.8433573246	20.554054054054053	21.0	0.7788627447248493	21.0	18.0	1.5219047174574645	0.007282409371473432	2241496
9251607	5490	210644.30725073814	20.64	21.0	0.7097772775905015	21.0	17.0	1.4510464572248383	0.008422751625259928	2304245
9500770	5637	216437.45754909515	20.60810810810811	21.0	0.718017963822434	21.0	18.0	1.532634045178584	0.012680849662019562	2366573
9750931	5786	222483.22406482697	20.594594594594593	21.0	0.6604050006639018	21.0	18.0	1.5121432458318365	0.007955742090060502	2429147
10000000	5934	228293.59378433228	20.68	21.0	0.5963855092770746	21.0	18.0	1.5468371096652698	0.009590087225492414	2491446
