steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250073	2964	4274.8713319301605	310.9712230215827	275.0	144.3463765572715	875.0	75.0	2.4652497282616146	2.0820502421375338	53129
500125	5608	8586.93539762497	412.97909407665503	275.0	246.6189401877242	1200.0	25.0	3.619679983084828	2.7086514884949047	116304
750037	7876	14098.892491579056	659.9264705882352	650.0	157.36083690180843	1350.0	250.0	3.7577304312475186	2.3929488300228967	179301
1000045	9672	19641.81881070137	729.4811320754717	775.0	170.30072265027306	1400.0	225.0	3.2114498423705133	1.8414333189052217	242243
1250221	11202	25237.40211701393	1294.9257425742574	850.0	1147.6596863410473	4675.0	275.0	3.5828395311483443	1.2515441870223174	305199
1500165	12649	30785.246025562286	703.4825870646766	775.0	475.3751791430361	4250.0	175.0	5.8875479545436775	1.4972420761927177	368045
1750079	14186	36270.2071826458	950.7537688442211	800.0	898.0650831701795	4325.0	0.0	4.079720461192954	3.7478846758015405	430896
2000221	15675	41799.96797776222	1668.421052631579	825.0	1536.9483203149302	4900.0	275.0	4.762382224182276	8.191390262431339	493806
2250138	17272	47351.48823213577	692.7184466019418	575.0	601.0167307029749	4950.0	200.0	8.658951810032647	7.652717388715441	556679
2500044	19026	52839.587149620056	681.0756972111553	525.0	765.6438063793189	4500.0	125.0	7.370133572839436	6.3343707601964665	619611
2750079	20678	58311.68978214264	3469.1761363636365	4287.5	1668.0371793385914	5325.0	0.0	15.440498366927065	10.36889104679462	682511
3000010	22196	63836.731253147125	2594.803370786517	1200.0	1961.0087887597783	5775.0	325.0	11.718496246731023	8.525611129701408	745371
3250090	23528	69351.16381788254	3195.4918032786886	4350.0	1840.5321371846153	5000.0	125.0	12.782072904675472	7.1334120367909755	808218
3500266	24765	74882.7776582241	3772.818791946309	4850.0	1861.7457952499753	5425.0	225.0	10.001443576454616	4.876053483418987	871059
3750003	25975	80134.89309740067	4613.309352517986	4975.0	1321.5133992802016	5550.0	300.0	7.72639953548525	3.3177754642525663	933808
4000080	27141	84673.72841382027	2881.0773480662983	4700.0	2318.416083973816	5825.0	175.0	8.57202089361493	2.733394198010165	996641
4250099	28272	89575.7682557106	4948.507462686567	4975.0	854.3770605523213	8300.0	400.0	9.681028868327392	2.460264381310676	1059411
4500557	29425	94308.05206799507	4536.524822695035	4975.0	1380.7429344976374	5875.0	175.0	10.820010138033144	2.5694778070834636	1122308
4750113	30549	98412.36824512482	4285.869565217391	4612.5	1680.7843703613216	8650.0	250.0	11.64975776221187	2.1221566322808254	1184995
5000195	31563	102616.56077456474	6010.984848484848	5212.5	2565.715042470226	9050.0	250.0	9.846840814942896	2.2562826443330595	1247773
5250326	32800	107052.8516843319	3900.5244755244757	4750.0	1835.4909456929156	5450.0	100.0	12.321574239097405	8.239904816559498	1310625
5500320	34293	111182.13579130173	3267.5757575757575	4225.0	1834.011796619757	5400.0	200.0	11.65089954016475	7.730969010705667	1373509
5750049	35603	115445.29442954063	4367.384105960265	4925.0	1889.3274671548327	9100.0	250.0	13.773701677695415	5.227852574009383	1436303
6000081	36808	120034.26419758797	5299.814814814815	4975.0	2070.9939216857883	8875.0	375.0	10.847218474825985	5.524271428827643	1499111
6250169	38025	123983.89225006104	4862.086092715232	4800.0	1613.0634785624418	8825.0	275.0	12.624429975008315	5.207386815977646	1561954
6500181	39233	128258.83857607841	6252.407407407408	7600.0	2507.1685917995055	11800.0	300.0	14.766068440449242	8.470810377302973	1624762
6750137	40469	132618.58017015457	4159.782608695652	4275.0	2128.844268892314	8950.0	175.0	15.807867804527536	9.60798254180923	1687574
7000036	41666	136701.5931339264	3928.6624203821657	4400.0	3088.7419842981217	9350.0	225.0	11.065657340488375	8.280299577484577	1750359
7250198	42905	141009.0735051632	6386.428571428572	7987.5	3103.063830917138	12275.0	325.0	15.463387304400479	7.93488676857155	1813222
7500093	43997	145096.26777386665	6654.1015625	7950.0	3546.34498732588	12000.0	150.0	17.17851589405121	8.174061841171307	1875998
7750222	45120	149436.75764131546	5238.869863013699	4450.0	3808.3257598703913	12250.0	250.0	11.03845066551555	10.565812965111439	1938791
8000015	46158	153637.94220423698	8972.972972972973	8625.0	3275.5917840333123	12850.0	100.0	17.185098054005124	8.674266706041124	2001504
8250072	47148	158552.49594402313	8265.289256198346	8150.0	3438.235333321481	15450.0	175.0	16.88217760210933	7.830355979139803	2064257
8500178	48199	163608.64858841896	8730.13392857143	8600.0	3238.4812130823193	15725.0	200.0	16.41016593715789	7.647152123575605	2127060
8750318	49209	168106.72240018845	8463.863636363636	8587.5	3228.4972971567013	12900.0	125.0	16.509960653656382	8.265201737381897	2189833
9000013	50174	172593.35783600807	9459.669811320755	11512.5	3781.2170041924664	15825.0	625.0	15.204004549436114	7.320537741155042	2252481
9250045	51169	177030.6720392704	5431.699346405228	7250.0	4734.955404787728	16300.0	150.0	12.035598207193308	7.510469197232559	2315244
9500100	52174	181106.26584601402	9647.453703703704	8662.5	3718.1905391853024	15475.0	225.0	16.791529029689098	7.974232782525215	2378030
9750162	53197	185690.91456198692	4718.448275862069	800.0	4851.183830221001	15100.0	250.0	7.906208255371792	8.86624453748324	2440781
10000000	54172	190050.00046420097	10345.714285714286	11975.0	4763.166793043431	16325.0	300.0	20.11707156115689	8.129174934501746	2503491
